Sapaliga	Holeya	Setti	Jain 1	Jain 2	meaning
tare	care	sare	hare	are	"wear off"
tali	caḷi	sali	hali	ali	"sprinkle"
tavḍu	cavḍu	savḍu	havḍu	avḍu	"bran"
tōjɨ	cōjɨ	sōjɨ	hōjɨ	ōjɨ	"appear"
tinɨ	cinɨ	sinɨ	hinɨ	inɨ	"eat"
tudɛ	cudɛ	sudɛ	hudɛ		"river"
tōḍu	cōḍu	sōḍu	hōḍu	ōḍu	"stream"
tanɛ	cɑnɛ	sɑnɛ	hɑnɛ	ɑnɛ	"conceiving (of cattle)"
tappu	cappu	sappu	happu	appu	"leaf"
tay	cay	say	hay	ay	"die"
tavtɛ	cavtɛ	savtɛ	havtɛ	avtɛ	"cucumber"
tuttu	cuttu	suttu	huttu	uttu	"wear"
tumbu	cimbu	sumbu	humbu	umbu	"carry on head"
tū	cū	sū	hū	ū	"see"

