Number	Finnish	Hungarian	Udmurt	gloss
1	pæ:	fej	pum, puŋ	head, end
2	pata	fɔze:k		pot
3	pato	fɔl		dam, wall
4	pæ:sky–	fečke	poɕkɨ–	swallow (the bird)
5	pelkæ:-	fe:l	pulɨ-	to fear
6	pesæ	fe:sek	puz-	nest
7	pi:	fog	pinʲ-	tooth
8	pilvi	felhø:	piljʲem	cloud
9	poika	fiu:	pi	boy
10	puno-	fon	pun-	pin, braid
11	pu:	fɔ	pu	tree
12	tæ-	te:-	ta	this
13	tæi	tety:-	tei	louse
14	talvi	te:l	tol	winter
15	tæyte-	tel-		full
16	tunte-	tud	tod	to know, sense
17	tyvi	tø:	dinʲ	base
18	kala	hɔl		fish
19	kalime-	ha:lo:	kulem	fish net
20	kamara	ha:m-	kəm	peel
21	koi	hɔj-	kɨa	dawn
22	kolme	ha:rom	kuinʲm-	three
23	kota	ha:z	kaw-/-ko/-ka	hut
24	kunta	hɔd		community, group, society; army
25	kuole-	hɔl	kul-	to die
26	kusi	hu:dʲ	hu:dʲ	urine
27	kæte-	ke:z	kul-	hand
28	keri	ke:r	kur-	tree bark
29	kerjæ:	ke:r	kur-	to beg
30	ki:-	ke:j	koj-	rut, mating; mating call
31	kivi	kø:	kə	stone
32	ky:nek	kønʲ:	-kɨlʲi-	tear (noun)
33	kytke-	køt	kɨtk-ɨ	to tie
34	ky:	ki:dʲo:	kɨj	snake
35	ky:nær	kønʲøk	gɨr-	elbow
36	salava	sil		elm / willow
37	sarvi	sɔrv	ɕur, ɕɨr	horn
38	sata	sa:z	ɕu	hundred
39	silmæ	sem	ɕinm-	eye
40	su:	sa:j	ɕu-	mouth
41	sydæme-	si:v	ɕulem	heart
42	sappi	epe	sep	gall
43	sæ:	e:g	sɨnəd	weather, sky, haze
44	sæynæ	ø:n	son-	fish (leuciscus idus)
45	sula-	olvɔ-	sɨlm-	to melt
46	suoni	i:n	sɨn	sinew
47	syksy	ø:s	sɨʑɨl	autumn
48	syli	øl	sul, sɨl	lap, bosom
