Num	Lenca	Chilanga	Gloss
1	pe	pe	two
2	lepa	lepa	jaguar
3	puki	puka	big
4	ta	ta	cornfield
5	tem	tem	louse
6	ke	ke	stone
7	kuma	kumam	fingernail, claw
8	katu	katu	spider
9	waktik	watih	sandals
10	kakma	kʼama	gourd
11	siksik	sisih	shrimp
12	nek	neh	tooth
13	insek	intsʼeh	beak
14	taw	tʼaw	house
15	tutu	tʼutʼu	flea
16	kin	kʼin	road
17	kunan	kʼula	who
18	kelkin	kʼelkin	torilla griddle
19	sewe	tsʼewe	monkey
20	saj	tsʼaj	five
21	musu	mutsʼu	liver
22	sak-	tsʼih-	to wash
23	lawa	lawa	three
24	liwa-	liwa-	to buy
25	tal-	tal-	to drink
26	wala	wala	raccoon
27	was	wal	water
28	asa	alah	head
29	wasan	wila	urine
30	wara	wara	river
31	siri	sirih	star
32	sili	sili	iron tree
33	suri-	ʃurih	squirrel
34	saj-	ʃej-	to want
35	so	ʃo	rain
36	suna	ʃila	flower
37	soko	ʃoko	white
38	sak-	ʃah	firewood
39	wewe	wewe	baby
40	jet-	jete-	tolaugh
41	juku	juku	coyol palm
42	sa	ʃam	good
