Number	Māori	Tongan	Samoan	Rarotongan	Hawai'ian	gloss
1	tapu	tapu	tapu	tapu	kapu	forbidden
2	pito	pito	pito	pito	piko	navel
3	puhi	puhi		puʔi	puhi	blow
4	taha	tafa	tafa	taʔa	kaha	side
5	tae	taʔe	tae	tae	kae	excrement
6	taŋata	taŋata	taŋata	taŋata	kanaka	man, person
7	tai	tahi	tai	tai	kai	sea
8a	kaha	kafa	ʔafa	kaʔa	ʔaha	strong
8b	ma:rohi-	malohi	malosi	ma:roʔi		strong
9	karo	kalo	ʔalo	karo	ʔalo	dodge
10	aka-	aka	aʔa	aka	aʔa	root
11	au	ʔahu	au	au	au	gall
12	uru	ʔulu	ulu	uru	ulu	head; center; point of a weapon
13	uhi	ufi	ufi	uʔi	uhi	yam
14	ahi	afi	afi	aʔi	ahi	fire
15	ɸa:	fa:	fa:	ʔa:	ha:	four
16	ɸeke	feke	feʔe	ʔeke	heʔe	octopus
17	ika	ika	iʔa	ika	iʔa	fish
18	ihu	ihu	isu	iʔu	ihu	nose
19	hau	hau	sau	ʔau	hau	dew
20	hika		siʔa	ʔika	hiʔa	firemaking
21	hiku	hiku	siʔu	ʔiku	hiʔu	tail
22	ake	hake	aʔe	ake	aʔe	up
23	uru		ulu	uru	ulu	enter
24	maŋa	maŋa	maŋa	maŋa	mana	branch
25	mau	maʔu	mau	mau	mau	constant
26	mara		mala	mara	mala	fermented food
27	noho	nofo	nofo	noʔo	noho	sit
28	ŋaru	ŋaru	ŋalu	ŋaru	nalu	weave
29	ŋutu	ŋutu	ŋutu	ŋutu	nuku	mouth
30	waka	vaka	vaʔa	vaka	waʔa	canoe
31	wae	vaʔe	vae	vae	wae	leg
32	raho	laho	laso	raʔo	laho	scrotum
33	rou	lohu	lou	rou	lou	fruit-picking pole
34	roŋo	loŋo	loŋo	roŋo	lono	hear
35	rua	-lua	lua	rua	lua	two
