"NUMBER","PROTO","PRNUM","MEANING","CHE","ING","BCB","COMMENT"
1,"*-arr-iḳ",414,"all","-errig","-erriga","",""
2,"*ʁaʁa",1480,"coat of mail","ʁaʁa","ʁaʁ","","    3d class in both languages."
3,"*job",364,"ashes","ju","jo","joṗ","   Obl. base \I*ʔabu-r-,\i cf. Chech. \Iʔovara-n,\i Ing. \Iʔovaro,\i Bacb. \Iʔaṗajr-i.\i 4th class in all languages."
4,"*kbst (-ṭ)",415,"bark (of a tree)","kowst","kɔst","","    Obl. base \I*kbstV-\i (Chech. \Ikowsta-n,\i Ing. \Ikoasto\i); 4th class in Chech. and Ing."
5,"*‰VwV",416,"1 in, inside  2 belly","‰ 2, ‰ 1","‰ 2","‰uw 1","   The pure root is observed in Chech., Ing., Bacb. \I‰u\i "in, inside". Other forms are derivates: cf. Chech. \I‰\i "belly", \I‰\i "inside" ( = Khild. \I‰ʷj,\i Ing. \I‰\i), Ing. \I‰uʔa\i 'inside (n.)', Bacb. \I‰uw\i "inside, intestines", \I‰uwa\i "own house, dwelling". Cf. also a further derivate \I*‰Vwe-r-\i > Chech. pl. \I‰r-a\i 'intestines', Ing. \I‰ur-a\i 'offal'."
6,"*gagV",483,"belly, stomach","gaj, g","gijg","gagaʔo","   Ing. \Igijg\i goes back to \I*gag-iḳ.\i Vowel length is unclear (the Ing. obl. base \Iggo\i has a long , but it may be due to the loss of *-g-). 3d class in all lan- guages."
7,"*=aqqu-n",418,"big","=oqqa","=oqqa","=aqqo~",""
8,"*ʔlʯVʒur",419,"bird","olʯazar","ɔlʯazar","alʯaʒur","    Bcb. form quoted from Matsiyev's dictionary. 3d class in Chech. and Ing."
9,"*“u",7,"1 sparrow  2 bird","“za 1","“azilg 1","“auḳ 2","    Ing. and Bacb. forms reflect PN diminutives \I*“u-ḳ,\i \I*“a-liḳ.\i Cf. also Chech. (Usl.) \I“zu,\i Cheb. \I“zu\i etc. 3d class in all languages."
10,"*ʯ-aʔ-",88,"sit (down)","ʯaʔ-","","ʯaʔ-","    PN paradigm: term. \I*ʯ-aʔ-,\i dur. \I*ʯ-ʔ-\i (Bacb. \Iʯeʔ-\i). An old Ablaut grade \I*ʯ-oʔ-\i can be seen in Chech. \Iʯ-oʔ-,\i Bacb. \Iʯ-oʔ-\i 'to fit in (somewhere)' (intr.)."
11,"*q-a“-",32,"to bite","","","q-a“-ar","    Attested only in Bacb. (with the preverb q-), but having probable external parallels. With another preverb, *l-, cf. Bacb. \Ila“-ar\i 'to eat (together with smth.)' (term.), \Ile“-ar\i id. (dur.)."
12,"*ʕri-",11,"black","ʕra","ʕra","ʕari~","    Cf. Cheb. \Iʕri~,\i Khild. \Iʕri~\i etc. The vowelless base \I*ʕr-\i is preserved in Chech. \Iʕar-dan,\i Bacb. \Iʕar-dar\i "to paint black"."
13,"*gi",420,"blood","ij","ij","ejgi","    3d class in all languages. The same root is reflected in PN \I*ge-(n)\i "red" > Chech. \Ie-n,\i Ing. \Ie,\i Bacb. \Iege~.\i"
14,"*d(e)ʡeʯk (~-ḳ)",129,"bone","dʕaʯk","ṭeʯk","","    4th class in Chech., Ing. Cf. also Kharach. \Ideʕaʯk,\i Pharch. \Iṭeʯk.\i"
15,"*nqa",304,"breast","nqa","naqa","","    6th class in Chech., Ing. Obl. base \I*nqi-\i (Chech. \Inqa-,\i Ing. \Inqo\i)."
16,"*ṭra",421,"1 nipple 2 breast, nipple","ṭra 1","ṭar 1","ṭar 2","    Obl. base \I*ṭre-\i (Chech. \I\Iṭra-,\i\i Usl. \Iṭri-,\i Ing. \Iṭaro\i). 6th class in Chech., Ing., 7th class in Bacb."
17,"*=ḳ-",422,"to burn","=g-","=ɔg-","aḳ-dar",""
18,"*mʡra",18,"claw, finger-nail; hook, fork","mʕra","mʕara","mʕajri","    In Chech. there exists a parallel form \Imaʕar\i which is obviously secondary. The obl. base should be reconstructed as \I*mʡre-\i (cf. Chech. \Imʕra-,\i Ing. \Imʕara-,\i Bacb. \Imʕare-\i). Belongs to the 4th class in the meaning "nail, claw", but to the 6th in the meaning "hook"."
19,"*marʯo",78,"cloud","marʯa","morʯ","","    4th class in both languages."
20,"*doʯḳ",423,"1 fog 2 cloud","doʯk 1","doʯk 1","doʯḳ 2","    Obl. base \I*daʯḳi-,\i cf. Chech. (Uslar) \Ideʯki-,\i Ing. \Ideʯko.\i 3d class in all languages."
21,"*p",331,"1 ice 2 spring, brooklet","a 1","a 1","pa 1,2","    Obl. base \I*p-\i (cf. Chech. Usl. \I-\i). 5th class in Chech. and Bacb., but 6th class in Ing. There exists a derivate from this root: PN \I*p-l\i "cold (n.)" (cf. Bacb. \Ipel,\i Chech. \Iel-dan\i "to cool", Ing. \Iel-de\i id.), \I*p-li-(n\i) "cold (adj.)" (Bacb. \Ipeli~,\i Chech. \Ila,\i Ing. \Ila\i)."
22,"*=aʔ- ( --)",161,"to come","=-n","=a-n","=aʔ-ar","    PN term. \I*=aʔ-\i (or \I*=ʔ-;\i the vowel length is unclear because of loss of the laryngeal in Chech.), dur. \I*=ʔ-\i (Chech. \I-eʔ-,\i Bacb. \I-eʔ-\i)."
23,"*=a-",24,"to die","=al-","=al-","=al-ar","    *-- reconstructed on basis of Bacb. Mats. \I=a-,\i Kad. \I=al-.\i The present/ future form is PN \I*la\i (Chech.,Ing.,Bacb. \Ila\i)."
24,"*ʡali(j)",424,"dog","ʕla","ʕali","","    Possibly a loan from Kartvelian, cf. PK *ʒ1aɣl- "dog" (ESKY 236)."
25,"*p“u",26,"1 dog 2 male dog","p“u 2","p“u 2","p“u 1","    Obl. base \I*p“are-\i (Chech. \Ip“ra-,\i Ing. \Ip“aro,\i Bacb. pl. \Ip“ar-‰\i). 3d class in Chech. and Bacb., 6th class in Ing."
26,"*ma-",402,"drink","mala","mala","maar","    PN term. *ma-, dur. *m-/*m-b-- (>Chech. ml-, Ing. mel-, Bacb. me-). The *m- is probably a historical prefix."
27,"*=a-",29,"dry","=ea","=ea","=ai~","    PN \I*=a-i(n)\i "dry" is derived from the verbal base \I*=a-\i "to dry, to get dry" (cf. Chech. \I=a-\i tr., \I=aa-dala\i intr., Bacb. \I=a-dar\i tr.)."
28,"*la",425,"ear","lerg","lerg","larḳ","    The early PN paradigm must be reconstructed as \I*la,\i \I*lari-.\i The first form is preserved in Chech. \Ila-dʁa/-dʁa,\i Ing. \Ila-duwʁa\i "to listen". The second form gave rise to the diminutive \I*lari-ḳ\i which has survived as the basic word for "ear" (cf. also Cheb. \Ilarig,\i Shar. \Ilerig\i etc.). This form belongs to the 3d class in Chech., Ing. and to the 8th class in Bacb."
29,"*ltte",426,"1 earth 2 rubbish, litter","latta 1","ltta 1","latt 2","    3d class in all languages."
30,"*jobsṭ (  --)",427,"1 earth 2 loose earth","","jost 2","jobsṭ 1","    PN \I*jobsṭ,\i \I*ʔabsṭV-r-\i (cf. Ing. \Iastaro\i). 4th class in Ing., 3d class in Bacb. Without Chech. parallels the vowel length is not clear."
31,"*=a-",277,"to eat","=aʔ-","=aʔ-","=a-","    One of the cases of irregular development *-- > -ʔ- in Chech.-Ing. Also means "gnaw" in Chech."
32,"*ʔo",2303,"that","","","o","    Isolated within Nakh, but obviously an archaic pronoun stem."
