"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","TURC","TURCNUM","MONG","MONGNUM","TUNG","TUNGNUM","KOR","KORNUM","JAP","JAPNUM","REFERENCE"
   1,"*èbà",   0,"to join, meet","соединять(ся), встречать","*ab-",2001,"*aɣu-lǯa-", 646,"*ebu-re-",2327,"*àbór-", 709,"*àp-", 632,"SKE 12, Martin 234, Ozawa 167-168. An attempt of Doerfer (TMN 1, 173) to disprove Ramstedt's etymology (by supposing *h- in Mong.) is unsuccessful. Korean has a low tone, typical for the verbal subsystem."
   2,"*i̯ắbò",2038,"{rage, anger}","{гнев, ярость}","*(i)ăba",1743,"*(h)öɣe ~ *(h)eɣö", 364,"*ub(u)-", 938,"",   0,"*ámpárá-", 741,""
   3,"*ăbu", 426,"interior of the mouth","внутренность рта","*Ăburt",1592,"*owči",1659,"*(x)abu-ǯan-",1879,"",   0,"",   0,"KW 292, Лексика 226. A Western isogloss."
   4,"*č`i̯apa",   0,"groin, hip","пах, бедро","",   0,"*čabi",2153,"*čiabu-",1637,"",   0,"",   0,"A Mong.-Tung. isogloss. Not quite secure: the TM forms can be alternatively derived from *čiKü-ki, a diminutive of *čiKi (*čiKü) 'pivot' (q. v. sub \X0*č`ĭ̀k`o\x ); cf. with the same anatomical meaning Ewk. čiki, Ewn. čị̄q, Neg. čịx, Ud. cigi (ТМС 2, 391, Корм. 310).  For this etymological direction see Дыбо 1988, p. 120."
   5,"*ădV", 216,"to fit, equal, similar","подходить, равный, похожий","*ădaĺ", 859,"*adali", 776,"*ada-", 744,"",   0,"",   0,"A Western isogloss. Cf. several similar roots: \U*idV\u 'to follow, lead'; \U*i̯ude\u 'to imitate, simulate', with a natural tendency towards contamination."
   6,"*agà",1145,"rain; air","дождь; воздух","",   0,"*agaɣar", 231,"*aga",  94,"*ak-su",1164,"*àkî",1196,"Lee 1958, 119 (Kor.-TM), АПиПЯЯ 291, ТМС 1, 11. The TM form is not borrow < Mong., pace Rozycki 11. *agaɣar (cf. the length in all dialects) < *aɣa-ɣar, with regular dissimilation. The Jpn. form may be attributed here if it originally meant "rainy season" (cf. "rain, thunder" in TM); autumn is not so rainy in present-day Japan, but it must have been different in the original homeland."
   7,"*ágà ( ~ e-)",1007,"mouth, to open mouth","рот, открывать рот","*Agɨŕ",  55,"*ag-", 359,"",   0,"*hà-", 997,"*ákúp-", 619,"SKE 5, Martin 234, Колесникова 1972a, 77-78, АПиПЯЯ 80, 283 (confused with *ák`a), Лексика 225. Despite Poppe 95 Mong. aɣur 'steam, anger' hardly belongs here (see under \U*ắp`i\u). The root should be distinguished from *ák`a, although they tend to be confused: thus, Mong. \I*ag\i 'crack' could quite possibly reflect *ák`a. Some phonetic comments: Mong. *aguji regularly < *aɣuji with velar fricative dissimilation; Korean has lost the first vowel in a long derivative (a rather frequent phenomenon)."
   8,"*àgŋa",   0,"net; to spin, plait","сеть; вязать, плести","*āg", 873,"*aɣoga",1432,"*aŋ(g)a", 953,"",   0,"*àm-, *àmì", 749,"Лексика 419. The root has some irregularities (Jpn. tone does not correspond to Turkic length): there may have been some interaction with \U *ăŋu\u  q.v."
   9,"*agu-la",1185,"uninhabited place, wilderness","незаселенное место, пустошь","*aglak", 857,"*aɣula",  60,"*agulān", 937,"",   0,"",   0,"Poppe 58. A Western isogloss. May be derived from the root reflected in TM as *agī- 'to walk without a road', 'wilderness' (ТМС 1, 13; its borrowing from Mong. aɣui 'wide', suggested by Poppe 1972, 101, Doerfer MT 123, is highly dubious). Note that vowel length in PT *aglak is unknown; if the original meaning of the root was 'to nomadize', one is tempted to compare also PT *āgɨl 'settlement' (originally perhaps 'nomadic settlement'; see Лексика 492-493, 522-523, ЭСТЯ 1, 65-66, 83-85, TMN 2, 82-84, Stachowski 257), whence probably MMong., WMong. ajil id. ( > Evk. \Iail\i etc., see Doerfer MT 125). Not borrowed from Turkic, but rather genuine may also be WMong. ajimak 'a group of ajil's' (TMN 1, 184-185: Mong. > Khak., Tuva ajmaq (see also ЭСТЯ 1, 110), Man. ajman etc.)."
  10,"*ằjbo", 260,"grass","трава","",   0,"*ebe-sü", 775,"*(x)abü-", 939,"",   0,"*àwə̀-",  33,"*-j- should be reconstructed to account for Mong. e- and for Jpn. -w-. The semantic derivation *'grass' > 'green' is quite common."
  11,"*ăjV",2017,"good, fitting","хороший, подходящий","*ăja-", 253,"*(h)aja", 226,"*aja, *aju-",  48,"",   0,"",   0,"KW 3, Владимирцов 282 (Turk.-Mong.), EAS 97, 139, Poppe 66 (with an unreliable Korean parallel), АПиПЯЯ 290, Дыбо 12. A Western isogloss. Because of a semantic difference, TM forms are hardly borrowed from Mong., despite Doerfer MT 46."
  12,"*ăjVrV",   0,"sour milk, melted fat","кислое молоко, топленый жир","*ajran",1808,"*ajirag",1894,"*ajara-",2140,"",   0,"",   0,"Владимирцов 283. Despite Doerfer TMN 2, 180, Щербак 1997, 96, hardly borrowed in Mong. < Turk. A Western isogloss; but cf. perhaps Kor. ari- 'bitter', Middle Jpn. \Iera-\i 'rank, offensive'."
  13,"*ák`à", 985,"to open, opening","открывать, отверстие","",   0,"",   0,"",   0,"*àk-", 148,"*áká-",1661,"Martin 238. A Kor.-Jpn. isogloss: in other languages (Turkic, Mongolian) the root has probably merged with \U*ága\u 'mouth, open mouth' q. v."
  14,"*ák`à ( ~ -k-,-o)",   0,"dirt, filth","грязь","",   0,"*(h)ag",2047,"*(x)aK-",2273,"",   0,"*ákà", 848,"The root is not very widely represented, but seems reliable."
  15,"*ak`a-",   0,"a k. of aquatic bird","вид водоплавающей птицы","*Akańa", 861,"*(h)akawna", 858,"*aKa", 941,"",   0,"",   0,"ТМС 1, 24. A Western isogloss. The TM languages reflect a compound *aKa-nīkü (with *nīkü 'duck' < PA \U*nīkV\u q.v.); the same compound in a somewhat distorted shape may be also present in the PT and PM forms."
  16,"*ắk`è",   0,"to advance gradually, slowly","продвигаться постепенно, медленно","*(i)akuru-",1638,"*(h)aki-",1487,"",   0,"",   0,"*ə́kúr(á)-",1366,"The Turk. and Jpn. forms reflect a derivative *ak`e-ru-."
  17,"*ŏ̀k`à", 242,"sharp point, notch","острие, зазубрина","*ok", 858,"*(h)oki", 450,"*ok-",2293,"",   0,"*àkuàjaì", 742,"Poppe 98, 134, KW 284. The morphological structure of Jpn. is not quite clear (perhaps some old compound is reflected); this, together with rather scarce representation in TM, makes the reconstruction not quite reliable. Note that the Jpn. form may also continue PA *ā̀gV q.v."
  18,"*ằgò",   0,"trade","торговля","*Agɨ",1793,"*(h)ag-su-, *(h)aɣu-ra-",1926,"",   0,"",   0,"*àkì",1512,"Владимирцов 319 (Turk.-Mong.). An interesting common Altaic economic term, denoting the barter process or barter objects."
  19,"*ằk`ú", 986,"to dig, delve","копать, долбить","",   0,"*uku-", 755,"*axiri-",1924,"",   0,"*ùnkàt-",1387,"PJ *ùnkàt- and PTM *akiri- may reflect a PA derivative *ằk`ú-rV-."
  20,"*ắla",  48,"take, receive","брать, получать","*ạl-", 862,"*ali-", 859,"*al(i)-", 942,"",   0,"*á-", 745,"KW 6, EAS 140, Poppe 75, Doerfer MT 239 (attempts to disprove the etymology in TMN 2, 122 are futile). The reason for close *ạ in PT is unclear (*al- would be normally expected). Note, however, that the Jpn. reflex represents loss of *-l- in a verbal stem, thus strongly suggesting an original monosyllabic form *ál (cf. *gèle, {*si̯óle})."
  21,"*ála", 500,"hail, ice","град, лед","",   0,"",   0,"*(x)al-dan",2377,"*ə̀r-", 216,"*árárái (~-ría)", 282,"Martin 232. Basically a Kor.-Jpn. isogloss; the TM evidence is very scanty and thus dubious."
  22,"*àlak`u",   0,"to walk, step","ходить, шагать","",   0,"*alku-", 155,"",   0,"",   0,"*àrùk-",  84,"A Mong.-Jpn. isogloss. See АПиПЯЯ 278. Man. alxun 'step', alkūn 'the gait of a horse or other livestock'  is no doubt borrowed from Mongolian (see Rozycki 16-17). The Jpn.-Mong. comparison seems to us preferable to other etymologies of the Mongolian form (see ОСНЯ 3,66-70; Poppe 96, KW 7 - Mong. alqu-: Turk. *āĺ-). The stem can be possibly derived from a root reflected in Mong. *ala 'inner side of thigh' (L 26; Poppe 75; pl. \Ialas,\i whence Evk. \Ialas,\i see Doerfer MT 94; hence also WMong. alčaji-, Khalkha alcaj- 'to spread the legs', Dag. alčī- id., WMong. alčaɣar, alčaŋ, Khalkha alcan 'bowlegged'; but to be distinguished is \U\I*ale\u\i 'below' q. v.)."
  23,"*ằĺčà",   0,"knucklebone; foot","лодыжка, бабка; нога","*(i)aĺ(č)uk", 232,"*(h)alču", 146,"*(x)ajū", 181,"",   0,"*àsì",  29,"Poppe 86, 95, TMN 2, 115, АПиПЯЯ 275, Дыбо 15, Лексика 288."
  24,"*alda",   0,"fathom","сажень","",   0,"*alda", 647,"*alda-n", 798,"*ară-m", 710,"*ata", 633,"Ozawa 38-40, АПиПЯЯ 16, 71, Rozycki 18-19. Despite Doerfer MT 111, TM forms are hardly < Mong. (because of a semantic difference). A possible parallel in Turkic could be *adɨ[ĺ] > OT adɨt 'handful', Kirgh. adɨš, Yak. ɨtɨs 'palm' (VEWT 7, ЭСТЯ 1, 100-101, 410, Лексика 252, Stachowski 263), but there are some phonetic and semantic problems. Note, however, that OJ ata also denotes a small measure of length (8 sun, or about 12 centimetres) - rather a span than a fathom. Such a semantic development may presuppose an earlier usage of *alda in constructions like 'big fathom' - 'small fathom' ( = 'span') both in Turkic and Japanese."
  25,"*ale", 409,"below, lower","низ, опускать","*ăl", 702,"",   0,"",   0,"*àrái", 650,"*ə̀rə́-", 581,"SKE 6, EAS 106, Martin 230. The tone correspondence between Kor. and Jpn. is irregular."
  26,"*ăĺi", 647,"to know; to listen, hear","знать; слушать, слышать","*ẹĺit-",  40,"*al-dar", 181,"*ala-", 242,"*ār-",  46,"",   0,"EAS 140, 154, SKE 7 (Mong.-Kor.-Tung.), АПиПЯЯ 282; closed *ẹ in PT may be explained by a secondary narrowing in a disyllable *eĺ-it- > *ẹĺ-it- (cf. *er-kek > *ẹr-kek etc.)."
  27,"*áĺi", 228,"sand","песок","*Aĺu",1410,"*ele-sü",  76,"*al-",1626,"",   0,"*ísá-, *ísuá",1587,"PJ *ísuá < *ísá-gV; the root's similarity to *(d)isi `stone' is accidental (no -i/-a alternation exists in Japanese)."
  28,"*álikV", 648,"a k. of small animal","вид небольшого животного","*Ălaŋɨr", 866,"*(h)alag-", 861,"*(x)algi-n", 945,"",   0,"*írúká",1031,"In Turk. and Mong. the stem is associated with the reflexes of \U*ālV\u 'variegated' (q. v.), which is most probably a folk etymology. In Japanese the meaning 'dolphin' must be a secondary transformation of 'otter-like animal' (cf. the meaning 'otter' in TM)."
  29,"*ălgi", 256,"net, sieve","сеть, сито","*ĕlge-", 863,"",   0,"*alga", 943,"*ərkəmi", 879,"",   0,"EAS 145, SKE 53 (Kor. is somewhat doubtful: KED 1142 has only əlgɨm čhe 'rough sieve' - lit. 'pock-marked sieve')."
  30,"*ălpa", 537,"unable, sick; being at service, man-at-arms","слабый, больной; бесправный, наемник","*ălp-",1729,"*alba-n", 645,"*alba-", 796,"*àrphằ-", 707,"*apar-", 631,"Poppe 85, 121 (Turk-Mong.); TMN 2, 110-111."
  31,"*àlu",2016,"good, beautiful","хороший, красивый","",   0,"*(h)olig",2094,"*(x)ala",1851,"*àr-",1052,"*ùrùpà-",1338,"SKE 14. Kor. has a usual "verbal" low tone."
  32,"*aĺV",1826,"fresh crops, germinated seeds","проросшие семена, молодые злаки","*(i)ăĺ-",1353,"*(h)alir-su", 191,"*alu-",1546,"",   0,"",   0,"A Western isogloss: outside the Western area cf. perhaps OJ azami 'sow-thistle'."
  33,"*emV(ŋV)",   0,"saddle, belt","седло, пояс","*ẹ̆dŋe-r", 334,"*emeɣe-l", 286,"*emu-l",2252,"",   0,"",   0,"Мудрак Дисс. 102, Лексика 539. A Western isogloss. The Turkic form should be explained as a contraction < *emŋe-der (*emŋe- = Mong. emeɣe-)."
  34,"*ắmo", 876,"mouth; taste (*amo-t`a, *amo-sa)","рот; вкус (*amo-t`a,*amo-sa)","*um-, *um-sa-", 619,"*ama-, *amsa-, *amta",  61,"*amŋa, *amta-",  81,"*más", 172,"*ámá-, *ántí", 207,"EAS 116, 140, Poppe 68, Колесникова 1972a, 73-77, Martin 248, АПиПЯЯ 46-47, 70, 291, Rozycki 18.  A common Altaic root with old derivatives meaning 'taste': *ámo-sa- > Turk. *umsa-, Mong. *amsa-, Kor. *más; *ámo-t`a > Mong. *amta, TM *amta-, Jpn. *ántí. The deriving root itself, with its basic meaning 'mouth', could probably also designate 'to taste' in predicative    function   (cf. the suffixless Jpn. *ámá- 'tasty, sweet' and PT *um- (*'to taste, have a taste for' > 'to hope'). Despite Doerfer MT 19, TM *amŋa 'mouth' cannot have anything in common with Mong. *haŋga 'crack, hole' (on this form see sub *àŋa and *p`eŋi)."
  35,"*ámbe",1950,"heavy, big","тяжелый, большой","",   0,"*amban",1304,"*amba-",   8,"*mɨ̀-", 105,"*ə́m(p)ə́-",  79,"Martin 233, АПиПЯЯ 103, 277. Kor. has lost the initial vowel, as in many other cases (*mɨ̀- < *ə̀mɨ̀-). Rozycki 17 supposes Man. > Mong. which is not excluded."
  36,"*ămV",   0,"quick, timely","быстро, своевременно","*(i)am-",1296,"*(h)am-",1275,"*am-",1471,"*ām", 920,"",   0,"AKE 6, EAS 117. {An attempt of a Nostr. etymology see in ND 38 *ʔamV 'iste', 'now'}."
  37,"*ắni",1331,"very","очень","*eŋ", 870,"*aŋ-ka", 865,"*ana-", 950,"*àńí", 922,"",   0,"SKE 5, EAS 119. Turkic and Mongolian reflect a suffixed form *ắni-k`V, with assimilation *-n- > *-ŋ- (and further reduction in Turkic)."
  38,"*ant`a", 436,"hill, slope","холм, склон","",   0,"",   0,"*antaga", 402,"*əntək(h)", 219,"*antuma",1042,"An Eastern isogloss: in Turk. cf. perhaps, Turkm. aŋŋat 'sandhill, mound'."
  39,"*àŋa", 480,"hole, crack, gape","дыра, щель, зиять","*aŋ-",1996,"*aŋ, *aŋga-", 870,"*aŋa-", 955,"",   0,"*ànà", 751,"Poppe 72, АПиПЯЯ 81. Mong. *aŋga- < *aŋa-ga-."
  40,"*ăŋatV",1105,"a k. of duck","вид утки","*Ăŋ(k)ɨt", 872,"*aŋgir", 868,"*andi", 952,"",   0,"*anti", 748,"АПиПЯЯ 71, Лексика 172. Cf. also Mong. aŋgat 'аркалик (птица)' ( < Turk.); but for *aŋgir borrowing is hardly possible, despite TMN 2, 130, Щербак 1997, 192. Mong. -r here requires an explanation: it is most probably a result of reinterpreting the original *aŋgid as a plural form and rebuilding a new singular *aŋgir (cf. *nökör - *nököd etc.). The word is widely spread in Siberian languages, see Аникин 70."
