"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","AJP","MJP","TOK","KYO","KAG","NAS","SHU","HAT","YON","COMMENTS"
   1,"*muta",1371,"together with","вместе с","muta","","","","","","","","",""
   2,"*páp(u)í",1629,"ashes","зола","pap(j)i","fáfí","hài","háí","hé","Fɛ́","Fḗ","pḕ","","JLTT 396."
   3,"*kapa", 988,"skin, leather; bark","кожа; кора","kapa","kàfà","kawá","káwá 'skin', kàwá 'leather'","kawá","kó","kā́","","kā̀","JLTT 445. The tone opposition in Kyoto points to PJ *kápá 'skin' vs. *kàpà or *kàpá 'leather' (the RJ and Tokyo accentuation pointing to *kàpà, but Kyoto - to *kàpá)."
   4,"*pàrà",1632,"belly","живот","para","fárà","hará","hárà","hará","","","","","JLTT 399. Modern dialects (especially Kagoshima) point to *pàrà, but the attested RJ form is fárà."
   5,"*ə̀pə̀-", 442,"big; many","большой; много","opo-; opo(ki)-","òfò-; ofo(ki)-","ṓ-; ōkí-","ō̂-","ṓ-","Fū́-","úFú-","bù-sà-","","JLTT 838."
   6,"*tə́rí",2437,"bird","птица","tori","tórí","tòri","tórí","tói","tùrí","túì","tù̲ṟɨ̀","","JLTT 550."
   7,"*kàm-", 759,"to bite","кусать","kam-","kàm-","kám-","kàm-","kám-","kàmj-","kánā́s-, kán-","kà̲m̲-","kàm-","JLTT 703."
   8,"*kùruà-", 734,"black","черный","kurwo-","kùrò-","kuró-","kúrò-","kuró-","k`ùrù-","kúrú-","ffà-","kùrá-sá-","JLTT 833."
   9,"*tí", 249,"blood","кровь","ti 'blood; spirit, force'","tí","chì","chī́","chí","čí","čī́","ʒɨ̄̀","čī́","JLTT 545. The reading ti for 'blood' in OJ is quite certain because of the makurakotoba tipayaburu, which is written alternatively with the characters 知 (Kojiki), 千 (e.g. Man'yōshū  2663) and 血 (Man'yōshū 3236)."
  10,"*pə̀nià",1735,"bone","кость","p(w)one","fònè","honé","hóne","honé","Fúnɨ̀","Fúní","pù̲ṉí","Fùní","JLTT 414."
  11,"*kùmua",1116,"cloud","облако","kumwo","kùmò","kúmo","kúmò","kumó","k`ùmú","kúmú","fù̲m̲óN","m̀mù","JLTT 463. Tokyo points to a variant *kùmuá-N, Kyoto and RJ - to *kùmuà-N."
  12,"*sàmù-",1914,"cold","холодный","samu-","sàmù-","samú-","sábù-","samí","","","","","JLTT 839."
  13,"*kə̀-", 495,"to come","приходить","ko-","kú","kú-","kù-","kú-","kj-","č-","kù-","kù-","JLTT 716. The RJ form is kú (final), but modern dialects point unanimously to *kə̀- (perhaps there was a metatony in this irregular paradigm)."
  14,"*sín-",2092,"die","умирать","sin-","sín-","shìn-","shín-","shín-","šìn-","šìn-","sɨ̲̀ṉ-","ǹní-","JLTT 752."
  15,"*ìnù",1536,"dog","собака","inu","ìnù","inú","ínù","ínu  ( = íŃ)","ìŃ","íŃ","ìnú","ìnù","JLTT 425."
  16,"*nə̀m-",1219,"drink","пить","nom-","nòm-","nóm-","nòm-","nóm-","nùmj-","núm-","nùm-","nùm-","JLTT 737."
  17,"*kàwà(ra)-k-",1050,"dry, to dry up","сохнуть","kawak-","kawak- (RJ kàfàk-)","kawák-","káwák-","kòrak-","kòràkj-","kā́ràč-","kàrùg-","kàrág-","JLTT 706."
  18,"*mìmì",1239,"ear","ухо","mjimji","mìmì","mimí","mímì","mimí ( = míŃ)","mìŃ","mímí","mìšì̲kùrùmíN","mìn-tàFù; mìmbùrù 'head'","JLTT 478. Cf. Yon. mìmbùrù 'head'."
  19,"*tùtì",2364,"earth","земля","tuti","tùtì","tsuchí","tsúchì","tsuchí  (tsuT́)","","","","","JLTT 557."
  20,"*tàmàp-",2302,"1 to present (pol.) 2 to eat","1 преподносить  2 есть","tamap-, tab-","tàmàf- 1","tabé- 2","tàbè-2","tabé- 2","","","","","JLTT 760. The meaning 'eat' is a late specialization < 'present (politely)'."
  21,"*tàma",2714,"1 ball  2 egg","1 шарик  2 яйцо","tama 1","tàmà 1","tamá 1, tamágo 2","tàmá 1, tàmágò 2","tamá 1, tamagó 2","","támágú 2","","","JLTT 539, 540. RJ has both tàmà and tàmá (the former reflected in Tokyo, the latter in Kyoto)."
  22,"*mài(N), *mì-",1473,"1 eye 2 to see","1 глаз 2 видеть","me 1, mji- 2","mè 1, mì- 2","mé 1, mí- 2","mèe 1, mì- 2","mé 1, mí- 2","mɨ́ 1, mj- 2","mī́ 1, n̄ǯ- 2","mìŃ 1, mì- 2","mī̀ 1, nn- 2","JLTT 474, 724. Nasal -N can be reconstructed on the basis of Hateruma (Ryukyu) mìŃ - although one cannot exclude that this is a later addition."
  23,"*àmpùr-à",  -2,"fat","жир, масло","abura","","àbura","ábura","abura","àbùrá","ándá","","àndà",""
  24,"*pánái",1858,"feather","перо","pane","fáné","hàne","hánè","háne","hànɛ́","hánì","pà̲ṉì","hàní","JLTT 398."
  25,"*pə̀-i",1828,"fire","огонь","pi","fì","hí","hìi","","","Fī́","","čī̀; xìgùN 'ashes'","JLTT 405."
  26,"*sáká-i",2101,"sake, alcoholic drink","сакэ","sake","sáké","sàke","sáké","","","","","","JLTT 517. Modern sakana 'fish' is a late word, going back to MJ saka-na 'food (orig. 'vegetables') taken together with sake'; it is not attested in OJ."
  27,"*(d)íwuá",2611,"fish","рыба","iwo","íwó","ùo","","íwo","ʔjú","íju","jū̀","ìjú","JLTT 563."
  28,"*tə́mp-",2231,"to fly","летать","tob-","tób-","tòb-","tób-","tób-","tùbj-","tùb-","tùp-","tùb-","JLTT 768."
  29,"*àsì",  23,"foot","нога","asi","àsì, àsí","ashí","áshì","áshí","","","","","JLTT 385.  OJ also has a variant \Ia-\i in compounds (obviously a contraction)."
  30,"*kúrá-",1105,"to give (to the 1st p.)","давать (1му л.)","","kúrá-","kùre-","kúré-","kuré-","k`ùrɛ̀-","kwìjú-","xìrù-","","JLTT 716."
  31,"*á(n)ká-",2138,"1 to raise   2 give","1 поднимать  2 давать","aga- 1","ágá- 1","àge- 1, 2","ágé- 1, 2","agé- 1, 2","","","","","Also intrans. *ánká-r- 'to rise'. See JLTT 674, 675."
  32,"*də̀-", 388,"good","хороший","jo-","jò-","í-, yó-","ḕ","yò-","","ju-ta-","","","JLTT 845."
  33,"*àwə̀-",  10,"green, blue","зеленый, синий","awo-","àwò-","aó-","áo-","aó-","ṓ-","ṓ-","ṑ-","àù-čí̲čí","JLTT 825."
  34,"*kái",1027,"hair","волос","ke","ké","kè","kē̂","ké","kɨ́","kī́","kī̀","kī́","JLTT 447."
  35,"*tà-i", 362,"hand, arm","рука","te","tè","té","tḕ","té","tɨ́","tī́","šī̀","tī̀","JLTT 545."
  36,"*àtàmà",1588,"1 top of head  2 head","1 темя  2 голова","","àtàmà 1, 2","atamá 2","átàmà 2","atamá 1","","","àmàsɨ̲̀kùrɨ̀ 2","","JLTT 387."
  37,"*kí-k-",1156,"hear","слышать","kjik-","kík-","kìk-","kík-","kík-","k`ìkj-","čì̲č-","sɨ̲̀k-","k`-","JLTT 708."
  38,"*bà-", 126,"I, we","я, мы","wa-","wàré, wátákúsí","wàtashi","wàte","ói","wáǸ","wáŃ 1, wáttā́ 2","bànù","ánù","The form watakusi is regarded by Mochizuki 1971 as *wa-tu-(a)ku si 'my place direction', and by Martin (JLTT 569) as *ba-tukusi 'exhaust me' or 'I exhaust'. Rising accent in wátákúsí is unclear."
  39,"*kə́r-", 773,"1 to kill 2 to curse","1 убивать 2 ругать","koros- 1, kor- 2","kórós- 1","kòros- 1","kórós- 1","korós- 1","kùrùs-","kùrús-","kù̲ṟàs-","kùr-","JLTT 713."
  40,"*sír-",1946,"to know","знать","sir-","sír-","shìr-","shír-","shír-","","šĳ-","","č-","JLTT 752."
