"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","PHN","AKO","REFERENCE"
   1,"*mo█t-",1371,"all","весь","modu","mo█ta▀▒-","Nam 214, 217, KED 641. Derived from the verbal root mo█t- 'to gather, flock together'."
   2,"*╢a▀▒i",2603,"ashes","зола, пепел","╢▓","╢a▀▒i","Nam 418, KED 1409."
   3,"*ka█ph- / *kЇ█ph-", 988,"1 bark  2 skin","1 кора  2 кожа","k:Їp╢il 1, k:aph╞l, k:Їph╞l, k:Їptegi 2","ka█ph╞▒r, ka█pha▀▒r, kЇp╢ir 1, 2","Nam 8, 38, KED 29, 89, 103."
   4,"*pa▀▒i",1632,"belly","живот","\Ip▓\i","pa▀▒i","Nam 251, KED 743."
   5,"*k╞h-", 868,"big","большой","kh╞-","kh╞▒-","Nam 455, KED 1679. The Kirim transcription ╢┬о┌ MC [x k-k n] may represent either *h╞k╞- (as believed by Lee 1991, Ramsey 1993 and Vovin 2000) or *hk╞- = *kh╞- < *k╞h-, keeping in mind the general uncertainty of Kirim transcriptions."
   6,"*s░i",2070,"bird","птица","\Is┤\i","s░i","Nam 295, KED 919."
   7,"*m╞█r-",1343,"to bite","кусать","mul-","m╞█r-","Nam 229, KED 677."
   8,"*kїm-",1142,"black","черный","kїm-, k:їm-, k░m-, k:░m-","kїm-, kЇ█m-","Liu 48, HMCH 278, KED 101. Modern length and gemination are obviously late and expressive."
   9,"*pi▒h", 167,"blood","кровь","\Iphi\i","phi▒","Nam 465, KED 1771."
  10,"*s-pjЇ▒",1735,"bone","кость","p:jЇ","spjЇ▒","Nam 258, KED 774."
  11,"*╢jЇ▒╢", 260,"breast (f.)","грудь (женская)","╢Їt [╢Ї╢]","╢jЇ▒s","Nam 426, KED 1460."
  12,"*tha▀█-", 367,"to burn","гореть, жечь","tha- (itr.), th▓u- (tr.)","tha▀█- (itr.), tha▀█i'o▒- (tr.)","Nam 456, 457, KED 1684, 1697."
  13,"*to█ph",2404,"finger-nail, toe-nail","ноготь","son-thop","tho█p","Nam 459, KED 1708."
  14,"*ku▒ru█m",1116,"cloud","облако","kur╞m","ku▒ru█m","Nam 59, KED 199."
  15,"*╢ha▀▒-", 304,"cold","холодный","╢ha-","╢ha▀▒-","Nam 447, KED 1561."
  16,"*o▒-",1595,"to come","приходить","\Io-\i","o▒-","Nam 379, KED 1196."
  17,"*╢u█k-", 329,"1 to die  2 to kill (*╢u█k-jo-) 3 to bow, incline 4 to squat","1 умирать 2 убивать (*╢u█k-jo-) 3 наклоняться 4 сидеть на корточках","╢uk- 1, ╢ugi- 2, k:ul(h)- 3, ╢:ug╞ri-  3, 4","╢u█k- 1, sku▒r- 3, ╢u█sk╞█ri▒- 4, ╢u█kjo▒-m 'killing'","Nam 433, 434, 63, KED 1503, 1504, 219, 1470, 1494."
  18,"*ka█╤-", 723,"1 dog 2 puppy","1 собака 2 щенок","\Ik┤\i 1, ka╤a√i 2","ka█hi▒ 1, ka█╤'a█╢i▒ 2","Nam 8, 28, KED 65, 61. The form ka█hi▒ points to a suffixed *ka█╤-h- ( < *ka╤V-k-). With *-n▒- cf. also MKor. kЇ█n▒'uЇ█n▒i▒ 'a k. of dog' (Liu 50)."
  19,"*mЇk-",1384,"1 to eat  2 to drink","1 есть  2 пить","mЇk- 1, 2","mЇ█k- 1","Nam 211, KED 609."
  20,"*ma█-", 642,"to drink","пить","masi-","ma█-si▒-","Nam 193, KED 563."
  21,"*ma▀█ra▀█-",1278,"dry","сухой","mar╞-","ma▀█ra▀█-","Nam 195, KED 561."
  22,"*ku▒i",1156,"ear","ухо","kwi","ku▒i","Nam 64, KED 226."
  23,"*sta▒(h)",1937,"earth","земля","t:a╤","sta▒ (sta▒h-)","Nam 133, KED 413. The addition of -╤ in modern Korean is not quite clear."
  24,"*ha▀█rk",2034,"earth","земля","h╞k [h╞lk]","ha▀█rk","Nam 480, KED 1894."
  25,"*╢░-",2596,"to eat","есть","╢░si-, ╢apsu-","╢░-si▒-","Nam 411, KED 1380, 1398."
  26,"*a▒rh", 411,"egg","яйцо","\Ial\i","a▒r (a▒rh-)","Nam 346, KED 1088."
  27,"*nu▒n",1473,"eye","глаз","\Inun\i","nu▒n","Nam 115, KED 359."
  28,"*ki█r╞▒m",1045,"fat","жир","kir╞m","ki█r╞▒m","Nam 78, KED 265."
  29,"*ki▒╢", 939,"1 collar 2 feather, feathers, plumes 3 diaper(s), swaddling clothes","1 воротник 2 перо, оперение 3 пеленки","\Ikit\i [kis] 1, 2, ki√Їgwi 3","ki▒s 3, ki╢ 1","Nam 82, 83, KED 274, 282."
  30,"*p╞▒r",1828,"fire","огонь","pul","p╞▒r","Nam 273, KED 832."
  31,"*ko█ki▒", 910,"fish, meat","рыба, мясо","kogi","ko█ki▒","Nam 45, KED 135."
  32,"*na▀█r-",1442,"to fly","лететь","nal-","na▀█r-","Nam 96, KED 302."
  33,"*pa▒r",1616,"foot","нога","\Ipal\i","pa▒r","Nam 245, KED 722."
  34,"*ka▀█ta▀█k-", 780,"full","полный","kad╞k-, kat:╞k-","ka▀█ta▀█k- / ka▀█ta▀█ik-","Nam 9, KED 9."
  35,"*╢u▒-", 242,"to give","давать","╢u-","╢u█- 'give', ╢ёi-╢hu▒- 'to present'","Liu 670, 673, HMCH 332, KED 435."
  36,"*tj╥h-", 388,"good","хороший","╢╥- [╢╥h-]","tj╥h-","Nam 162, KED 1488."
  37,"*p╞█rh-",1836,"1 green 2 grass","1 зеленый 2 трава","phur╞- 1, phul 2","ph╞█r╞▒- 1, ph╞▒r 2","Nam 464, 465, KED 1761, 1763. Rising tone in ph╞▒r is probably secondary (due to contraction < *p╞█rVh)."
  38,"*tЇ█rh-",2350,"1 hair  2 feather","1 волос 2 перо","thЇl 1","thЇ█ri▒, thЇ█rЇ█k","Nam 458, KED 1702."
  39,"*so▒n",2769,"hand","рука","\Ison\i","so▒n","Nam 308, KED 985."
  40,"*mЇ█ri▒",1274,"head","голова","mЇri","mЇ█ri▒","Nam 210, KED 608."
  41,"*t╞█d-",2278,"to hear","слышать","t╞t- (-r-)","t╞█t- (-r-)","Nam 173, KED 532."
  42,"*ma▀█n▒a▀█m",1315,"heart","сердце","ma╞m","ma▀█n▒a▀█m","Nam 196, KED 564."
  43,"*s-p╞▒r", 646,"horn","рог","p:ul","sp╞▒r","Nam 274, KED 832."
  44,"*na█",1524,"I","я","\Ina\i","na█","Nam 85, KED 284."
