NUMBER|PROTO|PRNUM|MEANING|RUSMEAN|PHN|AKO|REFERENCE
1|*mòt-|1371|all|весь|modu|mòtắ-|Nam 214, 217, KED 641. Derived from the verbal root mòt- 'to gather, flock together'.
2|*čắi|2603|ashes|зола, пепел|čä|čắi|Nam 418, KED 1409.
3|*kàph- / *kə̀ph-|988|1 bark  2 skin|1 кора  2 кожа|k:əpčil 1, k:aphɨl, k:əphɨl, k:əptegi 2|kàphɨ́r, kàphắr, kəpčir 1, 2|Nam 8, 38, KED 29, 89, 103.
4|*pắi|1632|belly|живот|\Ipä\i|pắi|Nam 251, KED 743.
5|*kɨh-|868|big|большой|khɨ-|khɨ́-|Nam 455, KED 1679. The Kirim transcription 黑根 MC [xʌk-kʌn] may represent either *hɨkɨ- (as believed by Lee 1991, Ramsey 1993 and Vovin 2000) or *hkɨ- = *khɨ- < *kɨh-, keeping in mind the general uncertainty of Kirim transcriptions.
6|*sāi|2070|bird|птица|\Isǟ\i|sāi|Nam 295, KED 919.
7|*mɨ̀r-|1343|to bite|кусать|mul-|mɨ̀r-|Nam 229, KED 677.
8|*kə̄m-|1142|black|черный|kə̄m-, k:ə̄m-, kām-, k:ām-|kə̄m-, kə̀m-|Liu 48, HMCH 278, KED 101. Modern length and gemination are obviously late and expressive.
9|*píh|167|blood|кровь|\Iphi\i|phí|Nam 465, KED 1771.
10|*s-pjə́|1735|bone|кость|p:jə|spjə́|Nam 258, KED 774.
11|*čjə́č|260|breast (f.)|грудь (женская)|čət [čəč]|čjə́s|Nam 426, KED 1460.
12|*thằ-|367|to burn|гореть, жечь|tha- (itr.), thäu- (tr.)|thằ- (itr.), thằi'ó- (tr.)|Nam 456, 457, KED 1684, 1697.
13|*tòph|2404|finger-nail, toe-nail|ноготь|son-thop|thòp|Nam 459, KED 1708.
14|*kúrùm|1116|cloud|облако|kurɨm|kúrùm|Nam 59, KED 199.
15|*čhắ-|304|cold|холодный|čha-|čhắ-|Nam 447, KED 1561.
16|*ó-|1595|to come|приходить|\Io-\i|ó-|Nam 379, KED 1196.
17|*čùk-|329|1 to die  2 to kill (*čùk-jo-) 3 to bow, incline 4 to squat|1 умирать 2 убивать (*čùk-jo-) 3 наклоняться 4 сидеть на корточках|čuk- 1, čugi- 2, k:ul(h)- 3, č:ugɨri-  3, 4|čùk- 1, skúr- 3, čùskɨ̀rí- 4, čùkjó-m 'killing'|Nam 433, 434, 63, KED 1503, 1504, 219, 1470, 1494.
18|*kàŋ-|723|1 dog 2 puppy|1 собака 2 щенок|\Ikǟ\i 1, kaŋaǯi 2|kàhí 1, kàŋ'àčí 2|Nam 8, 28, KED 65, 61. The form kàhí points to a suffixed *kàŋ-h- ( < *kaŋV-k-). With *-ń- cf. also MKor. kə̀ń'uə̀ńí 'a k. of dog' (Liu 50).
19|*mək-|1384|1 to eat  2 to drink|1 есть  2 пить|mək- 1, 2|mə̀k- 1|Nam 211, KED 609.
20|*mà-|642|to drink|пить|masi-|mà-sí-|Nam 193, KED 563.
21|*mằrằ-|1278|dry|сухой|marɨ-|mằrằ-|Nam 195, KED 561.
22|*kúi|1156|ear|ухо|kwi|kúi|Nam 64, KED 226.
23|*stá(h)|1937|earth|земля|t:aŋ|stá (stáh-)|Nam 133, KED 413. The addition of -ŋ in modern Korean is not quite clear.
24|*hằrk|2034|earth|земля|hɨk [hɨlk]|hằrk|Nam 480, KED 1894.
25|*čā-|2596|to eat|есть|čāsi-, čapsu-|čā-sí-|Nam 411, KED 1380, 1398.
26|*árh|411|egg|яйцо|\Ial\i|ár (árh-)|Nam 346, KED 1088.
27|*nún|1473|eye|глаз|\Inun\i|nún|Nam 115, KED 359.
28|*kìrɨ́m|1045|fat|жир|kirɨm|kìrɨ́m|Nam 78, KED 265.
29|*kíč|939|1 collar 2 feather, feathers, plumes 3 diaper(s), swaddling clothes|1 воротник 2 перо, оперение 3 пеленки|\Ikit\i [kis] 1, 2, kiǯəgwi 3|kís 3, kič 1|Nam 82, 83, KED 274, 282.
30|*pɨ́r|1828|fire|огонь|pul|pɨ́r|Nam 273, KED 832.
31|*kòkí|910|fish, meat|рыба, мясо|kogi|kòkí|Nam 45, KED 135.
32|*nằr-|1442|to fly|лететь|nal-|nằr-|Nam 96, KED 302.
33|*pár|1616|foot|нога|\Ipal\i|pár|Nam 245, KED 722.
34|*kằtằk-|780|full|полный|kadɨk-, kat:ɨk-|kằtằk- / kằtằik-|Nam 9, KED 9.
35|*čú-|242|to give|давать|ču-|čù- 'give', čūi-čhú- 'to present'|Liu 670, 673, HMCH 332, KED 435.
36|*tjōh-|388|good|хороший|čō- [čōh-]|tjōh-|Nam 162, KED 1488.
37|*pɨ̀rh-|1836|1 green 2 grass|1 зеленый 2 трава|phurɨ- 1, phul 2|phɨ̀rɨ́- 1, phɨ́r 2|Nam 464, 465, KED 1761, 1763. Rising tone in phɨ́r is probably secondary (due to contraction < *pɨ̀rVh).
38|*tə̀rh-|2350|1 hair  2 feather|1 волос 2 перо|thəl 1|thə̀rí, thə̀rə̀k|Nam 458, KED 1702.
39|*són|2769|hand|рука|\Ison\i|són|Nam 308, KED 985.
40|*mə̀rí|1274|head|голова|məri|mə̀rí|Nam 210, KED 608.
41|*tɨ̀d-|2278|to hear|слышать|tɨt- (-r-)|tɨ̀t- (-r-)|Nam 173, KED 532.
42|*mằńằm|1315|heart|сердце|maɨm|mằńằm|Nam 196, KED 564.
43|*s-pɨ́r|646|horn|рог|p:ul|spɨ́r|Nam 274, KED 832.
44|*nà|1524|I|я|\Ina\i|nà|Nam 85, KED 284.
45|*mùd-Vph > *mùrVph|1350|knee|колено|murɨp|mùrùp(h), mùrằp|Nam 221, KED 657.
46|*ār-|26|to know|знать|āl-|ār-|Nam 346, KED 1089.
47|*níph|1209|leaf|лист|\Iip\i [iph]|níp (níph-)|Nam 126, KED 1370.
48|*nūb-|1445|to lie|лежать|nup- (nu-)|nūp- (nūw-)|Nam 116, KED 365.
49|*kìr-|829|1 long 2 to prolong|1 длинный 2 удлинять|kīl- 1, kirɨ- 2|kìr'ú- 2|Nam 81, KED 264, 279
50|*ní|1422|louse|вошь|\Ii\i|ní|Nam 119, KED 1316.
51|*àtắ|453|man|мужчина||àtắ|HMCH 212.
52|*mān(h)-|1249|many|много|mān- [mānh-]|mān-hắ-|Nam 199, KED 578.
53|*sắrh|2169|flesh, meat; skin|мясо; кожа|\Isal\i|sắr [sắrh-]|Nam 290, KED 895.
54|*tắr|2394|moon|луна|tal|tắr|Nam 140, KED 401.
55|*mōi(h), *mòró|1377|1 mountain  2 wood, forest|1 гора  2 лес|mwē, \Ime\i (arch.) 1|mōi [mōih-] 1, mòró 1, 2|Nam 215, 219, KED 616, 651.
56|*íp|606|mouth; to recite|рот; рассказывать, декламировать|ip|íp 'mouth', ìp(h)- 'to recite'|Nam 406, 407, 409, KED 1363.
57|*(n)ìr(h)-|1440|1 name 2 say, tell|1 имя 2 сказать|irɨm 1, irɨ- 2|ìrhúm 1, nìrắ-, nìr'ó- 2|Nam 406, 120, 124, KED 1326, 1327. The noun seems to be clearly deverbal, but is attested only without the initial *n-.
58|*mjə-k|1336|neck, throat|шея, горло|mjək|mjək|Nam 213, KED 619.
59|*sái|2553|new|новый|\Isä\i|sái|Nam 295, KED 919.
60|*pám|1707|night|ночь|pam|pám|Nam 248, KED 733.
61|*kóh|1057|nose|нос|kho|kó (kóh-)|Nam 45, KED 1673.
62|*àn-|74|not|не|an(i)-|àn(í)-|Nam 334, KED 1068.
63|*hằnàh|2111|one|один|hana|hằnà (hằnàh-)|Nam 469, KED 1780.
64|*sār-|2554|1 to live 2 person|1 жить 2 человек|sāl- 1, sāram 2|sār- 1, sārắm 2|Nam 290, 293, KED 871, 897.
65|*pí|1770|rain|дождь|\Ipi\i|pí|Nam 275, KED 848.
66|*pɨ̀rk-|1678|red|красный|puk- [pulk]|pɨ̀rk-|Nam 274, KED 844.
67|*kírh|515|road|дорога|kil|kír (kírh-)|Nam 81, KED 278.
68|*pɨ̀rhắi|1853|root|корень|p:uri|pɨrhăi, pɨrhɨi, pùrhói, pùrhúi|Nam 268, 274, KED 814.
69|*tonkor-|2432|round|круглый|tuŋgɨl-, toŋgɨl-|toŋkori-|Nam 161, KED 487, 511.
70|*mòr'ái|1268|sand|песок|morä|mòr'ái|Nam 218, KED 629.
71|*tằrk|2437|fowl|курица, петух|tak [talk]|tằrk|Nam 142, KED 407.
72|*ká-|495|to go (away)|идти, уходить|ka-|ká-|Nam 2, KED 6.
73|*pò-|90|to see|видеть|po-|pò-|Nam 259, KED 788.
74|*nəm-ku-|1219|to swallow|глотать|nəmgu-||SKE 164.
75|*psí|1769|seed|семя|s:i|psí|Nam 326, KED 1032.
76|*ànč-|73|to sit|сидеть|anč-|ànč-|Nam 346, KED 1088.
77|*kàč|695|skin|кожа|kaǯuk, sal-gat (sal-gačh-), (arch.) kat (kačh-)|kàčòk, kàčh (kàs)|KED 25, 63, 64, 896.
78|*čá(ŋ)-|2613|to sleep|спать|ča-, ča-si-, čumu-si-|ča-, čá-sì-, ča'ăp-so-|Nam 411, KED 1374, 1380, 1497. The modern honorific čumu-si- is probably < *čaŋwu-si- ~ *čaŋup-si- = MKor. ča'ăp-so-.
79|*čjāk-, *čjə̄k-|309|small|маленький|čak-|čjāk-, čjə̄k-|Nam 419, 425, KED 1386.
80|*nắi|1477|smoke|дым|\Inä\i|nắi|Nam 102, KED 315.
81|*sjə́-|1890|stand|стоять|sɨ-, sə-|sjə́-|Nam 303, KED 1023.
82|*pjə̄r|1802|star|звезда|pjəl|pjə̄r|Liu 383, HMCH 151, KED 780.
83|*tōrh|2246|stone|камень|tol|tōr (tōrh-)|Nam 159, KED 478.
84|*hắi|2046|sun; year|солнце; год|\Ihä\i|hắi|Nam 482, KED 1808.
85|*hə̀i-|2504|to swim|плавать|hē-, hejəm-čhi-|hə̀i-, hə̀i-jòm-|Nam 486, 487,  KED 1829, 1830.
86|*s-kòrí|1074|tail|хвост|k:ori|skòrí|Nam 50, KED 140.
87|*tjə́|2286|that|тот|čə|tjə́|Nam 154, KED 1417.
88|*í|582|this|этот|\Ii\i|\Ií\i|Nam 397, KED 1316.
89|*kɨ|895|this, that|этот, тот|\Ikɨ\i|\Ikɨ\i (kɨ̄-i)|Nam 76, KED 231.
90|*nə̀|1385|thou|ты|\Inə\i|nə̀|Nam 103, KED 329.
91|*kằró-|1041|to say (a defective verb)|говорить (глагол, вводящий прямую речь)|kalodwe|kằródắi|Nam 11, KED 12.
92|*ní|1521|tooth|зуб|\Ii\i|ní|Nam 119, KED 1316.
93|*nàmòk|1400|tree|дерево|namu|nàmò (nàmk-)|Nam 87, KED 288.
94|*tubu, *tuburh|2247|two|два|tūl, tū-|tūr (tūrh-), tu'ur, tū-|Nam 166, KED 501, 509. The variant *tū- (*tubu-) is attested as the first member of numerous compounds, both in Middle and Modern Korean.
95|*kə̄d-|807|walk|ходить|kə̄t- (kə̄r-)|kə̄t- (kər-)|Nam 32, 37, KED 95.
96|*tằ-|1609|warm, hot|теплый, горячий|t:at:ɨt-ha- [t:at:ɨs]|tằ-sằ-|Nam 136, KED 381.
97|*mɨ́r|1335|water|вода|mul|mɨ́r|Nam 229, KED 675.
98|*úrí|126|we|мы|uri|úrí|Nam 389, KED 1238.
