"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","WMO","MMO","HAL","BUR","KAL","ORD","DUN","BAO","DAG","YUY","MGR","MOGH","REFERENCE"
   1,"*büji-", 127,"to be","быть","büi (L 143: bü-)","bue (HY 51, SH), \Ibi\i (IM, MA)","bĳ","\Ibī\i","\Ibī\i","\Ibī\i","\Ibi-,\i vei-","vi-","bei (Тод. Даг. 125)","\Ibī,\i wai","(w)ī- (SM 187, 483), \Ibi-\i (Minghe)","\Ibi,\i \Ibe\i 'ist', ZM \Ibe\i (27-5a)","KW 44, MGCD 150."
   2,"*hüne-sü",1824,"ashes","пепел","ünesü(n) (L 1009)","xunesu (SH), honǟsun (IM), hunäsun (MA)","üns(en)","ünehe(n)","ümsṇ","ünisü, ünes","funiesun","homsoŋ","xunse (Тод. Даг. 179), hunse (MD 166), xuns","henesən, nesən","funēʒə (SM 107), (MGCD funēsə)","ɛnasun, unasun (Weiers), ZM unäsun (18-1b)","KW 458, MGCD 695."
   3,"*kawda-", 988,"1 bark 2 page","1 кора 2 страница","qaudasu, qaɣudasu(n) 2 (L 909)","","xūdas 2","xūdaha(n) 2","xūdъsṇ 1","xūdasu 2","","","","","","","KW 201. Although later contaminations were possible, Mong. *kawda- can  not be explained as borrowed from Turk. qaɣad 'paper' ( < Arab.), despite Щербак 1997, 126. Mong. > Man. xoušan etc., see Doerfer MT 142."
   4,"*körü-sü",1092,"bark, upper stratum","кора, верхний слой","körüsü(n), körüdesü(n) (L 491)","korisu (SH)","xörs","xüŕhe(n)","körsṇ","körösü (körös)","","","kurbus 'fur, leather' (Тод. Даг. 151)","","","","KW 240."
   5,"*keweli", 789,"belly; pregnancy","живот; беременность","kegel, kebel (L 438, 442: kegeli, kebeli)","ke'eli (HY 47, SH), kähäl (IM), kili (MA)","xēl, arch. xevel","xēli","kēlə, kewl","kēl 'foetus'","kieli","kele","kēli (Тод. Даг. 149, MD 182)","","kēle (SM 198)","","KW 230, MGCD 337."
   6,"*hike",1736,"big","большой","jeke (L 431)","jeke (HY 52, SH), ike, ikä (IM), jikä̆ (MA)","\Iix\i","jexe","ikə","iχe","fugie","hgo, fgo, (MGCD) fguo","xige, xig (Тод. Даг. 176), šige (Тод. Даг. 183), šihe (MD 215)","šge, (MGCD) šige","šge (SM 378)","ikä, (j)ẹkä, ZM īkä (6-2b)","KW 205-206, MGCD 415, TMN 1, 553. Initial *h- here is quite certain, but is rendered as j- in MMong. because of early palatalization (*hike > *hjeke > jeke). Mong. > Manchu jekeŋge 'noble, grand' (see Rozycki 224)."
   7,"*sibawu",2014,"bird","птица","sibaɣu(n), sibau (L 693)","šiba'un (HY 13, SH), šibān (IM), šibawun (MA)","šuvū","šubū(n)","šowūn","šiwū, šuwū","","","šowō","šūn","šū (SM 383), (MGCD śau)","","KW 366, MGCD 725. Mong. > Chag. šibaɣun (Щербак 1997, 209)."
   8,"*kada-", 698,"bridle","уздечка","qaǯaɣar (L 947), qaǯĳar (SM)","qada'ar (HY 18, SH), qadāsu (IM), qădar (MA), qadār (LH)","xaʒār","xazār","xazār","xaǯār","qata (Тод. Дн.); \IGada\i","\IGadər\i","xadāl (Тод. Даг. 172 xadāla)","\IGadar\i","\IGaʒ́ar\i (SM 116), \IGaʒ́a-\i (SM 117) 'ronger, brouter', \IGadar\i (SM 115)","qadār","KW 174, MGCD 316. Often derived from *kaǯa- 'to bite' (see e.g. Doerfer MT 57), but MMong. and South Mongolian forms with -d- clearly contradict it, so WMong. qaǯaɣar is most probably a result of contamination. The isolated form with -l, Dag. xadāl(a), may in fact be a Tungus loanword."
   9,"*ǯaɣu-",2634,"to bite","кусать","ǯaɣu- (L 1024)","ǯa'u- (SH), ǯa'ū- (IM)","ʒū-","zū-","zū-","ǯū-","ǯau-, ǯao-","ǯəu-","ǯau- (Тод. Даг. 143, MD 176)","ǯū-","ʒ́ū- (SM 94), (MGCD ǯau-)","ǯau- (Weiers)","KW 482, MGCD 460."
  10,"*kara", 734,"black","черный","qara (L 931)","qara (HY 41, SH), qara (IM), qăra (MA)","xar","xara","xarъ","xara","qara","xera","xara, xar (Тод. Даг. 174), hare (MD 157)","xara","xara (SM 158)","qarō; ZM qarā (13-8)","KW 168, MGCD 328. Mong. > Evk. karā, Man. qara etc. 'black (of horse)' (ТМС 1, 379, Doerfer MT 99, Rozycki 101, 133); > MKor. kara (măr), see Lee 1958, 119)."
