NUMBER|PROTO|PRNUM|MEANING|RUSMEAN|EVK|EVN|NEG|SIB|MAN|CHU|ULC|ORK|NAN|ORC|UDE|SOL|REFERENCE
1|*kupu-|884|1 all 2 whole|1 весь 2 целый|kūkte 1||kepukte 1||||kupte 2|kupukte 2|kupukte 2||kufula, kufule 2|xokkoǯi 2|ТМС 1, 426 (some forms listed should be qualified as mongolisms).
2|*gemu|496|all|весь, все||||gumə (2816)|gemu|ŋem-ur (841)||\Igem\i|||||Петрова 1967, ТМС 1,179  (without the Orok form).
3|*pulńe-|1824|ashes|зола|huleptēn|hultēn|xulēptēn|filiŋi (493)|fuleŋgi|fule-ŋi (65)|puneqte|punekte|puńektẽ, (dial.) xulefte|xulepte|xulepte(n)|uluktē̃|ТМС 2, 347.
4|*subgu|2041|1 fish skin  2 skin, bark|1 кожа (рыбья)  2 кожа, кора|subgu 1||sobgụ 1|soqə 2 (145, 2132, 2284)|suku 2|su-gu (514) 2|sugbu 1|subgu/sugbu 1|sobGo 1|subbu 1|sugbu 1||ТМС 2, 115, 116.
5|*xemu-gde|1002|1 belly  2 intestines|1 живот  2 внутренности|emugde 2|emdъ 2|emugde 1||||xemde 1|xemugde 2|xemde 1||emugde 1||ТМС 2, 451.
6|*mute-|1371|1 to fulfil  2 to overpower|1 исполнить  2 одолеть, смочь|||||\Imute-\i 2|mu-te-bulu (740) 1|\Imute-\i 2|\Imute-\i 2|\Imute-\i 2|\Imute-\i 2|\Imute-\i 2||ТМС 1, 561.
7|*kete, *kēter|780|1 big 2 many  3 elder 4 almost|1 большой 2 много 3 старший 4 почти|kēter 1, kete 2|kēter 1|kētej 1||||ketele 4|ketette 4|kēte 3, ketēle 4|kēte 1, kete 4|kete 'more' (Корм. 213), ketige 4||ТМС 1, 455-456. The form kēte(re) (with a long vowel) observed in some languages may have been influenced by *kādara 'big' (cf. e. g. Orok kādara); the relationship between *kete and *kāda(ra) is somewhat obscure.
8|*amba-|35|1 big  2 many 3 very|1 большой   2 много  3 очень||||amə 'big, large'(2398)|amba 1|amban (amban-an) (668) 1, amban-lar (724) 2|amba(n) 1, 3|ambaramǯị 3|amba(n) 1|amba 3|||ТМС 1, 36-37. The relation of Neg. amban, Oroch, Ud. amba, Ul., Orok amba(n), Nan. ambã 'evil spirit' is not quite clear.
9|*deg-|2236|1 to fly (v.)  2 bird|1 лететь  2 птица|deg- 1, degi 2|deɣ- 1, deɣi 2|deɣ- 1, deɣī 2|dei-, dii- 'to fly' (2300)|deje- 1, dei 2||degde- 1||degde- 1|deili- 1|dieli- 1|degelī- 1, degī 2|ТМС 1, 228-229. TM > Dag. degī 'bird' (Тод. Даг. 136).
10|*gasa|484|1 crane 2 bird 3 swan 4 duck, water-bird 5 kite|1 журавль 2 птица 3 лебедь 4 утка, водоплавающая птица 5 коршун|gasa 1||gasa 3|\IGasəhə\i 2 (2172)|\IGasꭓa\i 2||\IGasa\i 4|\IGasa\i 4, 2, \IGasawaqqu\i 5|\IGasa\i 4|gasa 4|gahä 2, 4||ТМС 1,143.
11|*kik-|796|1 to bite 2 to cut oneself (by rubbing at a rope) 3 to become torn (of a rope, chain)|1 кусать 2 порезаться (о веревку) 3 порваться (о веревке, цепи)|kik- 1|qịq- 1 (Новикова 1980, 183)|kik- 1||||||kikia- 2 (Он.), kikpē- 3 (Он.)||||ТМС 1,391-392. The dialectal Evk. variant kē̂k- is expressive, but by no means < Mong. kiqa- 'irritate, intimidate', as suggested in Poppe 1972, 103.
12|*sia-|2096|1 to chew  2 to bite|1 жевать  2 кусать|sē̂- 1|hǟ-|sē̂- 1|šia- 2 (1533)|saj- 2||sē̂- 1|sē̂- 1|śǟ- 2|sǟ- 1|sa- 1||ТМС 2,69.
13|*koŋna-|878|black|черный|koŋno-mo,-rin|qōŋъ̣-|koŋnojīn|||||||||xoŋnorĩ|ТМС 1, 413. Evk. > Dolg. koŋnomo (see Stachowski 152).
14|*xial-|1040|1 coal  2 black|1 уголь  2 черный|ē̂lla 1|ǟlrъ 1|ē̂la 1|jačiŋ 2 (2427)|jačin 2, jaꭓa 1|hia-xa (66) 1|sē̂lta 1|sē̂lta 1|sịalta 1|(i)jakta 1|jalaha 1|ilgẽ, ilči 1|ТМС 1, 289-290. Man. > Dag. jāga 'coal' (Тод. Даг. 146).
15|*sēgV-|1976|1 blood  2 red|1 кровь  2 красный (*sēgǯe-)|sēkse 1, (dial.) segǯen 2|hēs 1|sēkse 1|šiŋə 1 (165)|seŋgi 1|sei̯ŋ-ŋi (512) 1|sēkse 1, segǯe(n) 2|sekse 1, sēgde(n) 2|sēkse 1, sēgǯẽ 2|sēkse 1, segǯe 2|sakeä 1|sēkče 1|ТМС 2, 136, 138-139. The pure root is preserved in Evk. sēɣī-, Neg. sē- 'to bleed, flow (of blood)'.
16|*xīKeri|1066|1 spine, spine marrow  2 bone|1 позвоночник, спинной мозг 2 кость|īkēri 1|ikъri 2|īxej 2||ikursun 1||sieri 1|sēri 1||ikei 1|ixe 'кожа, пленка (темного цвета вдоль хребта рыбы); боковина рыбьей тушки с хребтом и хвостом' (Корм. 240)||ТМС 1, 302.
17|*giram-ksa|514|1 bone  2 skeleton|1 кость  2 скелет|giramna 1|gịrъ̣mrъ̣ 2 (also "grave")|gịjamna 2|giraŋə 1 (167)|giraŋgi 1|gi(r)ba-an-gi (510) 1|\IGịramsa\i 1|\IGiransa\i 1|\IGịrmaqsa\i 1|giamsa 1|gämaha, geämaha 1, 2 (Корм. 221)|giranda 1|ТМС 1, 154.
18|*xuku-n / *kuku-n|867|breast (fem.)|грудь (жен.)|ukun|ökъn|öxön / ökön|ohə 'armpit'(67)|oxo, oGo 'armpit'||kue(n), kuku(n)|qū(n), qō(n)|kū(n)|oko(n)|koso` (Корм. 251)|uxũ 'milk'|Formally derived from TM *xuku- 'to suck (breast)', see ТМС 2, 254-255.
19|*deg-ǯe-gi-|367|to burn|жечь|ǯegdī-|ǯegde 'burned place'|ǯegdī-|deǯi-, diǯi- (483)|dejǯi-|ǯeh-din-ku (686)|ǯegdečiwu|degde-|ʒegdi-|ǯegdi-|ǯegdi-||A causative form derived from PTM *degǯe- 'to burn', see ТМС 1, 281-282.
20|*tep-|2348|1 to hit (with a heavy object); to kill (a deer) 2 to trample 3 to dance 4 to cut through 5 to shoot|1 ударять (тяжелым предметом); закалывать (оленя) 2 топтать 3 плясать 4 пробивать, прорезать 5 стрелять|tepū- 1, tepte- 2, tepti- 4|tepseŋnī- 2|tepekele- 5||||||tepete- 3||||ТМС 2, 237, 238. Cf. also an expressive variant *tapta- 'to clap' (ТМС 2, 164).
21|*xosī-kta|1073|1 to scrape 2 claw, finger-nail|1 царапать, скрести 2 ноготь, коготь|osī- 1, osīkta 2|osị- 1, ostъ̣ 2|osị̄- 1, ōtta 2|wasəqələm, wasəqulu- 'to scratch, to claw' (1574)|wasixa 2||ꭓosị- 1, ꭓosta 2|ꭓosị- 1, ꭓosịqta 2|ꭓosaqala- 1, ꭓosaqta 2|xosi- 1|wahi- (Корм. 218) 1, wai-li- 1, waikta, wahikta 2|oš́ī- 1, ụš́īkta 2|ТМС 2, 26-27.
22|*kiata-kun|740|1 finger-nail 2 bar, billet|1 ноготь 2 брусок||||ḱatəhun 1 (76)|xitaxun 1||||qataxị 2||||ТМС 1, 384, 466.
23|*tuge-|2451|1 cloud 2 winter|1 облако 2 зима|tūksu, tūkse 1, tuɣe 2|töɣečin 1, tuɣe-ni 2|tokso 1, tuwe, tuɣe 2|tukusu (2009), t́uxi (2010)|tugi 1, tuweri 2|tuje-ŋi (6), tu-e-li 2|tewekse 1, tue 2|teweske 1, tuwe 2|tukse 1, tue 2|tokso 1, tuwe, tue 2|tokö 1, tue 2|tukču 1, tugu 2|ТМС 2, 204-205, 208-209.
24|*xiŋǖ-|1054|1 cold  2 to freeze|1 холодный 2 замерзать|iŋinipču 1|iŋъńsi 1|iŋinigdi 1||||siŋgun- 2|siŋgū- 2|sīŋgu- 2|iŋeńi 1|iŋinihi 1|inigigdi|ТМС 1, 321.
25|*šig-|2173|1 to freeze, get cold  2 cold|1 замерзать 2 холодный|čig- (dial.) 1|||šahurun, sahurun 2 (2061)|šaxurun 2|siuŋhun 2|||||||ТМС 2, 389,423.
26|*eme-|426|to come, reach, arrive|приходить, прибывать|eme-|\Iem-\i|eme-||||||eme-|emegi- 'to return'|eme-||ТМС 2, 452.
27|*ǯi- ( ~ *di-)|2599|to come|приходить||||ǯi- (1172)|ǯi-|di-xexe-gi (678), di-hul (712)|diwu||ǯi-||||ТМС 1, 255.
28|*bu(r)-|192|to die|умирать|bu-|bu-ni 'deceased'|bu-|bečə- (744)|buče-|bu-če-xie (389)|bu(l)-|bu(l)-|bude-, bu(r)-|bu-de-, bu-kki-|bu-de-, bu-kki-|bu-|ТМС 1, 98-99.
