"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","ATU","KRH","TRK","TAT","CHG","UZB","UIG","SJG","AZB","TRM","HAK","SHR","ALT","KHAL","CHV","JAK","DOLG","TUV","TOF","KRG","KAZ","NOGX","BAS","BLKX","GAGX","KRMX","KLPX","SAL","QUM","REFERENCE"
   1,"*büt-",1371,"1 to end, accomplish 2 to be ended 3 to create, build 4 to heal 5 to grow, ripen","1 кончать, завершать 2 кончаться 3 создавать, строить 4 заживать 5 вырастать, вызревать","büt- 2, 4, 5 (OUygh.)","büt- 2, 4, 5 (MK)","\Ibit-\i 2, 5","\Ibet-\i 2, bet-ɛš- 4","büt- 2, 4, 5 (Abush., Sangl.)","\Ibit-\i 2, 4, 5","büt- 2","pɨt-, \Iput-\i 1,2","\Ibit-\i 2","\Ibit-\i 2, 4, 5","püt- 3, 4","püd-ür- 3","büt- 1, 4, 5","\Ibit-\i 2","pəʷt- 2","büt- 1,2, 4","büt- 1, 2","bü't- 2, 4","bü't- 2","büt- 1,2, 4, 5","\Ibit-\i 2, 4","\Ibit-\i 2, 4, 5","böt- 2, böt-öš- 4","\Ibit-\i 2, 5; 'to close'","\Ibit-\i 2","\Ibit-\i 2, 5","\Ipit-\i 2, 4, 5","","\Ibit-\i 2, 5","VEWT 93, TMN 2, 267, EDT 298-9, 306, ЭСТЯ 2, 152-154, 302-303, Stachowski 68. Cf. also PT *bütün 'all, whole' - a derivative from *büt-. Turk. > Mong. *büte-, *bütü- (KW 69-70, TMN 2, 268-269, Щербак 1997, 111)."
   2,"*kül",1140,"ashes","пепел, зола","kül (OUygh.)","kül (MK)","kül","köl","kül","kul","kül","kül","kül","kül","kül","kül","kül","kīl","kəʷl","kül","kül","xül","xül","kül","kül","kül","köl","kül","kül","kul","kül","kül","kül","VEWT 307, EDT 715, ЭСТЯ 5, 137-138, Лексика 367-368, Stachowski 164."
   3,"*Kāpuk", 988,"1 bark (n.) 2 shell","1 кора 2 скорлупа","","qabɨq (Tefs.) 1, 2","kabuk 1, 2","qabɨq 1, 2","qapuq 1 (MA, AH)","qɔbiq 1, 2","qobuq (R, o-t) 1, 2","","\IGabɨG\i 1, 2","\IGābɨG\i 1, 2","xabɨx (Kach.) 1, 2","qabɨq 2","qabɨq 1, 2","","xobъ 1, 2","","","xavɨq 2","","qabɨq 1, 2","qabɨq 1, 2","qabɨq 1, 2","qabɨq 1, 2","qabuq 1, 2","qap, qabɨ 1, 2 'external cover, covering'","qabux 1, 2","qabɨq 1, 2","","qabuq 1, 2","VEWT 234, TMN 3, 368-9, ЭСТЯ 5, 168, Лексика 107, Федотов 2, 358."
   4,"*Kạrɨn", 770,"belly","живот","qarɨn (OUygh.)","qarɨn (MK, KB)","karɨn","qarɨn","qarɨn (Sangl., Houts., AH, MA, IM)","qɔrin","qerin","qarɨn","\IGarɨn\i","\IGarɨn\i","xarɨn","qarnɨ","qarɨn","qārɨn","xɨrъm","xarɨn 'rumen; belly'","","xɨrɨn","xɨrɨn","qarɨn","qarɨn","qarɨn","qarɨn","qarɨn","qarɨn","qarɨn","qarɨn","qarɨn-taš 'a relative' (ССЯ)","qarɨn","VEWT 238, EDT 661, ЭСТЯ 5, 321-322, Лексика 277."
   5,"*bEdü-k", 113,"1 big 2 high","1 большой, крупный  2 высокий","bedük 1 (Orkh., OUygh.)","beδük 1 (MK, KB)","büjük 1","bĳek 2","bejik 1, 2 (Abush., Sangl.)","bujuk 1, 2","büjük 1, 2","bezɨk 1","böjük 1","bejik 2","pözək 1, 2","mözük 2","bĳik 2","bidik/büdük 1","","","","bedik 2","bedik 2","bĳik 1","bĳik 1","bĳik 1","bejek 1","mĳik 1","bǖk 1","büjüḱ 1","bĳik 1","","bĳik 2","VEWT 67, EDT 299-301, ЭСТЯ 2, 288-290.  PT *bedü-k 'big, high' is derived from *bedü- 'to become bigger, grow' (OT bedü-, Tur. büjü-, SUygh. pezi-, Az. böjü-, Khal. bidi-, Tuva bedi-, Gag. bǖ-, Karaim büjü-)."
   6,"*Kuĺ",1157,"1 bird  2 duck","1 птица  2 утка","quš 1 (OUygh.)","quš 1 (MK, KB)","kuš 1","qoš 1","quš 1 (Sangl.); 'moth' (Abush.)","quš 1","quš 1","\IGus\i 1","\IGuš\i 1","\IGuš\i 1","xus 1","quš 1; 'hen'","quš 1","quš, Guš (< Az.) 'sparrow'","","kus 2","kus 2","qu'š 1","qu'š 1","quš 1","qus 1","qus 1","qoš 1","quš 1","quš 1","quš 1","qus 1","\IGuš\i 1","quš 1","VEWT 305, TMN 3, 547-548; EDT 670; ЭСТЯ 6, 180-182, Лексика 168, Stachowski 162. Chuv. xъlat 'hawk' < Mong."
   7,"*ɨsɨr-", 610,"to bite","кусать","","ɨsɨr- (MK)","ɨsɨr-","","ɨsɨr-, ɨsur- 'to bite, to eat' (Abush., Sangl.)","","","","","","ɨzɨr-","","","","","ɨtɨr-, ɨstā-","ɨtɨr-, ɨstā-","ɨzɨr-","ɨ'sɨr-","ɨsɨr-","","","","","","ɨsɨr-","","","ɨsɨr-","VEWT 167, EDT 251, ЭСТЯ 1, 671-672, Stachowski 262, 263."
   8,"*dīĺ",2250,"tooth","зуб","tiš (OUygh.)","tɨš (MK), tiš (KB)","diš","teš","tiš (MA, Abush., Sangl.)","tiš","tiš, čiš","dɨs","diš","dīš","təs","tiš","diš","tīš","","tīs","tīs","diš","diš","tiš","tis","tis","teš","tiš","diš","tɨš","tis","ciš","tiš","VEWT 481, EDT 557, 564-5, ЭСТЯ 3, 242-244, Лексика 228, Stachowski 224. Cf. also PT *dīĺ-le- 'to bite'."
   9,"*Kara", 734,"black","черный","qara (Orkh., Yen., OUygh.)","qara  (MK, KB)","kara","qara","qara (MA, IM, Pav. C., AH, Бор. Бад.)","qɔrɛ","qara, dial. qare","\IGara\i","\IGara\i","\IGara\i","xara","qara","qara","qara","xora","xara","kara","qara","qara","qara","qara","qara","qara","qara","qara","qara","qara","\IGara\i","qara","VEWT 235, TMN 3, 426-432, EDT 643-4, ЭСТЯ 5, 286-289, 299-100, Лексика 592-593, Stachowski 138, Федотов 2, 362."
  10,"*Kiān",1068,"blood","кровь","qan (Orkh., OUygh.)","qan (MK)","kan","qan","qan (MA, Pav. C.)","qɔn","qan","qan","\IGan\i","\IGān\i","xan","qan","qan","qān","jon","xān","kān","xan","xan","qan","qan","qan","qan","qan","qan","qan","qan","\IGa(:)n\i","qan","VEWT 230, TMN 3, 360-361, EDT 629-630, ЭСТЯ 5, 251, Егоров 349, Федотов 2, 486, Stachowski 142. Turk. > WMong. qana- 'to let bleed' (KW 166, TMN 3, 361, Щербак 1997, 133)."
  11,"*kEmük",1055,"1 bone 2 spongy bone 3 cartilage","1 кость 2 губчатая кость 3 хрящ","","","kemik 1","kimek 2","kemük (MA) 3, kömük (Pav. C.) 1","kɔmik, gɛmik (dial.) 2","","","","","","","kēmik 3","","","","","","","kemik 2","kemik 2","kemik 2","kimek 2","gemik 2","kemik 1","kemɨk 1","kemik 2","","gemik 3","VEWT 251, EDT 722, ЭСТЯ 5, 36-38, Лексика 261-262. Turk. > Mong. kemik 'cartilage' (see Щербак 1997, 126; but the derivation of the Turk. form from *gemür- 'to gnaw' (v. sub *kĕ̀ma)  is a folk etymology, although some contaminations were possible: Yak. kömürüö 'spongy bone' semantically continues *kemük, but formally is derived from *gemür-. MK has kemdi- 'to cut meat from the bones' and kemdük 'bone with meat cut off' - forms that may be related both to *kemük and *gemür-."
  12,"*mēme (*bēme)",1292,"1 breast (fem.) 2 nipple  3(poet.) breast","1 грудь (ж.)  2 сосок  3 грудь (поэт.) 4 соска","","","meme 1, Old Osm. memek (17th c.)","mɛmi, mɛmɛj 1","","","mämä 1","","mämä 2","mǟme 3","","","","mǟmäk","","mēmē 4","","","","","","mämäj 1","mämäj 1","","mämä 1","mämä 2","mämmä 1","","","An onomatopoetic root. See VEWT 333, ЭСТЯ VII."
  13,"*jak-", 367,"1 to burn (tr.) 2 light, ray 3 to produce fire","1 жечь  2 свет, луч  3 высекать огонь","","jaq- 1 (MK)","jak- 1","jaɣ- 1, jaqtɨ 2","jaq- 1 (Abush.)","jɔq- 1, jɔɣdu 2","jaq- 1","","jax- 1","jaq- 1, jaɣtɨ 2","","","","ja:q- 1","śot- 1, śo-dъ 2","saq- 1","","","ča'q- 3","ǯaq- 1","žaq- 1","jaq- 1","jaq- 1, jaqtɨ 2","","jaq- 1","jaq- 1","žaq- 1, žaqtɨ 2","","jaq- 1","VEWT 180, TMN 4, 201-202, EDT 897, ЭСТЯ 4, 62, 81-82, Федотов 2, 146, Лексика 362. This stem should be distinguished from *jan- 'to burn (intr.)'."
