NUMBER|PROTO|PRNUM|MEANING|STPRO|CHU|KOR|PAL|ALU|CHFUNC|KOFUNC|ALFUNC|IM|BOG|RKS|NRS|YFA|PAK|COMMENTS|NIOD|NIODNUM|EXT
1|*ạlạ|575|лето|*ālā|ɛˊlɛ-ɛl "|alaˊ-al " (III)|ele-el "|ala-al "|ɛlɛˊ-lqǝ-n 'проталина' (23)|alaˊ-lhat-|ala-l/lˊʔat-, alˊa-cʔat-, al/lˊa-tvǝ- 'наступать (о лете)', alˊa-tvǝ-lˊqǝ-n 'проталинка' [ạlạ-lʔet-, ạlạ-tvъ-, ạlạ-tvъ-lqǝ-n]|496|23||15|295, 296|213|||402|
2|*ʁạɫạ "|531|грязь, кал, помет 1, муха 2, испражняться 3, свинья 4|*hāɫā " ~ *heɫe "|ʔɛˊl-ʔɛl " 1, ʔalaˊ-jo- 3|hele-hel " (I), halaˊ-hal(*), hale-hal " (II) 1, halaˊ-jo- 3|hala-mt(a) 2|hala-hal ", halˊa-lˊqǝ-k loc. 1, halˊa-mtǝ 2, hala-ju- 3, halˊu-qur(a) 4|ʔɛlɛˊ-ɣɣi 'двенадцатиперстная кишка', piw-ʔɛcɛw- 'перевязать'|halˊa-mc, halˊa-mt(a)|halˊa-lˊqǝ-k loc., halˊu-qur(a), halˊu-qur-pilˊ  'свинья (грязный олень)', halˊa-mtǝ, halˊa-mtǝ-cʔat-, halˊa-mtǝ-cit-|2893|23|181, 397, 177|15|427, 428|28|См. *ʁạɫạ-mš(ạ) (~ ạ) 'муха' (3).||0|
3|*ʁạɫạ-mš(ạ)|528|муха|*haɫa-mša (~ ā)||halˊa-mc, halˊa-mcǝ-, halˊa-mǝt, halˊamta-, halaˊm(ǝ)t*|(h)ala-mt(a), (h)alˊa-mtǝ-|halˊa-mǝt, halˊa-mtǝ-|||halˊamtǝ-cʔat-, halˊamtǝ-cit-, halˊamtǝ-tvi|||231|15|428|243, 282|Буквально "экскременты" + "комар".||0|
4|*ʁạcạ-|156|мочиться 1, моча 2, ночной горшок 3|*hācā- ~ *hece-|ɛcɛˊ- 1|haˊca-, hece- 1, hacaˊ-ac* 2|acalˊlˊo, ac̨c̨alˊlˊo 3|haca- 1, haccalˊlˊu* 3|ɛcɛ-sqiˊw-, ɛcuˊ-ulɣǝ-n 'мочеприемник'|||2884|22|229|25|430|243, 229|||0|
5|*ʁạɫạ-p-|0|преследовать, догнать, настигнуть|*hālāp-||halaˊp- (III)|halap-|halap-, ta-hacap-ŋǝ-k desider.|||halap-ǝtku-, ta-hacap-ŋǝ-k desider.|2895||106|15|428|239|Ср. *šɣala-ŋ- (336).||0|
6|*ac(ʁ)ɨq-|1099|чирок, утка-савка, морянка (вид утки) 1, нырок 2|*acъK-|aˊcʔǝq 1||acewjǝ-n 1, acewje-n 2|||||16|1||||208, 243|См. *ạɫʁịk-ạt- 'нырять' (24). Anas fuligula чук.||0|
7|*a-lъmъŋ|0|пусть, несмотря на то, что, хотя и|*alъmъŋ|aˊlǝmǝ(ŋ)|aˊlmǝŋ|alǝm|||||41|1||16||127|||0|
8|*ellǝ|689|нет, не 1, отрицание при причастии и деепричастии 2|*el|ɛˊtlǝ, eloˊ!, ɛ(l)- 1, 2|eˋlle, e(l)- 1|eˋlle e(l)- 1|aˋllǝ, a(l)- 1|||allǝ tinɣa, alˊlˊǝ-tin 'нету'|511|31, 24, 19|257|234|295, 296, 297|278, 243, 68|В значениии отрицания берется, неосложненная аффиксами форма, где закономерно -lvV# > -llǝ, в качестве первой части сложений со значениями 'другой, иной' основа имеет вид *elbe- (1742), в случаях отрицательных образований, как правило конфиксов используется усеченная форма el- перед гласным, e(l)- перед согласным.||141|
9|*el-eʒti-|0|не уметь|*el-eɣti-|ɛlɛˊɣti-|elejti-|eleɣtǝ-|aloti-||||498|23|||296|217|Первая часть представляет собой отрицательную частицу *el-, ср. *`ǝ̣ʒịt- 'приготовиться' (266).||0|
10|*ʁạʁạl, *ʁạl "|689|топор 1, рубить топором 2, долбить 3, кайло 4, топорище 5, щепка, стружка 6|*hājlǝ̄-, *elejvǝri|ʔal-ɣaˊttǝ 1, ʔal-ɣatɣa-, (АБ) ʔalǝ-ɣatte 2, ʔɛlǝˊ-p- 3, ʔɛˊlǝ-p 4, ʔɛ̆leˊ-rvǝ-n, [ɛlɛjwir(i) (+АБ) ] 6|haˊhal(*), hal-* (III) 1, (h)alǝˊp-pojɣǝ-n, halop-pojɣǝ-n 5, (h)el-eˊjvǝj* (I) 6|hal-hal " 1, halǝ-tku- 2|hālǝ-hal ", hāl-uwwi pl. 1, hālǝ/up-ujɣǝ-n 5|||hālˊǝ-lˊqǝ-k loc., rǝnnǝ-hal (382)|499, 2954, 2849|1, 21, 23, 32|578|11, 16, 235||42, 242|Формы, восходящие к *ʁạlǝ̣-p- 'долбить, кайло, топорище', образованы с помощью *-ǝ̣p- 'втыкать'; основа pojɣǝ-n в 'топорище' значит 'палка'; в слове 'стружка' -ǝrvǝ- значит 'рубить, тесать' или 'пружина' ?.||0|
11|*ʁeɫe-re-, *ʁaɫa-ʒpъ-|932|ржаветь|*heɫe-re-, *haɫa-jpъ-|ʔala-jpǝ-|heleje-, a̲heˊleje-* (I)||halara-||||2896, 2851|23||26|428||Молл 17.||0|
12|*ʁeɫ-eb-, -eqɫ-eb-|944|связать, обвязать предметы 1, повязка, браслет 2, ряд, вереница 3|*hel-ilŋǝ-n|ʔɛlɛˊw- 1, -ɛcɛw 2, ʔɛliwlilɣǝ-n 3|heliˊlŋǝ-n(*), haleˊlŋǝ-jǝchǝ-n*, heliˊlŋǝ-jǝchǝ-n* 3||halilŋǝ-n 3|-ɛcɛw, acawǝ-cɣǝn 'ремень для обвязывания груза', cɛˊwc-ɛcɛw 'головная повязка', mǝˊnɣ-acaw 'браслет' (94), acaˊwǝ-cɣǝn 'нартовый ремень', uwek-acaˊw 'ремень вокруг туловища оленя' (115)|mǝnˊɣ-aqcaw (35)||2899|23, 9|509|234, 17|428||Вторая часть в слове 'ряд' значит 'ремень, веревка'.||0|
13|*elu-|580|собирать ягоды|*elu-||elu-|elu-c̨qiv-ǝk|alu-|||al/lˊu-cqiv- (308)|508||||296|85|||0|
14|*ʁecu " (~ ạ)|568|горбуша|*hecu "  (~ ā)|ʔɛc-, (АБ) ʔɛcʔɛc|*(h)ecu-(h)ec "|(h)acu-hac ", hac̨u-hac̨ ", ec̨u-ec̨ "|hacu-hac "||||2883||||431|206, 8, 31, 243|Молл 161. Последняя пал. форма похожа на заимствование из кор.||0|
15|*(š)elu-|765|жевать 1, жевать табак 2|*š-elu-|r-ɛluˊ- 1|j-elu- 1||t-alu- 1, t-alu-p-||||303|128|||410||||0|
16|*ʁelu-(ci)|0|кукла 1, убаюкивать 2|*heluɫi|ʔɛluˊci= 1|helˊuc(i), elˊuc(e) 1||haluluˋ- 2||||2901, 2903|24|206, 746|235|428||В алют. представлен случай редупликации второго сонанта как ulˊulˊu, unˊunˊu. Ср. *ʁạlụ-lʁǝ̣- 'набрасывать аркан на оленьи рога в дет. игре' (2016).||0|
17|*-ɣъrŋъ-n|0|отверстие||-ɣǝrɣǝ-n (II)|-ɣǝjŋǝ-n (II)|-ɣǝrŋǝ-n (II)|-ɣǝrŋǝ-n||||||||||В словах 'жабры', 'отверстие', 'рот', 'дымовое отверстие', 'устье', 'дыра', 'полынья', отверстие мочеиспускательного канала' и др., см. 244, 582, 1149, 1161, 1548, 1599, 38, 1873, 2133.||0|
18|*elfetiŋ-et- (~ ạ)|582|ползать 1, ползти на четвереньках 2|*elwetiŋ-et- (~ ā)|ɛlwɛtiŋɛˊt- 2|||alwatiŋat-, alwatiŋa-a, alwatiŋa-ta adv. 1||||512|24|||297||Ср. *alɨflɨk-ъŋ 'гуськом' (1808).||0|
19|*ạlụtạ-lʁǝ̣-n|720|алюторец|*elute-lhǝ-n|elute-lʔǝ-n|aluta-lhǝ-n, eluˊtǝ-lhǝ-n*||aluta-lʔǝ-n, alˊuta-lʔ-u pl.|||||||234|304||НРС Aˊlut - село Олюторское (16). У Крашенинникова: "Оленные коряки всех их называют своими холопами, а особливо Олюторов: ибо Олюторы - испорченное имя из коряцкого \IАлютоклаулъ\i, что значит \Iхолопа\i" (150/2).||0|
20|*elbe-/ *eluŋ-|0|олень серого цвета|*elve-/ *eluŋ-|ɛlwɛˊɛk|eluŋe-||||||509|24||234|||||0|
21|*elbǝ- (~ ạ)|581|свежевать|*elvǝ- (~ ā)|ɛlvǝ-|||alvǝ-, alvat-, alva-||||510||||297||Ср. также *ъtto-/*ъcco- 'пластать рыбу'.||0|
22|*(ạ)lʒạɣ- (-f)|481|сладкий|*āljāɣ-|ɛtlɛˊɣ-|alˊlˊaw-, -llaˊw-* (III), alˊlˊaɣ-|elˊlˊeɣ-|alˊlˊaɣ-, alˊlˊo-|||alˊlˊaɣǝ-lˊ/cʔat-|507|31||151|296|221, 263, 234|КРРКС 60.||0|
23|*ecɣi|896|сейчас, теперь 1, сегодня 2, прежде чем, к моменту 3|*ecɣi|ʔɛˊcɣi 3, 1|ecɣi, acɣen-hǝlˊo|ecɣi, ec̨ɣi 1 ac̨ˊɣen-hǝlˊo 2|acɣiˋ|acɣeˊ-mǝra(ŋ) 'при том же, поелику; к сожалению, к несчастью' (1)||malˊ-acɣi|458|32|||302|213, 221, 278, 52|Ср. пал. attǝ < *at 'сейчас, теперь' (ЯПК 243).||0|
24|*ạɫʁịk-ạt-|578|купаться, плавать (о человеке) 1, нырять головой вниз 2, мальки (рыб) 3|*āLhīq-āt-|alʔeqat- (+АБ) 1, kǝm-l(ʔ)ekaˊt- 2|alhiqat- (III), al(h)eˊqat-* (II*) 1|alˊeˋkk-u pl. 3|alʔiqat- 1||alheˊqacǝ-cqev- 'искупаться' (16*)||44|73|364|16|297|207, 243|Ср. *elkǝ- 'спуститься на воду' (29) и *aɫˊ(ʁ)ɨq- 'чирок (вид утки), нырок' (6).||0|
25|*ạcʁǝ̣-n|972|сало, жир 1, жиреть 2|*āchǝ̄-n|ɛˊcʔǝ-n 1, ɛcʔ-ɛt- 2|achǝ-n, aˊcha̲-n* (III) 1, ach-aˊt- 2|ec̨hǝ-n 1|acʔǝ-n, hachǝ-n 1, acʔ-at- 2|ɛcʔɛ-lʔǝ-n||acʔǝ-cʔǝ-n, acʔat-ǝlʔǝ-n, acʔǝ-tilq-a (24)|464|22|122, 394|25|302|215, 298, 231|||0|
26|*(ʁ)ạlˊpịʒ "|0|камбала|*(h)ālˊpī-(nŋǝ̄-)|alpǝˊnŋǝlɣǝ-n|halˊpiˊ-halˊ ", halˊpe-halˊ "||alˊpi-alˊ "||||2853|1|182|17|296|206|Ср. 'заплата' *alpъnŋъ-n (27).||0|
27|*alpъnŋъ-n|0|заплата|*alpъnŋъ-n|aˊlpǝnŋǝ-n|alpǝnˊŋǝ-n, alpǝˊŋǝ-n*||alpǝnŋǝ-n||||42|1||16|296||Ср. 'завязать' *lpǝnic- ~ *lpǝnci- (1455), 'камбала' *(ʁ)ạlˊpị- (26).||0|
28|*ạlkǝ̣l-|579|узнать, признать, заметить|*ālkǝ̄l-|ɛˊlkǝl-|alkǝˊl- (III)||alkǝl-||||505|23||16|296||||6|
29|*elkǝ-|0|спуститься на воду|*elkǝ-|ɛˊlkǝ-, ɛˊlqǝ-|eˊlkǝ- (I), (II)*||||||504|23||234|||Ср. *ạɫʁịk-ạt- 'купаться' (24).||0|
30|*acŋъ-ta|0|рядом|*acŋъ-ta|aˊcɣǝta|anˊŋǝˊta|ac̨ŋ(ǝ)ta, acŋta|anˊŋǝta||||13|1||19|299|221, 243|Твор. падеж.||0|
31|*(a)ccat-|176|валиться на бок, опрокинуться 1, опрокинуть 2|*(a)cъcat-|atcaˊt- 1|accaˊt-*, jaccaˊt-*, cǝcat-(ǝlhat-) 1, j-ccat-, j-ccaˊt-av-* 2||||cǝcat-(ǝlhat-)||7, 118|6|309|25, 253, 99|||? М.б. 'рядом' *ac сбоку?||0|
32|*accɨq-la-  (~ *accaq-la-)|552|чихать|*accɨq-la-  (~ accaq-)|atcʔelaˊ-|acceˊqla-|accaqla-|apciqla-*||||9|6||25||243, 241|||0|
33|*ạLLǝ̣-|0|скребок 1 счищать, скоблить 2, строгать 3, мести 4, метла 5|*āLLǝ̄- "|ɛtlɛˊ-ɛl ", ɛtlǝ- 1, ɛtɫǝˊ- 2|allǝ- (III) 1, alli-tku- 3, all-aˊt-* 4||allǝ- 1, 4, all-at- 4, alˊlˊǝ-tku- 2, 3, hallǝ-naŋ* 5||||506, 2956|||16|296|229|||0|
34|*accъ-(nɣɨŋ)|790|сеть 1, верша 2, удить 3|*accъ-nɣɨŋ||accǝ-nɣeŋ, aˊcǝ-nɣeŋ* 1, acciˊ-tku- (III) 3||accǝ-nˊɣiŋ 2|||accǝ-nˊɣiŋ|6|||25|302||Вторая часть значит 'сеть'.||0|
35|*accъʁat-|553|лечь (спать, о человеке), лежать 1, заставить упасть, уложить выстрелом 2|*accъhat-|atcʔat- 1|accǝˊhat- 1, j-accǝˊhav- 2||||||10||212, 599|25, 253|||& Инэнликэй 16.||0|
36|*aʒbɨ|566|вчера 1, прежде, недавно 2, вечер 3, вечереть 4|*ajɣъvɨ|aˊjvo, aˊjve-ŋ, (АБ) ajve 1, (АБ) ajwecɣǝ-n 3|aˊjɣǝv(e) (*), ajɣoˊve(-)* 1, aˊjɣǝve-nˊŋǝ-n 3|ajɣǝv, ajɣ(ǝ)ve- 1, 2, ajɣǝve-c̨ˊ 3, ajɣve-rohǝ- 4|eɣǝv, eɣǝvi-nˊŋa 1, malˊ-eɣǝv 2|aˊjve-cɣa 'вечером, перед тем как ложиться спать'|malˊ-ajɣǝve|eɣǝvǝ-cʔat- 'проводить вечер', eɣǝvǝ-lqiv-|25|3, 2||13|304, 306, 379|213, 242, 219, 222|В большинстве чукотских языков появляется вторичный -ɣ-. При разбивке сочетания согласных в ауслауте вставляется шва. При этом предыдущий согласный как правило удваивается перед глайдом и получается чередование cɨɫɫo#/ cɨɫɣъ- < *cɨɫvъ 'красная краска', ɣallɨ#/ ɣalɣa- < *ɣalja 'утка', winnǝ#/ winvǝ- 'след' и др. В данном случае ожидался бы геминированный -jj-. Если учесть чередование -j- ~ -T+ɣǝ- на стыках морфем, то логично ожидать появление внутри основы аналогического -ɣ- на месте второго -j-, который и генерализуется в южных языках. В чукотском произошло выравнивание по основе с сочетанием перед гласным. В данном случае соответственно чередование имело вид ajjъv# > ajɣъv# / ajvɨ-.||56|
37|*ʁạʁạ-|0|тянуть, тащить, волочить|*hāhā-||haˊha-(*), haha-jpǝ- (III)|haha-|haha-||||2928||55, 570, 585|11|431|279|||1042|
38|*ạʒụ-ɫqǝ̣-n|0|лужа 1, болото, трясина 2, полынья, прорубь 3|*ājū-ɫqǝ̄-n|ɛˊju-lqǝ-n 2|ajoˊ-tqǝ-n 1, 2*, ajolɣǝ-n, ajoˊlha-ɣǝjŋǝ-n* 3||aju-cqǝ-n 1, aju-ɣǝrŋǝ-n 3||ajo-tqǝ-n|aju-cqǝ-n|482|25|215, 396|12|294||Кор. ajo-tqǝ-n произносится с палатализованным -tˊ- и равнозначно ajo-cqǝ-n.||0|
39|*ạʒ-ụp-|0|заноза, шип 1, колоть 2|*āj-ūp-|ɛjuˊp-|ajup 1, ajup- (III) 2|ejupǝ-tku- 2|ajup 1, ajup- 2|ɛjupǝ-tku-c(ʔ)ǝ-n 'шиповник'; ajop-c(ʔ)u-wattaˊp 'с наколотым узором мох (двух различных цветов: светлозеленый и темно-коричневый)' (161)|||484|25|146||294|125|Вторая часть сложения значит *ụp- 'втыкать, колоть' (995).||19|! А как связано это с *ojpъ-?
