NUMBER|PROTO|PRNUM|MEANING|ICOST|WCOST|ITE|ITRUSL|STBIT|ITEMEA|WIT|WITMEA|WITMEP|SIT|SITMEA|SITMEP|VOL|IRSLOV|VZHU|STEB|WDYB|SDYB|COMMENTS|NIOD|NIODNUM|EXT
1|*məźə-m|1|солнечное сплетение, желудок||MɨZɨ-M|||||mɨzɨm 1, mizim kumisi-zin 2|stomachus 1, dolor in serabiculo cordis 2|żołądek 1, ból pod sercem 2||||||||135, 136||Про вторую часть в сложении см. *qumis- (271).||0|нивх. mec. В [ ] скобках Крашенинников зап. и юж. камч., кроме того -* у Крашенинникова после, а также в ител. вхождения из ИРС, -**  Володин, Жукова.
2|*meč'a-|2|далекий|Me̲C'a̲-|MẹCa-|meč'a- (meč'a-ke dat.)|meč'a-'an poss. (meč'a-ke dat., meč'a-x'al abl.)|meca-lax (meca-q adv.)|дальний, далекo|mẹča-'an 1, mẹča-k adv. 2|longinquus, remotus; longe 1|daleki, oddalony 1, daleko 2|~ biča-skik 3sg. pres.|hospitio excipi|gościć|339, 246|60||102|134|104|||0|
3|*male-|3|подметать|MạLï=, Ma̲Le̲=, Mạ̲Le̲-Nə̈-N -e?|Ma̲Le̲=, Ma̲Le̲-Tə=, Ma̲Le̲-Na̲-N|male- S, SO 1, male-ne-ŋ 2|male-kas (q-malɨ-xč 2sg. imper., male-zɨn 3sg. pres., k-male-knen 3sg. perf.), male-s (q-malɨ-xi'n 2sg.3sg. imper., male-znen 3sg.3sg. pres.) 1, male-nə̆-ŋ (male-n-e'n pl.) 3||подметать, мести 1, весло 2, веник 3|male-t-əz 1, male-nan 2|scopis verrere 1, scopa 2|wymiatać 1, miotła 2||||118|56|||133||||979|meń 'весло рулевое'
4|*măsht, *măshs-|4|чеснок|Mä̆SXT́-e|Ma̲SXT́-a, MïSXT|măsxt (mə̆sx-al-aj coll., magn.)|mə̆sht (mə̆shs-e'n pl.)||черемша, чеснок|masɣt, masxt (masɣt-an, masɣs-an pl.) 1, misɣt (misɣt-in poss. )|allium ursinum 1, [prunus padus (baccae)] 2|czosnek łąkowy 1, [czeremcha (jagody)] 2|buzad 1, ski-buzax 2|allium ursinum 1, allium sp. 2|gat. czosnku (rośl.) 1, 2|40, 134|58|||133, 135|104, 118|У Дыбовского ошибка в понимании: должно быть 'черемша (чеснок)', а не 'черемуха (ягоды)'!||0|
5|*mawta-nə-ŋ|5|постройка|Ma̲FTä̲-Ne/o-N -e||mawta-ne-ŋ|mawta-nŏ-ŋ (mawtan-e'n pl.)||постройка, строение||||madum-sič 3sg. pres.|facit, agit, laborat|robi, pracuje|167|55||||114|||0|
6|*ma'a ~ *mi'a|6|мест. вопр. "где"|MaH|MaHa, MịHạ, Mə̲̄-|ma'|ma', ma's (ma-nke adr.)|ma'a|где|ma'a, ma, mi̯a 1, 'uɣ(i)k mə-xal (abl.) 2|ubi 1, post 2|gdzie 1, po upływie, za 2|ma-ča|ubi|gdzie|36|57, 107||90|133, 135, 141|114|||0|
7|*mejim/ŋ|7|много|MëJïM, MëJëN|MẹJHəN|mejim|mejim, mejeŋ||много, вдоволь|mẹj'ən-not-kaz 1, šən-mojən 2|conedere, satiari 1, gemma 2|zjadać, najeść sie, nasycić się 1, poczynający się rozwĳać, pączek drzew 2||||396|58|||134||В зап. камч. буквально 'много съесть', сложение с *'nu- 'есть' (52).||978|
8|*mel-|8|хороший|MeL-||mel-lah 1|mel-lah 1, mel 2, mel-mel 3||хороший, добрый 1, сильно, хорошо, как следует 2, добро, благо 3|||||||55|58, 59|||||Возможно тот же корень в композите зап. камч. mali-kanez 'garrire, fabulare' (Дыбовский 1 138) буквально 'хоpошо говоpить'.||764|
9|*mele-|9|выздороветь, освободиться|Me̲Le̲=||mele-kas|mele-kas (t-mele-skičen 1sg. pres., mele-sč 2sg. pres., k-mele-knan 3sg. perf.)||выздороветь|||||||215|59|||||||0|
10|*mem|10|шалаш, балаган|MëM-e -eCX|MẹM|mem (mem-e'n pl., mem-ečh dim.)|mem (mem-e'n pl.)||балаган (летнее жилье на сваях, амбар, сарай)|mẹm|taberna, conditorium|szopa, sklep, skład|bami|casa, taberna|buda, szałas|25, 126, 131|59, 134|||134|104|||0|нивх. балаган
