NUMBER|PROTO|PRNUM|MEANING|CHUK|CHUKNUM|ITEL|ITELNUM|COMMENTS|NIOD|NIODNUM
1|*maĺ'mɨ|114|грудка, брюшко, желудок|*macbɨ #|804|*məzə-m|1|||0
2|*majtъ-|0|далеко, далекий|*ъr-maʒtъ-|1159|*meč'a-|2|||0
4|*marŏq[ĺ]a|0|чеснок|*maroqla|851|*măsxt, *măsxs-|4|В ител. аpхаичная фоpма с сочетанием *=xs=, а *=t конечное в  части случаев пpедставляет собой контаминацию с омофоничным суффиксом имен.||0
5|*mavtъnV-|0|постройка, балка|*matъʒna-|1563|*mawta-nə-ŋ|5|||0
6|*meje ~ *məje|0|где|*mạʒạ ~ *ə̣mʒạ|826|*ma'a ~ *mi'a|6|||0
7|*mejŋ(ʷ)ə-|25|большой, много|*meʒŋə-|828|*mejim/ŋ|7|||978
8|*meł-|23|хороший, добрый|*meł-|805|*mel-|8|||764
9|*mełɣe-|0|стать здоровым|*mecɣ-eb-, *meł-eb-|806|*mele-|9|||0
10|*memĭ-|0|шалаш, строение|*memi-ŋe|839|*mem|10|||0
3|*malɨ-|0|мести, подметать|*maLɨ-|803|*male-|3|||979
11|*mĕniɣ|0|корзина, плетенка|*mạnịɣ|844|*mumx|11|||0
12|*meč'vu-|0|медведь|*meRbə-|1497|*met's-k'e, *mat(s)u|12|||0
13|*met-|0|потерять|*met-: *ta-n-mat-ŋъ-|1501|*mėt(')il-|13|||0
14|*metji-|0|терять, терять уверенность|*metib-|866|*meč'-|14|||0
15|*məłə-|0|маленький (по возрасту, размеру)|*əmłə-|1753|*mịł-|15|||977
16|*əmɣə'm "|60|волна|*ə̣mɣụ-, *mə̣ɣ " ~ *mə̣f "|822|*mɣu-mɣə-m|16|||490
17|*mərɣu ~ *mъrɣo|0|морская водоросль; лебеда 1|*mъrɣo "|862|*məsxu-n 1|17|||0
18|*məjV-|0|обманывать|*əmʒu-: *te-mʒu-ŋ-|827|*maja-|18|||0
19|*'əmlə|1449|вошь|*məmlə #, *əml-, *-əmlə(-)|842|*mil "|20|||532
20|*məłŭne-|0|палка, прут|*əmlune-ŋ|1562|*mełen|21| разобраться со стропилами и балками||1096
21|*məlkət́|0|рыбья чешуя; мелкая рыбешка 1|*məĺkət 1|816|*mĭlk-eč|22|||0
22|*mum'kəl, *p-|0|застежка, замок|*mụmkə̣l (~ -ŋk-)|850|*mumk'əl, *p-|23|Ср. ПЧ *pə̣nkə̣t- 'вязнуть, застревать' (1070) для второго варианта с *p-.||796
23|*məsqʷə "|0|жир, масло|*mə̣tqə̣ "|871|*hamłh|24|||0
24|*[p]ɨmъl|0|тюлень, лахтак|*mɨmlъ, *mɨʒlə ", *-ɨmlъ|841|*pẹməl|25|||0
25|*mɨrɨ "|59|слеза|*mɨrɨ "|853|*măz- "|26|||724
26|*mit́hĕ-|0|хороший, красивый|*mịcʁạ- (~ -tʁ-)|814|*mič-|27|||1101
27|*mVɣʷV|1739|малек (рыб.)|*miɣ(i) "|821|*mawa-|28|||0
28|*minlŭ|1038|заяц|*miʒlute|829|*minł|29|||963
29|*m-kə, *m-kĕn-|1369|кто|*mik, *mikən-|834|*k'e, *k'en-|30|||0
30|*miłɣə|284|огонь|*miłɣə-n "|811|*ximłx|31|||0
31|*m(eŋ)-ine|0|который, какой|*meŋ-ine|848|*min|32|||967
32|*miŋke|0|где, какой|*miŋkə|849|*mankə-|33|||0
33|*mičɣə-|0|старый (о человеке); старик, старуха|*mišɣə-n|861|*mith-|34|||0
34|*mit-|0|искусный; чинить|*mịt-, *te-min-ŋə-|867|*miti-: *łin-miti-|35|В ител. каузативный пpефикс łin=.||1090
35|*monrъ|789|ладонь, стопа, лапа|*mor "|854|*manzə-ŋ|36||450?|964
36|*muke|0|гниль; сера, яд 1|*muke= 1|1494|*moqsxa/i-n|37|||0
37|*muqe|0|непогода, дождь|*muqe "|838|*mu[q]e "|38|||0
38|*mŭłə'm|1786|кровь|*mułłə "|819|*młim(ə)|39|||0
