NUMBER|PROTO|MEANING|PRNUM|GONDI̲TR|GONDI̲W|GONDI̲PH|GONDI̲G|GONDI̲MU|GONDI̲MA|GONDI̲S|GONDI̲KO|GONDI̲Y|GONDI̲M|GONDI̲L|GONDI̲LU̲S|GONDI̲MND|GONDI̲CH|GONDI̲A|GONDI̲D|GONDI̲CHD|ADDITION|NOTES|DEDNUM|VOC̲NUM
1|*aR- (*-r-)|correct; friendly|6|||||arr- "to be correct, be satisfactory"||||||aror "enemy"||||||||The verbal derivative 'enemy' is formed from the negative verb form.|325|82
2|*aR-|to drag, pull|224|arītānā "to drag along the ground"|arrītānā "to drag"||||ar̨ vay- "to come bringing"|||ari sota\i "she went off taking"|||||arri- "to drag"|erī- "(Su.) to pull, drag"|||Also Gondi̲Tr \Iarrī\i along with, taking; Gondi̲W \Iarri tatānā\i to convey away; Gondi̲Ch \Iarri wara\i bringing come!||860|73
3|*ac- (pl. action *ask-)|to cut|0|achchānā "to be cut (of one's foot on a stump, or one's hand with a penknife)"|askānā "to cut up, divide meat"|accānā "to cut off (hand, foot, etc.)"||acc- "to split, saw"|ask- "to cut (meat), carve"||||||||ask- "to cut (meat), carve"|ask- "to cut (meat), carve"|||Also Gondi̲Tr \Iaskānā\i, Gondi̲Mu \Iask-\i to cut (meat), carve (\Iask-\i is pl. action of \Iacc-\i)||46|17
4|*ac-|that much; as much as|0|acnal (masc.; pl. accōṛ), accō (neut.) "as much as, as big as that"||||acke, ackon "that much, so much"|||||||||||||Also Gondi̲Mu \Iaccon\i then; \Iaccohok\i at that time||1|19
5|*ad (pl. *av)|that woman or thing, those women or things|0|ad (pl. au)|ad, au|ad, au|ad, av|ad, av|ad, av|||||||||ad/had, av/hav (SR)|||||1|46
6|*aḍ-|beneath; low, below|1038||||aḍi "beneath"|aḍit "below"|aḍita, aḍna "lower"||aṛgi "underneath"||aḍ(ḍ)i "below, low"|aḍī "down"|||||||Also Gondi̲Mu \Iaḍita\i lower; \Iaṛke\i below\I\i; Gondi̲Ko \Iaṛgita\i lower||72|33
7|*ad-am|mirror|0||||||||addam||||||||||||147|49
8|*aḍ-ām|obstacle; shelter|3|addām "shelter"|||||aḍam "obstruction"|aḍḍam "obstacle"|||||||aḍḍam "obstruction; veil"|aḍḍām "(SR) shelter"|||||83|34
9|*ad-k-|to tie (knot, etc.)|1041||||||||adk-||||||||||||145|48
10|*adm-|to press|0||admáná|||adm-||adm-|adm-||ādmānā||||||||||133|50
