NUMBER|PROTO|MEANING|PRNUM|KOLAMI|KOL̲KIN|KOL̲SR|NAIKRI|NAIKI|PARJI|OLLARI|SALUR|POYA|S̲3|ADDITION|NOTES|DEDNUM
1|*adam|mirror|0||||||||||addam|||147
2|*aḍḍ-am|obstruction|16|||||aḍḍam|aḍḍom "obstacle, obstruction"|||||Also Parji \Iaḍḍom er-\i to obstruct||83
3|*aḍ-|bad|14|aḍavu "bad, mischievous; bad person"|||||aḍra|||||||107
4|*aḍ-|female|100||||||aḍey "wife"||||āḍa payya "female calf"|||400
5|*ad-p-|to blot|75||||||||||addap-|||285
6|*ad-m-|to press|6|adum- (adumt-)|||adum-|adum- "to squeeze, press"|ayb-|||adb-||||133
7|*ad-r-|to shake|4||||||||||adrap- "to shake (tr.)"|||137
8|*aḍ[i]-|to ask|0||||||aḍ-, (S) aḍi- "to ask, request"|||||||81
9|*a-|that|24|am/amd, avr, ad, adav "that man, those men, that woman or thing, those women or things"|||avnd, avr, ad, adav "that man, those men, that woman or thing, those women or things"|ōn, ōr, ad, anda "that man, those men, that woman or thing, those women or things"|ōd (obl. ōn-), ōr, ad, av "that man, those men, that woman or thing, those women or things"|ōnḍ, ōr, ad, av "that man, those men, that woman or thing, those women or things"|ōnḍ, ōr "he, they"|||Also Kolami adj. (rarely used) \Iā\i; Naikri adj. \Iā\i; Parji adj. \Iā\i; Ollari adj. \Iā\i, \Iāy\i|The inflected forms are as follows: \I*avnd̲\i (masc. sg.), \I*avr\i (masc. pl.),\i \I*ad\i (fem. sg.). As for the fem./neut. pl. form, external data shows \I*av\i to be most archaic. The form \Iadav\i has obviously developed by analogy with \Iad\i; as for Naiki \Ianda\i, it is unclear.|1
10|*a-cir[in]|that day|1|||||accir "day before yesterday"|||ācin "that day, day before yesterday"|||Also Naiki \Iammanin\i then; \Iayel\i that direction; \Iasen\i like that (person)||1
11|*ag-|to be torn|23||||||||||ag-|Also Gadba̲S3 \Iakp-\i to tear||16
12|*agl-|pot|2170|||||||agle||||||9
