NUMBER|PROTO|MEANING|PRNUM|STEMS|KOTA|TODA|ADDITION|NOTES|DEDNUM
1|*a-|distant from speaker in time, space, or contextual relationship|1||a-|a-|||1
2|*a-d|that thing|1||ad "that thing/those things"|aϑ (\Iobl.\i an-) "that person or thing"||Also Toda pl. \Iaϑām\i.|1
3|*a|demonstrative adjective|4686|*a-t̲ [\I"in that direction"\i]; *a-t̲-āk [\I"a little in that direction"\i]; *a-t̲-l- [\I"from that direction"\i]; *a-l- [\I"there/then"\i]; *a-nd̲- [\I"that day"\i]; *a-nt- [\I"that many, so much"\i]|a (\Ibefore consonant\i), ay (\Ibefore vowel\i)|a (\Ibefore consonant\i), ay (\Ibefore vowel\i)|Also Kota \Iay\i that place, there; \Iayk\i to that place; \Iaytr\i from that place; \Iayōn\i, \Iayōl\i, \Iayōr\i, \Iayd\i that man, woman, etc.; \Iajn\i thence; \Iat̲\i that direction; \Iat̲āk\i a little in that direction; \Iat̲ltr\i from that direction; \Iat̲ē\i go! (pl. \Iat̲ēm\i); \Iatervī\i in that neighbourhood; \Iadejn\i from that time on; \Ial\i that time; \Ialk\i at that time; \Ialōn\i, \Ialōḷ\i, \Ialōr\i, \Iald\i that previous man, woman, etc.; \Ialīk\i to that previous place; \Ialā\i lo there!; \Ianm\i (obl. \Iant-\i) like that, that fashion, that amount; \Iantk\i to that extent; \Ianān/anōn\i, \Ianōḷ\i, \Ianōr\i, \Iand\i such an important man, woman, etc. as that; \Ianā\i, \Iananā\i adj. such and such (as that); \Iantā\i adj. so great; \Iāpāṭy\i so big as that; \Iantal\i so many as that; \Ianmūṛ\i like that; sexual organs; \Ianmūṛōn\i man like that, etc.; \Iaŋ gey-\i to have intercourse with; \Iand̲\i that day; \Iamnēr\i two days before yesterday; Toda \Iaϑɨd\i because of that, therefore; \Iat̲\i in that direction; \Iat̲ɨk\i a little in that direction; \Ial\i in that place, there; \Iat̲s̲n\i, \Ias̲n\i from that direction; \Iad̲\i on that day; \Iatfok\i then; \Iat\i that many; that much; \Iatton\i just/only that much, in that same way; \Iatk\i that much; \Iatks̲\i at that distance; \Iatatk\i only so much as that; \Iatōf\i such as that; \Ia/g/ gɨs\i in that manner; \Ias̲ ɨn-\i to say like that; \Iānk\i to that place; \Iānār̲\i towards there, by that road; \Iātoṭ\i that bank; \Ia mun\i that side, the other side; \Ia mun nōṛ\i the world of the dead|In many Toda forms we should expect \Io\i, but the preservation of \Ia\i throughout is either due to analogy with those stems where it should have been preserved (e.g. \Il\i-stems) or due to the frequency of this pronominal stem in general.|1
4|*aḍĭ|foot|63||aṛy "foot (measure)"|oṛy|||72
5|*aḍḍ-|to block; to shut|75|\Iintr.\i *aḍ-ӓ-v- (\Ip.\i *aḍ-ӓ-d-), \Itr.\i *aḍ-ӓ-v- (\Ip.\i *aḍ-ӓ-t-)|aṛv- (aṛd-) "to become blocked by an obstacle, (throat) becomes choked with tears"|aṛf- (aṛt-) "to shut"|Also Kota \Iaṛv-\i (\Iaṛt-\i) (door) shuts; to shut (door, hole), shut up (cattle); \Iaḍ\i oblique, slanting, at right angles, crosswise; \Iaḍ aḍ\i at full length, at right angles; \Iaḍ voṛt\i rising or setting sun; \Iaḍ mug-\i to bow to ground before god or godlike person; \Iaḍ gaṭ-\i to obstruct, stop; Toda \Imɨṛk aṛf-\i to spoil one's voice by shouting (lit. choke to the neck); \Ioḍ\i crosswise, obstructing, prostrate, contour line round a hill; \Ioḍ oḍ foṭ-\i to obstruct (lit. lie crosswise); \Ioḍ fɨḍϑ-\i to prostrate oneself (lit. fall horizontal); \Ioḍ xoṭ-\i to obstruct; \Ioḍty\i limit beyond which one must not go; \Ioḍϑ\i awkward, ugly||83
6|*aṛ-|to cry|254|*aṛ- (\Ip.\i *aṛ-t-); *aṛ-ǝ-g- [\I"to bellow"\i]|ag- (aṛt-) "to weep, cry"|oṛ- (oṛy-) "(child) weeps"|Also Kota \Iagl\i, \Iakl\i act of lamenting; \Iaṛg-\i (\Iaṛgy-\i) (cattle) bellow in protest at ill-treatment|Past stem is intrans. I in Toda (\I*aṛi-\i) and trans. II in Kota (\I*aṛt-\i); the Toda form is probably innovative (since auslaut resonants prefer type II and, moreover, \I*-ṛy-\i > Toda \I-ḍy-\i).|282
7|*ag-|broad|7|*ag-al-ǝm "width"|agalm (\Iobl.\i agalt-) "width"|ox ɨn- "be broad"|Also Kota \Iān-\i (\Iād̲-\i) to open (mouth) wide; (mouth) is open wide (PSS); Toda \Iox et̲-\i (\Iox et̲y-\i) to make broad|Kota \Iān-\i is compared with forms like Tamil \Iān̲r̲a\i 'wide' (supposedly from \I*ak-an̲r̲-\i?). If it is so, the Kota form should be traced back to \I*ag-nd̲-\i > \I*ā-nd̲-\i > \I*ān-\i.|8
8|*-aṛǝk|a k. of measure|359||ak "the oḷk measure (in numeration)"|ak "the ačok measure for ghee or liquid (in numeration)"|Also Kota \Iōr ak\i one oḷk; \Iīr ōk\i two oḷk; Toda \Iwӯr ak\i one ačok, \Iīr ak\i two ačok, \Ioy ak\i five ačok, \Imāk\i three ačok; as milk measure = 1/4 kōṇy or 1/8 pɨṇ|Inlaut *-ṛ- reconstructed on the basis of *-a- in Toda.|397
9|*ark-|passion|253||akm "affection"|arkyn "passionate woman"|||281
10|*ak-|elder sister or female parallel cousin|20|*ak-ǝn|akn|okn, okok|||23
