NUMBER|PROTO|MEANING|PRNUM|KUI|KUTTIA|KUWI̲F|KUWI̲S|KUWI̲SU|KUWI̲P|KUWI̲T|KUWI̲D|KUWI̲MAH|KUWI̲ISR|ADDITION|NOTES|DEDNUM
1|*CRēŋ-|ear of paddy, head of rice|965|rēga (pl. -nga) "the small stalk on which a grain of paddy hangs"||jengū (pl. jekaŋa) "ear of paddy"|||jēka "head of rice"||||jēŋgu (pl. jēka) "head of rice"||The initial cluster is hard to determine. The development is similar to PK \I*mR-\i > Kui \Imr-\i, Kuwi \Ij-\i, therefore the second element is most certainly \I-R-\i; however, the first consonant is impossible to reconstruct. Lack of good external data makes it even more difficult.|2750
2|*aʔanj-u (*-w-)|that man|1|aanju||āasi|||||||||The auslaut vocalic correspondence is irregular: in Kuwi the plural ending \I-i\i was transferred here to the singular forms by analogy. Although  there are no traces of inlaut \I-w-\i here, judging by both system considerations and external data, it should be present (cf. \I*īwanyi\i, \I*ūwanyi\i, etc.) However, if in Kui we may suggest a quasi-regular loss of \I-w-\i, say, after \I-a-\i or something like that, in Kuwi in a similar  context the labial remains intact (this is PK \I*awa\i > \Iawa\i), so an analogical development of some kind is not excluded.|1
3|*aʔaru (*-w-)|those men|1|aaru||āari||||||||||1
4|*ad- (?)|surprise|0|adangi "surprise, astonishment, wonder, fear; adj. surprising, wonderful"||addajakka aiyali\i "to be surprised"||||||||Also Kui \Iadlangi\i bewildered|The form \Iadlangi\i suggests a possible reconstruciion \I*adl-\i; however, lack of good external data makes it impossible to verify this suggestion.|139
5|*aḍ-a|a unit of measure|2||||||||||aḍa|||105
6|*aḍḍ- (?)|to obstruct; screen, interception|3|aḍa "a screen, an intervening or intercepting object (said to be < Oraon)"|||aḍḍe ānai\i "to resist"|addu ānai "to obviate"||||||Also Kui \Iḍākoli\i a hide shield; Kuwi̲S \Iaddunga\i across (in measuring); \Iaḍḍe\i \Iānai\i to resist|Kui \Iḍākoli\i is very hard to compare with Kuwi forms, for in this case we should suppose a   separate Kui reduction. Much more probable is that it is derived from Kui \Iḍāki\i shell (of   tortoise, etc.), cf. DED 2989. The root itself displays an extremely rare case of PK (and  probably PDR, cf. the dictionary) voiced geminate; in fact, it is so rare it is not excluded that the root itself was borrowed from Telugu.|83
7|*aḍ- (\Icaus.\i *aṭ-)|to be associated with, joined to, united with, associate with, accompany, aid, assist, help; n. association, assistance, help|1202|aḍa (aḍi-)||||||||||Also Kui \Iaṭka\i (\Iaṭki-\i) pl. action; \Iaṭpa\i (\Iaṭt-\i) to join (tr.), unite, associate;  \Iaṭse\i, \Iaṛse\i together, jointly; \Iaṭu\i near, at a short distance; \Iaḍi miḍi\i unity,  association; \Iaṛpa\i (\Iaṛt-\i) to mix, put together, unite||79
8|*aḍ-mb-|to pound, break|4|ḍāmba (ḍāmbi-) "to pound, crush by pounding; n. pounding, crushing"||||ḍamb- (-it-) "to be broken"||||||Also Kuwi̲Su \Iḍap-\i (\I-h-\i) to break||77
9|*aḍr- (*-rl-)|useless, empty, idle; adv. without sense or reason, without benefit, without shelter or food, idly, in vain|5|aḍre, aḍrene||||||||||||107
10|*a/*ā|that (remote)|1|a- "that over there"||ā "that most remote"|||||||||There are four main deictic stems in PK: \I*a-\i, \I*i-\i, \I*e-\i, \I*u-\i. Of these, \I*i-\i is  the simplest of all: it is preserved in all the main sources of data (that is, Kui, Kuwi̲F and  Kuwi̲S) and always means 'this'. As for the other ones, all three were preserved in Kui where they  seem to retain their original functions: \Ie-\i as 'that nearer', \Ia-\i as 'that further' and  \Io-\i (from \I*u-\i) as 'that at the greatest distance'. In Kuwi̲F \I*e-\i was lost, and the other  two shifted meanings: \Iu-\i 'that intermediate', \Ia-\i 'that farthest'. In Kuwi̲S, instead,  \I*a-\i was lost, but the other two forms were left intact.|1
