NUMBER|PROTO|MEANING|PRNUM|KUR|MLT|NOTES|ADDITION|DEDNUM
1|*aGbā|seed-bud, sprout, shoot|0|akhuā||Инлаутное -kh- в курух условно возводится нами к *-G-; вообще сочетание -khu- в курух практически не встречается, поэтому реконструкция чисто условна (хотя корень, вероятно, общедравидийского происхождения, см. DEDR).|Also KUR \Iakrārnā\i to germinate, shoot, sprout.|15
2|*ac|thorn|0|acc|acu||Also MLT \Iac-acro\i prickly.|45
3|*ad-jar-|to be agitated|4||adyare|||137
4|*adA|there!|0|adā|athi "look there!"|||1
5|*adr|broken grain|0|adar "the waste of pounded rice, broken grains, etc."|adru|||134
6|*aḍ-j-|to lay a snare|0||aḍye|||962
7|*aḍ-ō|bullock, ox|331|aḍḍō||||815
8|*aḍr-|to twist, strut|0|aḍrnā "to twist back one's limbs or bend the body inward (as under threat of a blow)"|aḍre "to strut"||Also MLT \Iaḍro\i a swaggerer.|108
9|*agar-|to spread, increase, become public|21||agare||Also MLT \Iagatre\i to spread, distribute.|8
10|*aǯ-|paternal grandfather|1857|ajjos|||Also KUR \Iajjī\i grandmother.|50
11|*akel-|to draw in the belly|0||akele|||774
12|*alG-|to laugh, laugh at, mock, seduce|0|alkhnā|alqe||Also KUR \Ialkhānakhrnā\i to laugh together, have unlawful intercourse; \Ialkhābanʔnā\i joking relations; MLT \Ialqro\i person addicted to laughter.|254
13|*al-ā|dog|32|allā|ale|||2916
14|*al|O! employed to a plurality of persons|0||ale|||251
15|*al-|to clean grains from minor rubbish by shaking gently with the hand|30|alraʔānā|||Also KUR \Ialrārnā\i (grains mixed with straw bits, etc.) undergo the process of cleaning; to be restless, agitated, fret, behave feverishly.|240
16|*al-g-|sluggish|34|algā "sluggish, without energy"|alesi "sweat, heat"||(??) Also KUR \Ilayākoyā\i moving or waling listlessly (as though the limbs had no strength); \IlaikoyOrnā\i to move the limbs in a negligent, languid fashion as though deficient in strength or manliness. MLT form may not belong here.|236
17|*al-p|hollow place underground, cavern|38|alAp|||(?) Also KUR \Ilātā\i hole, cavity, den.|308
18|*alqṛ-ā|parched rice|0|alkhṛā||||255
19|*am-j-|to bathe|0|emnā "to take a bath (all over the body), be covered all over (with sweat, blood)"|amye "to bathe (oneself)"|В курух не вполне ясно начальное e-; если оно не является результатом контаминации с каким-либо  другим корнем или если корень em- вообще родственен корню am- (см. следующий пример), в чем  практически не приходится сомневаться, мы вынуждены будем считать его результатом переогласовки a >  e (под влиянием йота?), совершенно не характерной для курух.|Also KUR \Iemtaʔānā\i to help one to bathe, bathe (a child, corpse); MLT \Iamte\i to bathe (another).|187
20|*am|water, urine, dropsy|46|amm|amu||Also MLT \Iam-amre\i to water (as the mouth); \Iamsro\i waterish.|187
21|*amb-|to let go, leave|47|ambnā "to let go, set free, send away, give up, pardon, leave a place"|ambe "to leave off, forsake"||Also KUR \Iambā\i don't!; MLT \Iamba\i don't!|329
22|*amṛ-ī|water in which rice has been cooked|42|amṛī, amḍī, ambṛī||||174
23|*anaṛ?|\Ianaṛeye\i|0|||||111
24|*ande|then|0|anti "then, after this, so"|ande "then, thus"|||1
25|*anḍ|to see|0|aṇḍraʔānā "to open one's eyes wide, stare"|anḍe "to find, see"|||3642
26|*anḍ|to spread throughout, pervade, be felt, tasted in every portion of the mass prepared (of spices and ferments)|0|aṇḍnā||||288
27|*ar|a plough|0||are|||198
28|*arg|to climb, mount an animal, rise (as sun, moon, stars), rise in pitch (as a drum), get puffed up, (eyes) are turned up before death; (\Iargas\i) to make climb, lift, haul up, take upon one's shoulders, lay a burden on, begin, raise, increase|0|argnā (argyas)|arge|Хороший пример на "явный" и "скрытый" йот: в курух йотированный и нейотированный претерит соответственно отражают нейтральное и каузативное значение; в малто "скрытый" йот имплицитно отражается в смычном -g- (*arg-nā дало бы *arg̣-e).|Also KUR \Iargtaʔānā\i, \Iargaʔānā\i to make climb, lift up, etc.; MLT \Iargtre\i to lift, raise.|231
29|*ar-k-|to be terrified|1060||arkare||Also MLT \Iarkatre\i to terrify|3605
30|*arq-|to dig|19|arxnā|arg̣e|||11
31|*ar-t-|to spread out in the sun for drying|90|artaʔānā||||404
32|*aṛ-|to cover; to hinder|16|aḍnā "to furnish (a drum) with skin, cover it with leather, (birds or bees) construct a nest or honeycomb, stop stubbornly where one is (a naughty child, intrepid combatants, etc.)"|aṛare "to be hindered"|В малто эпентетический гласный, по-видимому, указывающий на исходное *ṛ (поскольку сочетание ḍr в малто не запрещено).|Also MLT \Iaṛatre\i to hinder|83
33|*aṛaq|curry made of meat, fish, or vegetables|0||aṛag̣e|||60
34|*aṛg-|spleen|0|aṛxā|aṛgu|ПСД окончание не определяется (либо в курух, либо в малто слово перешло в другой тип склонения).||91
35|*aṛ-ī|earthen waterpot|81|aṛī||||75
36|*aṛ-q-|to knead; to press|8|aṛknā "to knead, shampoo by squeezing from place to place"|aṛge, aṛgese "to press down, close an opening by pressing a heavy object against"||Also MLT \Iaṛke\i to thrust or wedge in.|63
37|*aṛqā|any leguminous plant or eatable greens.|0|aṛxā||||59
38|*as|to beat, play on or sound (any stringed or percussion instrument)|0|assnā||||320
39|*asg|to stick|0|assgnā "to adhere, stick, hold to or together, attach oneself to, fit, (tongue) to be unable to utter distinctly"|asge||Also KUR \IassAgtaʔānā\i to glue, paste or make otherwise adhere; MLT \Iasgre\i to adhere; \Iasg̣e\i to paste on, make of two things one.|43
40|*asgVl-|a k. of caterpillar|0|assglāṛā "a caterpillar found on the sāl-tree leaves (its contact causes swelling and fever)"|asg̣alo "a caterpillar the touch of whose hair causes painful irritation"|||52
41|*as-r-|to tremble|2|asrnā|asr-, asrān "to hesitate"|KR-17.||37
42|*asr|to hesitate|0||asr-asr āne|||190
43|*at|to wear|0|attnā "to clothe or dress oneself in, put on"|ate "to wear, put on"|||145
44|*aṭ|to spread|0|aṭṭnā "to spread out upon the ground something folded or rolled up, dispose coins on the ground in close heaps (for counting or a big payment), construct, make"|aṭe "to spread (as bedding), create"||Also MLT \Iaṭpo\i bedding.|102
45|*aṭā|raised platform, scaffold, loft in house|0|aṭṭā||||93
46|*aṭ-j-|to be fit, be enough|12||aṭye|||78
47|*aṭ-|near, close|0||aṭge, aṭgi||Also MLT \Iāṭipāṭi\i neighbourhood|79
48|*a[b]q|to warm (oneself)|0|axrnā "to warm oneself (by the fire, in the sun)"|awg̣e "to expose to the heat of the sun or fire"|Реконструкция условна (-w- в малто может быть и вторичным).|Also MLT \Iawg̣re\i to bask in the sun, warm oneself at a fire.|18
49|*aj-a|mother|25|ayaŋg "mother (without explicit reference to the children)"|ayya "my mother"||Also KUR \Iayō\i mother (\Iiŋgyō\i, \Iniŋgyō\i, \Itaŋgyō\i my, thy [his, her, their] mother); MLT \Iijjo\i thy or your mother; \Iteho\i his, her, or their mother.|364
50|*aŋ|to feel pain in the soles of the feet from walking on a rough road.|0|aŋgnā||||276
51|*aŋ-l|to gape|88|aŋgal aŋgal "with one's mouth open (in surprise)"|aŋg̣le||Also KUR \Iaŋglnā\i, \Iaŋglaʔānā\i to gape, open the mouth wide, be open; MLT \Iaŋg̣lo\i open-mouthed.|34
52|*ā|that|24|ā|ā|||1
53|*āG-|to ripen, become mature|93||āqe|||339
54|*ābd-|raw|0|ābdā "unbleached, unscalded (of rice), raw, as uncooked rice"|āthwa "raw, not boiled"|||395
55|*āb-l-|to yawn|114|aulaʔānā|āwole|Реконструкция условна (нетривиальная фонетическая структура в обоих языках).||392
56|*āc-|thin, attenuated, reduced in strength, slender, slim|111|ācā|||Also KUR \Iācnā\i to turn out tihn, grow thinner.|341
57|*ā-d|that woman or thing|1|ād|āth|||1
58|*ād-|to touch; to select|110|ādnā "to recognize by feeling with the fingers, know by touch"|āde "to select, discriminate, judge"|||363
59|*āḍ|to bedaub, deface|0||āḍe|||348
60|*āl|clear|0|allnā "to become clear (of liquids left undisturbed)"|āle "to get clear (as water when left undisturbed)"|В курух сокращение долготы перед геминатой (из ПСД *āl-y-).||261
61|*āl|adult, mature|101|āl "adult male, husband, servant, mankind"|āl-urqe "to grow up to maturity"||Also KUR \Iālas\i an adult male person, husband, friend, servant, soldier.|399
62|*āl-i|hailstone|98|āli|ali|В малто необъяснимое сокращение долготы. Возможно, форму следует реконструировать с кластером (*alC-), обусловившим сокращение гласного.||384
63|*āl-ī|woman, wife|100|ālī||||400
64|*ān-|to say|454|ānnā "to say, tell, salute as, point out, designate"|āne "to think, say, or do thus"|||868
65|*ānkV|therefore|1|aō̃gē, aōŋgē|ānko "thus, then, therefore"|||1
66|*ān-|to lean against, press|103|ānnā "to cause pain by being pressed against the skin (as gravel on the road, a knot in the mat)"|ān̲ṛeṭe "to lean or rest on pillows"||MLT may not belong here.|409
67|*ā̆nṛ-s-|to arrive|51|ā̃ṛsnā "to reach, arrive at, come, overtake, hear about"|an̲ṛse||Also KUR \Iā̃ṛsrnā\i to be within reach; \Iā̃ṛstārnā\i to be brought up to a certain place; MLT \Ian̲ṛstre\i to cause to arrive, convey.|120
