NUMBER|PROTO|MEANING|PRNUM|PENGO|MANDA|ADDITION|NOTES|DEDNUM
1|*aḍ-|to be able|25|aḍ- (aṛt-)|aḍ-|||78
2|*aḍ-|to pierce, penetrate (e.g. thorn)|0|aḍ- (aṭt-/aṛt-)||||3583
3|*aḍ-g-|in the way, intervening, obstructing|3|aḍgel||||83
4|*aḍer|herd of cows|932|aḍer||||84
5|*a-|that man, those men, that woman, those women, that thing, those things|1|avan/aven/havan, avar, adel/hadel, avek, adi/adaŋ, avaŋ||Also Pengo adj. \Iā\i, \Iāy\i, \Ianda\i; \Iandel\i that woman; \Iandaŋ\i that thing; \Iandaliŋ\i for that, for that reason; \Iacaka\i, \Iace\i, \Iacek\i that big, so big; \Ianṭaŋ\i, \Ianṭiŋ\i in that direction; \Ianṭiŋtan\i, \Ianṭiŋdan\i from that direction; \Iani\i over there; \Ianeŋ\i thus, in that way; \Iabe\i, \Ihabe\i, \Iambe\i there; \Ialeŋ\i thus, in that way; ? \Ianay\i much (? that much)||1
6|*aǯ-|father's mother|0||aji|||50
7|*ak-|maternal grandfather|8|ako (pl. -r)||||24
8|*ale|particle used with vocative|0|ale||||251
9|*amb (pl. *ap-ku)|arrow|13|am (pl. apku)|amb (pl. apke)|||178
10|*am-a|father's sister|21|ama|ama|||183
11|*anḍ-|to taste|0|anḍ- (-t-) "(taste) comes out, is perceived"|anḍ- "(taste, e.g. of salt) to pervade food, be present, be perceived"|||288
12|*anḍ-|to stick to, adhere|14|anḍ- (-t-)||||96
13|*apka|only|15|apka||||153
14|*are- (caus. *rӓ-t-)|to fall|690|ar- (-t-)|re- (-t-) "to fall, descend, (sun) to set"|Also Pengo \Ivēṛa arbonḍ\i setting of the sun, west; \Irat-\i (\I-t-\i) to let fall, drop; motion \Iratka-\i; intens. \Iratpa-\i; Manda \Iret-\i to let fall, drop||233
15|*ar-|to put on (coat, on another), fix (load on carrying-yoke)|933|arpa-||Also Pengo \Iarpiyā-\i (< \Iarpiya ā-\i) to put on, wear (coat)||369
16|*aṛi- (caus. *ṛӓ-t-)|to cry|701|aṛ- (aṛt-) "to weep, cry (of animals)"|ṛī-|Also Pengo intens. \Iaṛba-\i; caus. \Iṛat-\i; intens. of caus. \Iṛatpa-\i||282
17|*as-|to seize|17|ah- (ast-) "to seize, take hold of"|ah- (-t-) "to seize, catch"|||51
18|*aṭavar-i|chin|0|aṭavari|aṭavari|||69
19|*av-|elder brother's wife|21||ava|||273
20|*aj-a/*jaj-a/*tjaj-a|mother|22|aya, iya|aya|Also Pengo \Iaya-taṛi\i woman; \Iteya\i female of animal; \Iteyhi\i mother (related to 3rd person); Manda \Itaya\i female of animal|In Manda two protoforms (\I*yay-\i originally meaning 'my mother') merged phonetically.|364
21|*aŋl-|to open mouth|23||aŋlā-|||34
22|*ā-|to be, become|26|ā- (āt-)|ā- (āt-)|||333
23|*āk-i|leaf|30|āki|āki|||335
24|*āl|pipal tree (in a mythological text)|934|āl gāc||||382
25|*ām (obl. *mā-)|we|544|āp, āpeŋ (excl.; gen. mā, acc.-dat. maŋ/maŋgeŋ)|ām (obl. mā-)|Also Pengo \Imāpo\i in our region; \Imābe\i by us, with us||5154
26|*ān (obl. *nā-)|I|545|ān/āneŋ (gen. nā, acc.-dat. naŋgeŋ)|ān (gen. nā, acc.-dat. naŋ)|||5160
27|*ānǯ-|to catch (something thrown at one)|31|ānj- (ānc-)||||409
28|*ānǯg-ă|hail|28|ānjga|ānjgi|||406
29|*ār-ku|(pl.) a species of millet|34|ārku||||379
30|*āṛ (pl. *āc-)|woman, wife|36|āṛ (pl. ācku)|āṛ (pl. ācke)|Also Manda \Iāco-mgāṛ\i (pl. \Iāco-mgahke\i) woman||400
31|*ӓr-|to lay eggs|935|ar- (-t-)|er- (-t-)|||197
32|*baḍg-|stick|40|baḍge "stick, staff"|baḍga|||5224
33|*baṭ-a|field|44|baṭa "a field on the hills"|baṭa|||3874
34|*bӓǯek|much|1269|bajek|bejek|Also Pengo \Ibajoŋ\i (pl.) many||3830
35|*bēr-oṇ|speech, language|49|bēroṇ "speech, conversation, discussion, language"|bēroṇ "language; story"||Manda form is probably misspelled, since \Io\i is impossible in Manda.|4439
36|*bēṭ|hunting|50|bēṭ|bēṭ|||5527
37|*biṭ-|blunt arrow|448|biṭa||||4854
38|*bod-el|Butea frondosa|0|bodel mar||||4512
39|*boṭ-u|a kind of fish|936|boṭu min||||4498
40|*bɔjk- (*-o-)|wild cat|46|boyka||||4106
41|*boŋ- (caus. *bok-)|to spill|60|bok- (-t-)|buk- "to pour"|Also Pengo \Iboŋ-\i (\I-t-\i) to be spilled||4470
42|*buḍv-el|bubble|0|buḍvel||||4485
43|*bukl-|Dalbergia oujeinensis|0||bukli mar|||4341
44|*burk-a|tiger|937|burka|burka|||4298
45|*boṭ (*-u-)|thumb|58||buṭ vehpe|||4493
46|*boj (*-u-, *-z)|girl|59||buy|||4532
47|*būr-|feathers, hair|72|būra (pl. -ŋ) "small feathers, down, wool, pubic hair"|būriŋ "pubic hair"|||4358
48|*calp-oṛi|temple (of head)|0|calpoṛi|halpuṛi|||2376
49|*cilp-|chip of wood, bark|938|cilpa||||2586
50|*cīr-|root|761|cīra||||2626
51|*conḍ-i|beak of bird|939|conḍi||||2664
52|*coṭ-|lame|89|coṭa||||2838
53|*srǟs|snake|779|rāc|trehe|||2359
54|*cup-|to spit|792|cup- (-t-)||||3323
55|*cup-el|musk-rat|94|cupel||||2675
56|*curk-i|a small basket|96|curki||||2691
57|*cuj|penis|0|cuy "(child's) penis"|hũy|||2681
