NUMBER|PROTO|MEANING|PRNUM|STEMS|TAM|TAMMEAN|TAMDER|MAL|MALMEAN|MALDER|KAN|KANMEAN|KANDER|KOD|KODMEAN|KODDER|TUL|TULMEAN|TULDER|KT|KTNUM|IRU|IRUMEAN|IRUDER|KAS|KASMEAN|KASDER|MISC|NOTES|DEDNUM|CHECKED
1|*ag-|to press, afflict|2167||||||||agacu, agucu, agusu|to press firmly, confine, hold firmly|\Iagacāṭ(a)lu, agacāṭ(a)le, agacāṭu \iaffliction, trouble||||||||0|||||||||0002|N
2|*agasai|common flax|20||||||||agase|common flax, Linum usitatissimum Lin.|||||agase-nārụ|common flax|||0|||||||||0003|N
3|*agaḍ-u|wicked, mean|2168||akaṭu|wickedness|||||agaḍu|viciousness, savageness, meanness|||||||||0|||||||||0004|N
4|*agasti|pea-tree|18||akatti, accam, acci|West Indian pea-tree, Sesbania grandiflora||akatti|Sesbania grandiflora||akace, agace, agase, agise|tree with large scarlet flowers, Sesbania (or Aeschynomene) grandiflora Poir.|||||agase-mara|Agati grandiflora|||0||||||||Only an old inlaut cluster can account for the correspondences between Tamil and Kannada; the cluster is clearly seen in the Old Indian borrowing \Iagasti-\i. Some of the Kannada forms (or even all of them) may actually be borrowed from Telugu, which would still leave us with the same correspondence, but between Tamil and Telugu.|0005|N
5|*agapai|ladle|2169||akappai, āppai|ladle, large spoon with long handle, usually of coco-nut shell||akappa, akappān, āppa|ladle||agape, āpe, hāpe|scoop or ladle, made of a coco-nut shell or of wood|||||||||0||||||||Kannada \Iāpe\i is re-borrowed from Tamil (Kannada does not normally tolerate loss of inlaut *-g-).|0006|N
6|*agam|inside|22||akam|inside, house, place, agricultural tract, breast, mind|\Iakattān̲\i one who is in, householder; \Iōr-akatti\i, \Iōr-akattāḷ\i husband's brother's wife [i. e. she who is in one and the same house with oneself]; \Iakakkāṛ\i, \Iakaŋkāṛ\i heart of a tree; \Iakaŋkai\i, \Iaŋkai\i palm of the hand; \Iaka-ppaṭu\i to be included, be obtained; \Iakaṭu\i interior, belly, middle, impartiality; \Iakaṇi\i inside, interior, agricultural tract; \Iakappu\i depth; \Iakampu\i inside; \Iakal\i inner part of town or village; \Iakavai\i inside, age within a certain limit; a locative ending; \Iakalam\i breast; \Iākam\i body, breast, mind, heart|akam|inside, abode, house, room|\Iakattu\i within, in the house; \Iakattān\i master of the house; \Iakattāḷ\i mistress of the house; \Iakattōn\i indoor servant; fem. \Iakattōḷ\i; \Iakaŋkai\i palm of hand; \Iakaŋkāl\i sole of foot; \Iakā\i, \Iakāyi\i inside of house, room; \Iakaṭu\i, \Iakiṭu\i udder; \Iaka-ppeṭuka\i, \Iāppeṭuka\i to get into, be caught, befall; \Iaka-ppeṭukka\i to catch|aŋ-gāl|sole of the foot|\Iōragitti\i, \Ivāragitti\i husband's brother's wife; \Iaŋ-gey\i palm of the hand; \Iāge\i, \Iāga\i in, into|aŋgay|palm of hand|\Iaŋgālɨ\i sole of foot|aŋgai|palm of the hand|\Iaŋgārụ\i sole of the foot|*ak-|30|||||||||0007|N
7|*agal-|to spread|21||akal (akalv-, akan̲r̲-)|to spread, widen, extend, depart, go away|\Iakalam\i, (Tinn.) \Iavalam\i width, extent, expanse, greatness, earth, sky; \Iakali\i (\I-pp-, -tt-\i) to broaden out, enlarge (intr.); \Iakaluḷ\i width, expanse, greatness, earth, town, village, country; \Iakalvu\i extent, expanse; \Iakar̲ci\i breadth, separation, ascetic life; \Iakar̲r̲u\i (\Iakar̲r̲i-\i) to widen (tr.), broaden, extend, remove, expel, banish; \Iakar̲al\i extension; \Iakavu\i (\Iakavi-\i) to become long, lengthen out; \Iālam\i breadth; \Iār̲r̲u\i (\Iār̲r̲i\I-\i) to remove, put away; \Iān̲r̲a\i wide; \Iān̲r̲al\i extension, width|akaluka|to become extended, distant, part, retire|\Iakalca\i separation, distance; \Iakar̲r̲uka\i to extend (tr.), open, remove, put away; \Iakattuka\i to distend; \Iakalam\i breadth, distance; \Iālam\i breadth; \Iakala\i, \Iakalē\i far off, aside|agal (agald-)|to be spacious, extensive, separate from, go away|\Iagala\i space, width, extension; \Iagalike\i separation from; \Iagalcu\i to spread out, remove; \Iagundale\i extensiveness, greatness; (PBh.) \Iagunti\i greatness, vastness||||agapuni|to depart; to separate (tr.), to extend|\Iagapāvuni\i to send away, cause to depart; \Iagela\i breadth; (B-K.) \Iagelụ\i to go apart, widen|*ag-|7||||||||The auslaut \I-al\i - on SDR grounds at least - forms part of the root (Tamil \Iālam\i < dial. \I*agalam\i; Toda \Iox\i in \Iox ɨn-\i, etc. may be a contraction from earlier \I*oxl-\i < \I*agal-\i).|0008|N
8|*agal|small earthen pot|2170||akal|small earthen pot having a wide mouth, hollow earthen lamp, a measure of capacity|\Iakaḷam\i jar, large earthen pot, bucket, body of the lute as shaped like a bowl; \Iāl\i earthen vessel|akal|small earthen lamp or pot having a wide mouth||agal|a metal plate used for eating|(Hav.) \Iaguḷi\i a kind of flat vessel||||agoli, agoḷi|a large vessel|||0|||||||||0009|N
9|*aga-|to sound (as a peacock)|0||akavu (akavi-)|to utter a sound as a peacock, sing, dance as a peacock, call, summon|\Iakavar\i bards who arouse the king in the morning; \Iakaval\i calling, addressing, screech of a peacock, high tone, n. of a metre; \Iakavalan̲\i bard of the Pāṇar caste; \Iakavunar\i dancers, singers|akaval|screech of a peacock, name of a metre in Tamil|\Iakar̲uka\i, \Iakir̲uka\i to roar, bellow, children to cry; \Iakar̲al\i, \Iakir̲al\i, \Iakir̲cca\i roaring, bellowing|||||||||||0||||||||An onomatopoeic Tamil-Malayalam isogloss.|0010|N
10|*agaṛ-|to dig|19||akaṛ (-v-, -nt-)|to excavate, dig out, pluck out (as eye), uproot; n. moat, tank, reservoir|\Iakaṛi\i moat; \Iakaṛān̲\i, \Iakaṛ eli\i field rat; \Iāṛ\i (\I-v-, -nt-\i) to dig; \Iāṛi\i (\I-pp-, -tt-\i) to dig deep|akaṛuka, akiṛuka|to dig out, excavate|\Iakiṛ\i, \Iakaṛi\i moat, ditch, trench; \Iakiḷ\i, \Iakil\i moat, earth wall|agaṛ (agaṛd-), aguṛ (aguṛd-)|to dig|\Iagaṛ\i what has been dug; \Iagaṛte\i digging, pit, ditch; \Iagaṛata\i, \Iagaṛate\i digging, ditch, moat; \Iagalte\i ditch, moat; \Iagi\i, \Iage\i to dig, burrow, make a hole in the ground||||agarụ, agaḷụ|ditch, trench, moat|(B-K.) \Iagate\i overturning the soil by spade|*ag[ǝ]ṛ-|59|||||||||0011|N
