NUMBER|PROTO|MEANING|PRNUM|TEL̲1|TEL̲2|TEL̲3|TEL̲4|TEL̲5|TEL̲KR|TEL̲INSCR|MEROLU|ADDITION|NOTES|DEDNUM
1|*avān- (?)|that man|1|vā̃ḍu (\Iobl.\i vāni-)|ā̆tanu|ā̆tagā̆ḍu|ā̆taḍu|āyana||||||1
2|*vār-|those persons|1|vāru (\Iobl.\i vāri-)|vāṇḍlu|||||||||1
3|*adi|that woman or thing|1|adi (\Iobl.\i dāni-)|addi|āyadi|ayyadi|||||||1
4|*avi|those things|1|avi (\Iobl.\i vāṭi-)|avvi|āyavi|ayyavi|||||||1
5|*ā|\Iadj.\i that|24|ā||||||||||1
6|*āv-|that woman|1|ābiḍa, ābiḍe|āviḍa, āviḍe|āme|āpe|āke||||Also [6] \Iāyama\i id.||1
7|*a-kaḍ-|that place, there|1|akkaḍa|acaṭu, acoṭu|accaṭa, accaṭu|accōṭu|āḍa||||Also \Iakkaḍi\i of that place||1
8|*a-puḍ-|that time, then|1|appuḍu|apuḍu|||||||Also \Iappaṭi\i of that time||1
9|*a-nd-|there|1|andu||||||||Also \Iandali\i which is there||1
10|*a-nt-|so much, all, whole; that time, then, afterwards|1|anta||||||||Also \Iantagā\i much, very; \Iantaṭa\i afterwards, then; \Iantu\i whole, total; \Iantē̆\i only so much; \Iandar̲u\i, \Iandor̲u\i so many persons; [1] \Ianni\i, [2] \Iani\i all (things), so many||1
11|*a-ṭ-|thus|1|aṭu|aṭula, aṭulu|aṭṭulu|aṭlu|||||Also \Iaṭṭi\i such; [1] \Iaṭṭī̃ḍu\i, [2] \Iattīḍu\i such a man; \Iaṭṭidi\i such a woman or thing; \Iaṭṭē̃\i in that manner only||1
12|*ad-/*al-|look there!|1|adigō̆|adē̆|allade|alladigo|||||Also [1] \Iala\i, [2] \Ialla\i that, that well-known or celebrated; \Iavvala\i that side; afterwards, beyond, on the other side; \Iaṭa\i there, then, afterwards||1
13|*ag-|troubles, difficulties, affliction|2167|agacāṭlu||||||||||2
14|*agis(i)ja|common flax, Linum usitatissimum|20|agise|agisiya|avise|avisiya|||||||3
15|*agaḍ-|blame, exposure, fault|2168|agaḍu||||||||||4
16|*agis-|a leguminous tree, Coronilla grandiflora or Aeschynomene grandiflora|18|agise (B)|agiśa (B)|avise-ceṭṭu (B)||||||||5
17|*agapa|ladle, spoon, scoop made of coconut shell|2169|agapa|abaka|||||||||6
18|*ak-, *ag-|to appear, be observed, perceived|22|agapaḍu||||||||Also \Iakku\i the breast or chest||7
19|*agal-|to leave, depart, be gone (of strength in war, liveliness, etc.)|21||||||agalu|||||8
20|*agaḍ-|ditch, moat, trench|19|agaḍta||||||||||11
21|*agV-r-|fear, terror|2171|agurvu (KR)||||||||Also \Iagurpu\i, \Iagurvu\i (VN) 'bhayaŋkaramu'||12
22|*agul-|to be unfastened, loosened, separated|0|agulu||||||||||14
23|*agal-|to break or go to pieces, burst|23|agalu||||||||Also [1] \Iagalincu\i, [2] \Iagul(u)cu\i to break (tr.), burst||16
24|*akaǯ-|wonder, surprise, astonishment|0|akkajamu||||||||Also \Iakkaja paḍu\i to wonder||20
25|*akk-|elder sister|26|akka||||||||||23
26|*akil-|to be confused, bewildered|0|akkilipaḍu||||||||||25
27|*ak-i|erysipelas|0|akki||||||||||26
28|*aŋ-|manner, way|0|aŋgu|||||haŋgu "(coll.) manner, way"|||||27
29|*aŋkaṇ-am|space between any two beams or pillars|0|aŋkaṇamu||||||||||28
30|*aŋk-|a quarrelsome man|89|aŋkakā̃ḍu||||||||||29
31|*aŋ-|beauty|0|aŋgu||||||||||30
32|*aŋal-|to grieve, lament, cry out from fear, grief, or pain|85|aŋgalārucu||||||||Also \Iaŋgada\i midfortune, trouble; mental agony, anxiety||31
33|*aŋk-|stirrup|0|aŋkavanne|aŋkavanniya|aŋkemu||||||||32
34|*aŋil-|palate|84|aŋgili||||||||||33
35|*aŋaḍ-i|shop, stall|86|aŋgaḍi||||||||||35
36|*as-i-|to move, tremble, hang as a pendulum|2|asiy-āḍu||||||||||37
37|*as-ur-|an onom. word to express weariness|3|asurusuru||||||||Also \Ianjali-gunjali\i fatigued, tired||39
38|*asal-|mud, mire|0|asalu||||||||||41
39|*acc-|stamp, impression, print, mould|1|accu||||||||||47
40|*ac-u|weaver's reed|0|accu||||||||||48
41|*ac-u|to make a ridge along the boundary|0|||||||accu kaṭṭu sēyu||||49
42|*aǯ-|opportunity|0|ajja||||||||||53
43|*anc-|post, a relay of horses, palanquin-bearers, letter-carriers, etc.|0|ance|anciya|||||||||54
44|*anǯ-|to fear, be alarmed|53|anju||||||||Also \Ianjika\i fear, apprehension||55
45|*anc-u|skirt, border or selvage of cloth, edge (of sword, etc.), shore, brim|0|ancu||||||||||57
46|*aḍar-|to discharge, shoot (as an arrow or other missile)|0|aḍarincu|aḍarucu|||||||||61
47|*aḍV-|to yield, submit, be humbled|8|aḍãgu|aḍagu|||||||Also [1] \Iaḍãcu\i, [2] \Iaḍacu\i to suppress, humble, subject; \Iaḍãkuva\i humility, modesty, submissiveness; [1] \Iḍā̃gu\i, [2] \Iḍāgu\i, [3] \Idā̃gu\i to lie hidden; [1] \Iḍā̃cu\i, [2] \Iḍācu\i, [3] \Idā̃cu\i to hide, conceal; \Idā̃gurincu\i to conceal, deceive; \Idā̃gurinta\i concealment, deceit; \Idā̃pana\i hiding, concealment; \Idā̃paramu\i stealing; \Idā̃parincu\i to steal; \Idā̃parī̃ḍu\i thief||63
48|*aḍapam-u|pouch for betel leaves and nuts, a barber's case for keeping razors, etc.|0|aḍapamu|haḍapamu|||||||||64
49|*aḍāv-|confusion, uproar, fright|0|aḍāvadi (B)|aḍāvudi (B)|||||||||71
50|*aḍ-|foot, footstep, footprint, step, pace, measure of a foot, bottom, basis|10|aḍugu||||||||Also \Iaḍime\i slavery, slave, bondman; \Iaḍiyãḍu\i slave, servant; \Iaḍi-gar̲r̲a\i sandal, wooden shoe||72
51|*aḍal-|to be afraid; n. fear, alarm|0|aḍalu|||||aḍalu "to be afraid, tremble, shake"|||Also \Iaḍalincu\i to terrify, frighten; \Iaḍici-paḍu\i to be in a hurry; \Iaḍici-pāṭu\i impatience, hurry, haste||74
52|*aṭ-|a small earthen pot with a large mouth|81|aṭika||||||||||75
53|*aḍ-|to dry up, become exhausted|80|aḍugaṇṭu||||||||Also \Iaṭṭ-uppu\i a kind of salt; \Iaṭṭu\i a flat thin cake roasted or baked on an iron pan; \Iaḍasāla\i kitchen, cook-room; \Iaṭṭamu\i food, fuel||76
54|*aḍ-|to beat, strike, break, destroy|9|aḍucu|||||ḍancu "to pound, beat, clean grain in a mortar"|||Also \Iaḍupu\i a stroke, blow; \Iaḍaru\i (Tikkana; comm. by Velcheru Narayana Rao and George L. Hart III) to fight, do battle, kill; \Iāṭu\i a blow; \Idancu\i to pound, beat, clean grain in a mortar; \Idaŋgu\i, (KR also) \Iḍaŋgu\i to be pounded (as rice, etc.); \Idampu\i to pound, beat, clean grain in a mortar; n. (also \Idampuḍu\i) pounding, etc.; [1] \Iaḍukulu\i, [2] \Iaṭukulu\i (pl.) rice wetted, parched and flattened, beaten rice||77
55|*aḍ-ar-|to be fit or proper|12|aḍaru||||||||||78
56|*aḍ-a-|to arise, issue|11|aḍaru||||||||Also [1] \Iḍāyu\i, [2] \Idāyu\i, [3] \Iḍaggar̲u\i, [4] \Idaggar̲u\i to approach (intr., tr.); [1] \Iḍāpu\i, [2] \Idāpu\i, [3] \Iḍaggar̲a\i, [4] \Idaggar̲a\i nearness; \Idāparamu\i getting, obtaining, coming or lighting upon; \Idāparincu\i to be obtained, happen, occur, fall to one's lot||79
57|*aḍ-uk-|to pile up, arrange in a set or series; n. a series or set of things, a compact pile of articles|0|aḍuku||||||||||80
58|*aḍ-ug-|to ask, question, beg, solicit, request, demand|0|aḍugu||||||||||81
59|*aḍus-|mud, mire|0|aḍusu||||||||||82
60|*aḍḍ-|to become obstructed or choked, be stopped, choke|16|aḍucu-konu||||||||Also \Iaḍḍamu\i obstacle, hindrance, opposition, a screen, that which hides or separates; adj. cross, which is crosswise; [1] \Iaḍḍa-kaṭṭu\i, [2] \Iaḍḍagincu\i, [3] \Iaḍḍa-paḍu\i, [4] \Iaḍḍu\i to hinder, obstruct; [1] \Iaḍḍakar̲r̲a\i, [2] \Iaḍḍaŋki\i, [3] \Iaḍḍugur̲r̲a\i hindrance, obstruction; \Iaḍḍakaṭṭa\i a dam or bank, embankment; \Iaḍḍamugā\i crosswise, transversely; \Iaḍḍu\i a screen, anything that affords concealment; \Iaḍḍanamu\i a shield; \Iaḍḍi\i hindrance, obstruction, delay; \Iāṭaŋkamu\i prevention, obstacle, hindrance, obstruction, resistance, an objection, a difficulty||83
61|*aḍ-|to increase; n. increase, excess|13|aḍaru||||||||Also \Iaḍi-\i excessive, great; \Iaḍa\i a lump, clot, mass; \Iaṭṭamu\i excessiveness; (VPK) [1] \Iaṭṭadi\i, [2] \Iaṭṭava\i, [3] \Ieṭṭam\i packs of cut or fencing branches/bushes collected and piled up on bullock carts||84
62|*ḍā-|anvil|0|ḍā-kali|ḍā-kallu|dā-kali|dā-gali|dāyi||||||86
63|*aḍ-a/*aḍḍ-a|nippers for cutting betel-nuts, betel-nut cracker|15|aḍa-kattu|aḍa-kottu|aḍḍa-kattera|aḍa-katti (B)|||||Also [1] \Iaḍapa\i, [2] \Iaḍapakatte\i lady in waiting, who carries her mistress's betel-nut pouch; \Iaḍapakā̃ḍu\i servant who carries his master's betel-nut pouch||88
64|*aḍijāl-|sign, token|0|aḍiyālamu||||||||||89
65|*aṭ-|attic (VPK)|0|aṭṭuka|aṭaka, aṭuka|aḍuku|aṭṭava, aṭṭām|aṭava||||Also \Iaṭuka\i loft under the roof of a house; [1] \Iaṭṭaḍi\i, [2] \Iaṭṭamu\i fortified place in front of building, room or chamber built over gate of a fort; \Iaṭṭava\i a supporting roof (pandal) for creepers||93
