"NUMBER","PROTO","MEANING","PRNUM","OLITH","LITH","LETT","OPRUS","NOTES"
     1,"*aîč-k-u- adj., *ī̂č-k-u- adj., *ič-k-ja- adj., *aîč-k-t-u- adj., *aĩč-k-t-iā̃ f.","clear, even",     3,"","áišku-, éišku-, ī́šku- `klar, deutlich', iščia- id.; aikštù- `eben, weit, geräumig', aikštē̃ `Lichtung, offene Stelle, Platz'","","",""
     2,"*ãit-ā f.","sheep",     4,"","","àita, dial. àite 'als Gattungsbegriff des Schaffes; im Gegensatz zun männlichen Schaf und Lamm'","","VT I:14: "wohl eine Bildung auf Grund des Demin. àitin̨a, aus avitin̨a, wie zuitin̨a aus zuvitin̨a, Fischlein (àite aus avĩte) [Adolphi Gramm. 17 gibt es avs "Schaf", Demin. avitin̨a, auch aitin̨a; die Lotavica grammatica: avs : aitin̨a]""
     3,"*aib-r-u- adj.","astringent",     6,"","aibruma-s dial. `das Wässern (im Munde)'","","",""
     4,"*aik-š-t-iā̃ f., *aik-š-t-u- adj.","flat, even",     8,"","aikštē̃ `ebene Fläche, Horizontale', aikštùs `eben, weit, geräumich' - not found in Fraenk.","","",""
     5,"*in̂g-ia- c., *in̂g- vb. intr. (2), *in̂g-n-a- adj. (2)","become worse, go bad",    11,"","ìngis ' ein Faulpelz' (ME I:835); ìngti `verarmen', iñgsti `flennen, greinen, plärren'; ìngis, -ē adj. = tinginī̃s","îgt (-stu, -gu) 'vergehen, verschmachten (bibl.); verdriesslich, mürrisch sein; vor Schmerz, Gram jammern; verdriesslich, mürrisch erwidern'; ĩkstêt [Arrasch], īkšk̨êt (-u, -ẽju) 'murren, murmeln, trödeln'; îgns `verdriesslich, mürrisch'","",""
     6,"*aũs-(i-)","ear",    15,"","ausìs, pl. gen. ausų̃ `Ohr'","àuss (gen. -s, pl. gen. ausu/aušu) `Ohr'","āusins pl. acc. 'Ohren' V. 83",""
     7,"*aw-a- m., *aw-ā̂ f., *aw-ī̂n-a-","aunt, grandmother",    16,"","avà `Tante (als Frau des Mutterbruders)', { Pok. avia Grossmutter }, avī́na-s `Oheim (als Mutterbruder)'","","awis Oheim (Voc. 177)",""
     8,"*auk-š-l-ia- c.","a k. of vessel",    17,"","aukšlī̃-s 'Gefäss aus Erlenrinde, das beim Beerensammeln verwendet wird, Tüte oder Schachtel aus Baumrinde'","","",""
     9,"*aũl-a- m., *aûl-ia- (1) c., *awel-ia- c., *awil-ia- c., *aûl-iā̃ (1) f.","a pipe-like vessel",    20,"","aũla-s `Stiefelschaft (голенище)'; aulī̃-s, avilī̃-s `Bienenstock, Bienenkorb'","aũle, [aũls AP.], dial. àuls\H2\h `Stiefelschaft'; aũlis, aũle, avelis, avele ' eine aus Tannenrinde oder auch aus einem Klotze (dessen Mitte ausgefault ist) gemachter Bienenschtock, um Bienen einzufangen'","aulinis `Stiefelschaft' V.503, aulis m. `Schene' V.141",""
    10,"*aũš-r-ā̂ f., *aũš- vb. intr., *aũš-mā̂ f.","dawn",    21,"","aušrà `Morgenröte, -dämmerung'; auštrìnis (vḗjas) 'Nordostwind'; aũšti `tagen, dämmern'","àustra (Drobbusch, C.), aũstra (Kand., Ruj., Salis, Dond., Wandsen) `Morgendämmerung, -röte', austra vējš (Dietz) `Ostwind', àustrums (C., PS.), aũstrums (Kand., Salis) `der Osten'; àust (3 prs. -st, 3 prt. -sa) intr., inch. 'tagen, anbrechen, erscheinen, eintreten'; ausma `die hellwerdende Dämmerung, Morgendämmerung'","",""
    11,"*ač-r-u- adj., *ač-mō̃ (*ač-men-es), *ač-m-a- c., *ač-ak-ā̂ f., *ač-[a]- adj., etc.","sharp",    22,"","ašrù-, aštrù- `scharf', ašmuõ, gen. -eñs, pl. ãšmens, ãšmenīs `Schärfe, Schneide', ašakà `Fischgräte, Kleie'; ašnì-s, asnì-s `längere, hervorstehende Haare eines Pelztieres, Roggenschösslinge, Schneide, Schärfe der Sense' + Lith akstì-s, akštì-s `(Räucher)spiess'; ãkstina-s `Stachel, Ochsenstecken, Federstachel'; ãšutas, ašatī̃s 'Pferdehaar'","asmens (gen. asmens/asmen̨a, pl. asmenis/asmen̨i); asmins (gen. asmins/asmin̨am/asmina); asms 'Schärfe, Schneide der linge, die Klinge des Messers, des Schwertes, der scharfe, eiserne Teil der Schaufel; Spitze der Äh're; Zacke am Holze'; Patohn: asmins (-a) 'die Schneide, Klinge', asmenis (-n̨a) 'die Spitze, das Ende begrannter Ähre'; ass, (Rutzau) asrs `scharf', asaka, N.-Bartau asęka `Gräte'; asns `der hervorbrechende Keim' + aksts 'die Spitze, der erste Ansatz einer Feder bei einem Vogel'; asdj. 'flügge; geweckt, munter, flink'; ašḱis 'Haare des Pferdeschweifes', astri id., aste 'Schwanz'","",""
    12,"*ak-mō̃ (*ak-men-es) (1)","stone",    24,"","akmuõ, gen. -eñs `Stein'","akmens, akmins (gen. -ns/-n̨a, pl. akmen̨i/akmin̨i) 'Stein'","",""
    13,"*ak-ō̂t-a- c., *ak-[ō]n-a- m.","awn, chaff",    25,"","akúota-s `Granne, Hachel'","","ackons `Grannen, Hachel' V.277",""
    14,"*ak-ē̂t-iā̃ f., *ak-ē̂t-ia- c., *ak-ē̂- vb.","harrow",    26,"","akḗčiōs, ekḗčiōs pl. 'Eggen'; ekḗtis, gen. -čiō `Egge'; ekḗti, akḗti `egen'","ecēsa (Druw., BW.), pl. ecēšas, ecêkšas (Ronneb., Smilt., Trik.), ecēža (Preili) `Egge', ecêt (-ēju, -ēju) `eggen'","aketes pl. `Eggen' V.255",""
    15,"*ač-er-ia-, *ač-er-[a]- sb.","perch",    27,"","ešerỹs, dial. ašerỹs `(Fluss)barsch'","asaris (Neuenburg, PS., LP.), aseris, asars `Flussbarsch (Perca fluviatilis)', pl asari 'ein Instrument, ein rundes Klötzchen, mit dessen Hilfe die die Rücklehne der Rohrstühle zusammenhaltenden Querhölzer geboge werden'","",""
    16,"*ak-la- adj., *ak- vb. intr.","blind",    29,"","ãkla- `blind', àkti (añka) `blind werden'","akls `nicht sehend, blind; lichtlos, finster, dunkel; nur dem Schein und nicht dem Wesen nach gleichend, blind, taub, falsch'; ? ikls (Elv.) `stockfinster'","",""
    17,"*aš-i- f.","axle",    31,"","ašì-s, ešì-s `Achse; Klafter'","ass (gen. -s) 'die Achse des Rades der Spule; der Faden, die Klafter'","assis f. `(Wagen)achse' V.298",""
    18,"*ag-r-a- adv.","early",    34,"","","agrs adj. 'früh, frühzeitig', agri adv. 'früh', agrums 'die Frühe'","",""
    19,"*agl-u n.","rain",    36,"","","","aglo n. `Regen' V. 47 (u-St.?)",""
    20,"*at-i- f., *ō̃t-a- c., *ōt-iā̃ f.","a k. of freshwater fish",    39,"","atì-s `Steinbutte'; ō̃ta-s 'id.'","ãte (Biel.) 'die Steinbutte (Pleuronectes maximus)'","",""
    21,"*an-iā̃ f., *an-ī̂t-ā̂ f.","mother-in-law, grandmother",    43,"","anī́ta `Schwiegermutter der Frau'","","ane `Altmutter' V. 172",""
    22,"*an̂k-ā̂ (1) f.","loop",    46,"","ánka `Schlinge in einem zum Hängen dienenden Strick, das eigentliche Netztuch, die Schlenge (am Kurrennetz), Schlinge, in der die Segelstange hängt' ( Wolf. Post., Memelgebiet)","","",""
    23,"*wañč-a- c.","hook",    49,"","vą̃ša-s `Haken, Henkel'","","",""
    24,"*añg-ā̂ f.","doorway, window opening",    52,"","angà 'Tür- oder Fensteröffnung'","","",""
    25,"*winǯ-u- c.","neck",    53,"","","","winsus 'Hals' V. 102",""
    26,"*an̂g-š-t[a]r-ā̂ f., *ang-s-tr[a]- m., *ang-s-ter-a- c., *ing-s-tir-a-, *ing-š-tir-a- c.","furuncle, worm",    54,"","ánkštara `Hitzblase, Bremsenlarve im Viehkörper', inkstìra-s, inkštìra-s `Pickel, Finne, Mitesser im Gesicht, Trichine'","anksteri pl. `Made, Larven, Engerlinge' -- wohl aus dem Kurischen]","anxdris `Natter' V.775","Lett anksteri pl. `Made, Larven, Engerlinge' -- wohl aus dem Kurischen"
    27,"*añt-i","prp.",    55,"anta","añt `auf, zum Zwecke von, nach, zu, gegen etc.'","","",""
    28,"*añs-ā̂ f., *añs-[a]- m.","handle",    56,"","ąsà `Henkel, Handhabe, Griff, Handgriff'","ùosa, dial. ùose; ùoss (gen. -s) `der Henkel (an einem Gefäss), die Handhabe (z. B. die deiden am Eimer hervorstanden Ohren, eine (od. zwei) aus einem Holzgefäss hervorstehende Daube); ein Loch, worein etwas anderes fasst, eine Schleife, Öse'","ansis `Kesselhaken' V.367",""
    29,"*irm-ā̂ f., *ir̂m=ēd-iā̃ f.","arm, arm illness",    57,"","ìrmēdē, -is `fiebriger Zustand, Influenza, Gicht in Gliedern, Armfrass', irm-liga 'Gicht' (артрит)","","irmo `Arm' V.109",""
    30,"*ā̂r-ā̂ (2) f., *ā̂r-a- (2) c., *ār-u- adj.","space, air space",    59,"","ṓras `Luft', illat. sg. ōrañ, ō̃ran `ins Freie hinaus, heraus'; ōrù- `angesehen, einflussreich, erhaben, majestätisch'","âra, âre, ârs 'das Freie, das freie Feld; das Aussen, das Äussere, die Aussenseite als das Freie, dem Auge Sichtbare; ein das Aussen bildendes Gebiet, das ausserhalb der Grenze des Redenden Gelehhene'; *abl. sg. ārā -- drückt die imperfektive Handlung aus und entspricht dem Präfix iz-; *illat. sg. āran [In den Texten des 16. und 17. Jahrh. als Präpos. im Sinne von "aus"]","","According to Fraenkel -- to arti."
    31,"*stag-ar-a-, -ia- c., *steg-er-ia- c., *stag-ut-a- c., -iā̃ f.; *stēg-a- c., *stēg-ā̂ f.","stem, stalk",  1060,"","stãgara-s, stegerī̃-s `dürrer, verdorrter, vertrockneter (Kraut-, Pflanzen)stengel, -strunk; dürrer, blattloser (Baum)ast; dürres Reis; Spule (der Vogelfeder), Federkiel', stagarī̃-s `dürres Reis', dial. stagùta-s `eine Art Holzpflug', stagùtē `Pflug';","stęga: tę̄vam stęga (gemeint ist der penis) nuolūzisi (BW.); stę̄ga , stę̄gs (U.) 'eine lange Stange, ein langer Stock, eine Pike, ein Spiess, eine grosse Rute'; stagars: stāv kâ stagars (Wolmarshof, Ruj.)","",""
    32,"*ar̃d-a- c., *ar̃d-am-a- c., *ar̃d-iā̃ f.","pole, beam",    65,"","ar̃da-s  (pl. ardaĩ) `Stange, an der der Flachs zum Trocknen aufgehängt wird', dial. (preuss.-lit.) ar̃dama-s `Spriet, Segel, Gaffel'; pl. t. ark(i)laĩ (< ard-kilai) `Stangengerüst in der Brechstube', dial. (Balčikonis) ar̃dkilas, ardakilas, ard(a)kilà","ā̀rd-s, pl. ā̀rdi `Dörrbalken in der Heizrige; dicke Stangen über oder neben dem Ofen im Zimmer zum Trocknen der Pregel, Kleider usw. angebracht sind; Balken in der Küche oder in der Badstube; Feuerherd; zusammegeharktes Heu'; dial. ārde f. 'id.'","",""
    33,"*al̃k-a- c., *al̃k-ā̂ f.","sacred place",    68,"","al̃kas, alkà `Hain'; ME I:567 elkas, al̃kas '(heiliger) Hain'","ę̀lks 'der Götze, der Abgott'; ęlka kalns, ęlka dievs `Tempelberg, Tempelgott'; { ON Elkazeme etc. }","Alkayne, Alkanasoyte (ON)",""
    34,"*al-u n.","beer",    70,"","alù-s `Bier'","alus `das Bier'","alu n. `Met' V. 392",""
    35,"*ald-ĳ-ā̂ f.","boot",    72,"","{ aldĳà, eldĳà f. 'Flusskahn'}","","",""
    36,"*al̃p- vb., *al̃p-na- adj., *al̃p-ā̂ f., *el̂p-ā̂ f. (1), *al̂p-iā̃ f. (1)","weak, insensible",    74,"","al̃pti `das Bewusstsein verlieren, ohnmächtig werden'; al̃pna- `schwach'","àlpa\H2\h 'das Luftschöpfen', ęl̃pa (Wolm. usw.), el̃pe (U.), elpis (U., Blieden) 'der Atem, das Luftschöpfen, der Luftzug; die Beihilfe, das Viehfutter, die Wurze, die Zutaten zur Speise'","",""
    76,"*blus-ā̂ f.","flea",    76,"","blusà `Floh'","blusa 'der Floh'","Bluskaym ON (cf. Lith Bluskaimiai) }",""
