NUMBER|PROTO|MEANING|PRNUM|GOT|ONORD|NORW|OSWED|SWED|ODAN|DAN|OENGL|MENGL|ENGL|OFRIS|EASTFRIS|OSAX|MDUTCH|DUTCH|OLFRANK|MLG|LG|OHG|MHG|HG|NOTES
1|*aira-, comp. adv. *airiaz, adj. *airiza-n; superl. *airista-; aira-n n.|early, -ier|1|air adv. `early', comp. airis adv. `früher', comp. *airiza adj. `older'|adv. ār `früh', comp. ǟr `früher'; ār-r `frühzeitig', ār n. `Anfang'|adv. ɔr `früh'|||||ǟra adj. `earlier, former'; ǟr, comp. m. ǟra, ǟrra, f., n. ǟre, ǟrre, sup. ǟrest adj. `early, former, preceding, ancient'; ǟr, ēra, sup. ǟrost, -est, ǟrst `ere, before, sooner, earlier, formerly, already, some time ago, lately, just now, till, until', ǟr conj. `ere, before that', prp. `before'||ere|ēr `früher'; ērra, ārra `elderly person, ancestor'; ērost, ērist, ērst, ārist, ārst||ēr `früher', ērist `first'|eer, ēre `früher'; eerre; eerst, ērst, ierst|eer; eerder; eerst|ONFrank ēr|ēr `früher';  ēre(r)||ēr (8. Jh) `früher, einst, eher'; ēriro (um 800), ērro `elderly person, ancestor'; ērist `first'|ē, ēr 'früher, vormals; eher, lieber'; comp. ērer, ērre, ërre 'früher, vorig'|eher, ehe; erst|
2|*aiza-n; *ī́sarna-, *īzarna-; *aizuga-z|ore, copper, iron|5|aiz n. `money metal'; *īsarn n. (a) `iron'|eir n. `Erz, Kupfer';  ēarn, īarn (älter), jārn n. (2)|eir (1); 3) jarn (2); eir, erj (4)|ēr (1)|järn (2); ärg (3)|eer (1)|jern (2); ir, irr (4)|äs, -äris n. `Brass'; ǟr,-es n. `brass', ār, -es n. `ore, brass, copper' `Erz'; īsern,-es n. `iron, an instrument or weapon made of iron'; īsen, -es n. `iron, steel, an implement made of iron'; īren, -es n. `iron, an iron weapon, a sword, blade'||ore, iron|īsern, īrsen (2)||ēr (1);  īsarn, īsan (2)|eer (1); īsen, īser (2)|ĳzer n.||ēr(e) `Erz'; īsern, īsen (2)||ēr (8. Jh.) `Erz'; īsarn, īsan (8. Jh.) (2)|ēr st. n. 'erz, eisen'; īsen st. n. 'eisen als metall; waffe, rüstung, pflugschar, hufeisen usw.'; īsern, īser st. n. 'eisen, bes. das verarbeitete eisen, eiserne waffe, rüstung'||2, 3 - Lehnw. aus dem Keltischen (nicht Irl.)
3|*aibra-; *aibra-n; *aibrī|sharp, bitter, vehement, dire|6||||||||āfor adj. `vehement, dire, hateful, rough, austere'|||||||||||eibar, eivar 'scharf, bitter, widerwärtig, heftig' (8.Jh.); eivar n. `Bitteres, Erbitterung' (um 1000); eivarī f. `Bitterkeit, Erbitterung' (um 1000)||Eifer m.; nsächs., fachsprächl. eifer 'bitter, scharf'|
4|*aiwi-z (/*aiwa-z); *aiwi-; *aiwō-; adv. *aiwi-n; *aiwīn|eternity, life-time, always|7|*aiw-s m. (a/i) `time, eternity'; ni... aiw `never'|ǟvi f. `Ewigkeit, Lebenszeit'; ǟ, ei, ey, öy `immer'|äva `Ewigkeit, Lebenszeit'|ē `immer'|dial. äva `Ewigkeit, Lebenszeit'|||ǟ indecl. `life'; ā adv. `always, ever, for ever', nā, nō `no, not'||aye, ever; no|ēwe f. `eeuwigheid'||ēwan-dag `eeuwigheid', ēwig `eeuwig', ēo `immer'|ēwe, ee m., f. `tĳdperk, eeuwigheid'|eeuw f.||ēwe `wigkeit'||ēwī st. f., ēwa st./wk. f. `Ewigkeit' (9. Jh.); īo `immer', nīo `nie'|ēwe, ē st. f. 'endlos lange zeit, ewigkeit; altherkömmliches gewohnheitsrecht, recht, gesetz'|je, nie|
5|*aiwiskia-n; *aiwisk=|dishonour, shame|9|aiwiski n. (ja) `shame'; un-aiwisk-s `without shame'|||||||ǟwisc, -e f. `a dishonour, disgrece, offence'; ǟwisc adj. `disgraced, ashamed, abashed', ǟwiscnys, -ness, -e f. `disgrace, obscenity, filthiness, ablushing for shame, reverence'||||||||||eisk, aisch `fürchterlich, ekelhaft, garstig'||eisch 'hässlich, abscheulich'||
6|*inkēn; *inka- adj.|ache, regret|11||ekki m. `Schmerz, Kummer'|ekkje `Mangel, Schade'|||||inca, -an m. `doubt, question, cause of complaint, offence, ill-will, fear'||inkle|jinc `erzürnt'|||||||||||
7|*aiziō; *aizōn-, *aizēn- vb.; *aistan- vb.|respect, honour|13|*aistan wk. `fear, respect'|eir f. `Gnade, Milde, Hilfe'; Eir Name einer Göttin (der Heilkunde), eira||||||ār, -e f. `honour, glory, rank, dignity, magnificence, respect, reverence; kindness, favour, mercy, pity; property, posessions, an estate, land, ecclesiastical living, benefice'|||ēre `eer, verering'||ēra `eer, bescherming, genade, gave', ēron|ēre, ēr `eer, aanzien, eergevoel, deugd', ēren|eer f.|ONFrank ēra `coronam', unēra `ignominiam'|ēre `Ehre'||ēra (8. Jh.) `Ansehen, Wertschätzung, Berühmtheit, Würde, Zierde, Ehrfurcht, Verehrung', ērōn, ērēn|ēre st. f. `Ehererbietung, Zierde, Ansehen, Ruhm, Sieg, Herrschaft, Ehrgefüll, ehrenhaftes Benehmen'|Ehre f.|
8|*auϑi-|desert, empty|14|*auϑī-s ~ *auϑ-s `desert, desolate'; auϑida `desert'|auδ-r `öde'; NGerm > Finn autia|aud `öde'|||||īϑe adj. `easy, pleasant'|||||ōthi `öde'||||||ōdi  (um 1000) `leer, verlassen'|ȫde `leer, öde, unbebaut, unbewohnt; leicht, gering; eitel, schwach u. dgl.'|öde|
9|*áusō/*auzṓ n.; *auziá-n|ear|15|ausō n. (n) `ear'|eyra n.|||öra `Ohr; Öhr, Henkel'||öre|ēare, -an n., pl. -an `the ear of man or an animal'||ear|āre||ōra|ōre n., f.|oor n.|ōra|ōr||ōra (8. Jh.); ōri (um 1000) `ohrartige Öffnung, längliches Loch am oberen Ende der Nähnadel, durch das der Faden zu ziehen ist'|ōr(e) wk./st. n. 'ohr (bei menschen und tieren); etwas ohrähnliches'; ȫr(e), ōr(e) st. n. 'ohrartige öffnung woran oder worin: nadelöhr; loch in der axt zum einsetzen des stieles; henkelloch, henkel, handhabe'|Ohr, Öhr|
10|*awōn; *awēn; *awun-xaim=|grandmother, -father, oncle|16|*awō f. (n) `grandmother'|āi m. `Urgrossvater' (eig. `Stammvater'); afi m. `Grossvater'||||||ēam, -es m. `uncle chiefly on the mother's side'||eam|ēm||ēam|oom `oom; grootvader, zwager'|oom m.||ōm `Mutterbruder, Onkel, Schwestersohn, Neffe; Grossvater, Schwager',||ōheim (9. Jh.)|ōheim, ȫheim st. m., -e wk. m. `Mutterbruder, Oheim; Schwestersohn, Neffe, Verwandter'|Oheim, Ohm|
