"NUMBER","PROTO","PRNUM","MEANING","RUSMEAN","REFERNUM","HITT","IND","AVEST","IRAN","ARM","GREEK","SLAV","SLAVNUM","BALT","BALTNUM","GERM","GERMNUM","LAT","ITAL","CELT","ALB","TOKH","REFER","COMMENT"
   1,"*ay-er/n-", 721,"morning","утро",  31,"","Khow. yor 'sun'","ayarə, gen. ayąn n. 'Tag'","","","ǟ̂ri `früh', , ǟério- `früh, morgendlich'; nebelig'; ā́risto-n n. `Frühstück'","",     0,"",     0,"*air-a-, comp. adv. *air-iaz, adj. *air-iz-a-n; superl. *air-ist-a-; air-a-n n.",     1,"","","","","","WP I 2 f",""
   2,"*ein-", 669,"deer, roe","скот (олень, косуля)", 454,"","eṇa- m., eṇī́ f. `a sp. of deer or antelope (described as black with beautiful eyes and short legs')","","","","ínno-s m. `(junger) Maulesel' (with a var. gínno-s)","",     0,"",     0,"",     0,"īnuleu-s, -ī m. (auch hī̆nuleus) `junger Hirsch- od. Rehbock', hinnulus m. `männliches Hirschkalb', hinnula f. `junge Hindin'","","","","","WP I 3, 160",""
   3,"*Ayək'-",1296,"clear, light","ясный, светлый",  44,"","yáśas- n. `beautiful appearance, beauty, splendour, worth'","","","","","*ēsъ `splendour', *ēsnъ(ji), *ēskrāvъ(jь), *ēskā etc. *jьskrā", 18199,"*aîč-k-u- adj., *ī̂č-k-u- adj., *ič-k-ja- adj., *aîč-k-t-u- adj., *aĩč-k-t-iā̃ f.",     1,"",     0,"","","","","","WP I 2",""
   4,"*Ait-",   0,"deer, ram","скот (олень/баран)",   0,"","éta- m., étā f. `a k. of deer or antelope'","","","","","",     0,"*ãit-ā f.",     2,"",     0,"","","","","","WP I 3",""
   5,"*ayes-",   0,"metal, ore (copper, magnetic)","металл, руда (медная, железная)",  40,"","áyas- n. `iron, metal'","ayaŋh- n. 'Metall, Eisen'","","","","",     0,"",     0,"*aiz-a- n.; *ī́sarn-a-, *īzarn-a- n.; *aiz-ug-a-z m.",     2,"aes, gen. aeris n. `Erz, Bronze, Kupfer, Geld'","Umbr ahesnes `aenis'","*īsarno-: Gaul pl.Isarnodori gl. `ferrei ostii'; Isarnum; OIr iarnn; OBret Iserninus (Männername); Cymr hayarn, Corn hoern","","","WP I 4",""
   6,"*Aibh-er-",   0,"astringent","терпкий",  27,"","","","","","","",     0,"*aib-r-um-a- c.",     3,"*aib-ra- adj.; *aib-ra- n., *aibr-ī f.",     3,"","","","","","WP I 6",""
   7,"*aiw-", 162,"lifetime","срок жизни, век",  46,"","āyú, loc. āyuni, instr. āyunā  n. `life', āyú- mfn. 'living'; ā́yus- n. `life, vital power, duration of life'","āyu 'Dauer, Lebensalter'","","","*acc. ai̯ō̂ `immer', loc. ion. poet. ai̯éi̯, att., hom. āéi̯, kypr., lokr., phok. aiwéi̯ `immer'; dor. ai̯és `immer', {tarent. ai̯ā́ immer}; ai̯ṓn, -ō̂nos m./f. `Leben(szeit), Zeit(dauer), lange Zeit, Ewigkeit', ep., poet. ai̯én `immer'; ion. ai̯í immer, aeol. ái(n), ái̯i(n), {thess. áin `immer'}; kypr. üwaís `für immer', dǟ́n-ai̯o-s `lange lebend, lange dauernd'","",     0,"",     0,"*aiw-i-z (/*aiw-a-z); *aiw-i-; *aiw-ō-; adv. *aiwi-n; *aiw-īn- f.",     4,"aevus, -ī m., aevum n. `Lebenszeit, lange Zeit, Ewigkeit'","","","","","Buck 13, WP I 6 f",""
   8,"*aikʷ-",   0,"flat","ровный",   0,"","","","","","","",     0,"*aik-š-t-iā̃ f., *aik-š-t-u- adj.",     4,"",     0,"aequus, -a `eben, ausgeglichen; geeignet, passend; billig, gerecht, gewogen'; aequor, -ōris n. `Ebene', poet. `Meer'","","","","","WP I 7",""
   9,"*aigʷh-es-",   0,"shame","стыд",  36,"","","","","","âi̯skhos n. `Schande, Hässlichkeit', pl. `Schandreden, -taten'; ai̯skhró- `Schändlich, hässlich' , ai̯skhǘnō `beschimpfen, hässlich machen'","",     0,"",     0,"*aiw-is-k-ia- n.; *aiw-is-k=",     5,"","","","","","WP I 7",""
  10,"*aig'-",   0,"goat","скот (коза)",  32,"","eḍa- m., eḍaka- m. `a k. of sheep'","izaēna- (~ ī-) `aus Leder'","","ayc `Ziege'","âi̯k-s, gen. ai̯gós f. `Ziege', m. `Ziegenbock'","",     0,"",     0,"",     0,"","","","","","WP I 8 f",""
  11,"*yeng'-",   0,"illness","болезнь",  33,"","yákṣma-, -man- m. `sickness, consumption'","","","","","*ję̄gā/*ję̄ʒā", 18060,"*in̂g-ia-, *in̂g- (2) vb. intr., *in̂g-ia- adj., *in̂g-n-a- (2) adj.",     0,"*ink-an- m.; *ink-a- adj.",     6,"","","","íδɛtɛ bitter, iδɛrím, geg. iδɛním Bitterkeit, Zorn, Aerger, Trauer","","WP I 9 f",""
  12,"*air-",   0,"a k. of herbaceous plant (cockle?)","растение (вид травянистого раст. - куколь?)",  41,"","erakā `a k. of grass of emollient and diluent properties'","","","","âi̯ră f. `Unkraut im Weizen, Lolch'","",     0,"",     0,"",     0,"","","","","","WP I 12",""
  13,"*ais-, *aiz-d- <PIH *isHo-s>",1142,"to honour, to revere; respect","почитать; почтение",  43,"isha- c. Herr ( = Lat. erus) (Tischler 372 ff.; but Pal. washu-lla-, Luw. washa- etc. are rather < Hatt. washa-p/w)","īḍ- (ī́ṭṭe, pf. īḍé) `to implore, request; to praise'","","","","ái̯domai (ái̯deo, ai̯dómenos, ái̯deto), ai̯déomai `sich scheuen, verehren', ai̯dṓs f. `Ehrfurcht, Scheu'","",     0,"",     0,"*aiz-iō f.; *aiz-ō-, *aiz-ē- vb.; *aist-a- vb.",     7,"","Osk pl. abl. aisusis 'sacrificiis', Marnuc pl. dat. aisos 'dis', Paelign pl. dat. aisis 'dis', Volsc esaristrom 'sacrificium'; Umbr erus 'dis', esono- 'divinus, sacer'","","","","WP I 13",""
  14,"*aut-",   0,"empty, lonely","одинокий, пустой", 130,"","","","","","au̯tó- `selbst; derselbe, der nämliche', áu̯tōs `gerade so, für sich allein, lediglich'; áu̯sio-  `eitel, vergeblich'","",     0,"",     0,"*auϑ-ia- adj.",     8,"","","","","","WP I 14",""
  15,"*ous-", 852,"ear","ухо",1438,"","","du. uši 'die beiden Ohren'","NPers hoš 'Ohr' (< *aus-)","unkn, gen. unkan `Ohr'","ion., att., hom. ôu̯s, Theocr., hell. ō̂s, gen. ep., poet. óu̯at-os, ion., att. ōtós  { pl. ṓwata (Alkman) }, aû̯s (Paul. Fest.), pl. ā̂ta  [cod. áta ] (Tarant.) (Hes.) `Ohr; Henkel', pl. *ōwíd-es (ōbídes = enōtía) (Hes.), amph-ō̂es `zweiörig, -henkelig'; ? aánthā `a k. of earrings' (Hes.); enṓi̯dio-n n. `Ohrenhänge', enṓtion (Delos) `id.'","*ūxo, gen. *ūšese, du. *ūšī", 15144,"*aũs-i-",     0,"*áus-an-/*auz-án- n.; *auz-ia- n.",     9,"auris, -is f. `Ohr'; aus-cultāre `horchen, lauschen, hören aufmerksam zu, gehorchen'","","OIr au, ō 'Ohr' (neutr. es-St.)","","","WP I 18","In view of external comparisons (meaning basically 'to see, perceive') one is tempted to include also Hitt. aus-, us-ki- 'to see' - presupposing a semantic shift *'see, perceive' > 'hear' > 'ear' in non-Anatolian IE."
  16,"*aw- <PIH *HauHo-s>", 772,"grandfather; uncle (mother's brother)","дед, дядя (брат матери)", 147,"huhha- c. (Tischler 260ff)","","","","hav, gen. havu `Grossvater'","ái̯ă f. `Erde' (? < `Mutter'), kyren. ái̯ă = hüpò Kürēnáiōn tēthìs kài mâi̯a' (EM 27:24)","*ūjь `Oheim'", 14943,"*aw-a- m., *aw-ā̂ f., *aw-ī̂n-a-",     0,"*aw-ōn- f.; *aw-an- m.; *aw-un xaim-a-z",    10,"avus, -ī m. `Grossvater, Ahn'","","OIr haue, aue `nepos', MIr ōa, ua `nepos'; Cymr ewythr `Oheim', OCorn euitor `Oheim', Bret eontr `Oheim'","","B āwe 'grandfather' (Adams 56)","WP I 20 f",""
  17,"*aukʷ- (-kʷh-)",1143,"oven, cooking pot","сосуд (горшок для варки пищи, печь)", 145,"","ukhá- m., ukhā́ f.  `boiler, caldron, vessel'","","","","ion., att. ipnó-s, {att. (Arst.) ípno-s} m. `Ofen; Küche; Laterne'","",     0,"*auk-š-l-ia- c.",     8,"*úx(w)n-a- m., *u(g)wn-á- m.",  1575,"aulla, aula f. `Topf, Hafen'; dem. auxilla `olla, parvula'","","","","","WP I 24 f","Not here: Prus wumpnis `Backofen' V. 331, umnode `Backhaus'."
  18,"*aug-",   0,"sun-rays; sun-side, south","лучи солнца; солнечная сторона, юг", 142,"","","","","","au̯gǟ́́ f. `Lichtstrahl; Licht, Glanz'","*jū́gъ", 17958,"",     0,"",     0,"","","","agój tage, agume Morgenröte, Morgen","","WP I 25",""
  19,"*aug'h-en-",   0,"back of the head","затылок", 143,"","uṣṇíhā f. 'Genick' (nur  pl.)  (-iha = Greek -ikho/-ā Deminutivsuffix)","","","awǯ 'Kehle', awǯi-k 'Halskragen'","au̯khḗn, -énos m. `Nacken, Hals; Land-, Meerzunge'","",     0,"",     0,"",     0,"","","","","","WP I 25",""
  20,"*aul-o-",1144,"tube, pipe, hollow stem","трубка, дудка, полый стебель", 146,"[ ? hallu- 'tief' (Tischler 135-136) ]","","","","","au̯ló-s m. `Röhre, röhrenartiger Körper, Flote'; ion., att. au̯lṓn m./f. `höhlenartige Gegend, Schlucht, Tal, Graben'","*ūljь, *ūlьjь", 14972,"*aũl-a- m., *aûl-ia- (1) c., *awil-ia- c., *aûl-iā̃ (1) f.",     0,"*iulēn; *aul=; *ulēn",    13,"alvus f. (/m.) `Höhlung, Wölbung, Unterleib, Bauch, Gehäuse des Granatapfels'","","","","B auloñ (n.pl.) 'blood vessels' (Adams 134)","WP I 25 f",""
