NUMBER|PROTO|PRNUM|RUSMEAN|MEANING|GRU|GRMEAN|EGRMEAN|MEG|MGMEAN|EMGMEAN|SVA|SVMEAN|ESVMEAN|LAZ|LZMEAN|ELZMEAN|NOTES
1|*abed-|0|трут|tinder|abed-|||obed-|||haböd-, habed-, hobed-|||obed-|||ЭСКЯ 43. Несомненна связь с ПВК *HVṗitV 'древесный гриб, трут' (см. NCED 615: гунз. bodol, лак. apiṭa, таб. bit), а также с индоевропейскими (субстратными?) формами: лат. betula, слав. *bъdlo, герм. *bilt- 'древесный гриб'.
2|*ac̣-|1207|отныне, теперь|from now on, now|ac̣(i)-|||ac̣(i), anc̣(i)-||||||ac̣i-, anc̣i-|||ЭСКЯ 47. Климов (ibid.) отмечает сходство основы с СК материалом: ПСК *h[ä]nV 'теперь, сейчас' (см. NCED 487, часто с аффрикатными суффиксами: нах. *hin-ca / *hin-ʒa, гунз. hinčo-d etc.). Если носовой в занском исходен (т. е. в ПК реконструируется *anc̣-), можно думать о заимствовании в картвельском из СК источника.
3|*adr-|485|рано|early|adr-e|||ordo-|утро|morning||||odro-, ordo-|рано, скоро|early, soon|ЭСКЯ 43-44, EWK 31-32. Скорее следует восстанавливать *ard- (с соотношением согласных в сочетании, как в *kra- > груз. rka, чан. kra- "рог"). Ностр.: алт. *ērE 'рано', ПИЕ ... (см. МССНЯ 359: картв.-алт.).
4|*anć̣l-|0|бузина|elder tree|anc̣l-i|||inč̣ir-i, inč̣ər-i|||gänč̣w-|||inč̣ir-i|||ЭСКЯ 44, EWK 35. Ближайшая параллель - абх. a-mc̣ər-bʁ́ə 'бузина' (-bʁ́ə 'лист'); Климов (1969, 290) считает абх. и картв. слова исконно родственными, но, по всей видимости, абхазская форма просто заимствована из мегрельского. Интересно отметить сходство основы с ПСК *ʔăjʒăłʔV 'рябина, кизил' (NCED 200: по устному сообщению С. Старостина, не исключена и реконструкция *ʔănʒăłʔV ввиду назализации в ПЦ *ʔãsa), откуда, по мнению того же автора, заимствовано ПИЕ *edhl- 'бузина; можжевельник, ель' (см. Старостин 1988, 126).
5|*anḳes-|0|рыболовный крючок, удочка|angle, fishing pole|anḳes-|||anḳes-|||anḳēs-|||anḳes-|||См. Климов 1994, 170-171, где предполагается заимствование из ПИЕ *ankos- 'изгиб, крючок'.
6|*aq̇ar-|0|тыква (бутылочная)|gourd|q̇arq̇ara-|род посуды для питья|a k. of vessel|q̇oq̇ore|вид тыквы|a k. of gourd|haq̇är, aq̇ar|тыква, череп|gourd, skull|q̇oq̇ore|вид тыквы|a k. of gourd|ЭСКЯ 46, EWK 408 (с реконструкцией *q̇ar- и предположением о редупликации).  Климов (ibid.) приводит др.-груз. форму aq̇iro- (из aq̇ero-), хотя Фенрих пишет,  что слово "in den altgeorg. Texten nicht belegbar". ПК реконструкция не вполне  ясна: возможно, следует скорее предполагать форму типа *aq̇arq̇a ~ *aq̇aq̇ara, что  позволило бы увязать основу с урарт. aqarqə "мера емкости", которую  Дьяконов-Старостин (1986, 58) соотносят с ПВК *q̇wVrq̲̇V "вид сосуда" (NCED 942:  лак. q:uq:u, чеч. pħēʁa). Климов (ЭСКЯ ibid.) отмечает сходство с лат.  cucurbita 'тыква', вполне вероятно относящимся сюда же как слово субстратного  ("средиземноморского") происхождения.
7|*arčw-|315|серна|chamois|arčw|тур|mountain goat|erckem, erskem|тур|mountain goat|jersḳän, jersḳen, jersḳn ( < Megr.?)|серна|chamois||||ЭСКЯ 45, EWK 36.
8|*ark- ?|0|крутить|to spin|||||||||||||
9|*arwa-|0|восемь|eight|rva|||(b)ruo|||ara|||ovro|||ЭСКЯ 144, EWK 35-36. Сопоставляется Климовым (1967, 308-309; 1975, 163) с семит. *arba- "четыре" (на правах заимствования из семит.).
10|*arʒ́-|0|кривой, сгорбленный|crooked, bow-backed|gul-arʒ-n-ili (др.-груз. gularʒnili)||||||rǯ- (ɣu-rǯ-än-i-ēl)||||||EWK 37.
11|*asuź-|0|дочь|daughter|asul-|дочь|daughter|osur- 'wife', osurskua 'daughter'|||asuš, hasuš, aswiš|дочь|daughter|osur-|дочь|daughter|ЭСКЯ 46, EWK 38. Слово имеет как СК (ПСК *s̲wēsə 'невеста, невестка, жена', см. NCED 969), так и ИЕ (ПИЕ *swesor- 'сестра') параллели. В картвельском, ввиду начального a-, не исключено заимствование из зап.-кавк. (ср. формы типа убых. a-śasa с префигированным артиклем).
12|*aś-|0|сто|hundred|as-|||oš-|||aš-īr, äš-ir|||oš-|||ЭСКЯ 45, EWK 38-39. Основа давно сопоставляется с соответствующим СК корнем (ПСК *Hlŏšwĕ, см. NCED  587-588), см. ЭСКЯ ibid. с литературой. Непосредственное сопоставление реконструированных основ,  однако, наталкивается на фонетические трудности. Возможно, как и в случае с *asuź-, следует думать  о заимствовании в картвельском из ПЗК формы с префигированным артиклем *a-š́ʷV (ср. формы типа убых.  a-šʷa). С другой стороны, есть мнение о заимствовании ПК *aś- 'сто' < сем. *ʕaŝr- 'десять' (см. Климов 1967).
13|*a(ś)t-|0|десять|ten|at-|||vit-|||ješd, ješṭ|||vit-|||ЭСКЯ 45, EWK 32. Несмотря на попытку объяснения в EWK, занский анлаут остается   неясным. Реально необходимо восстанавливать две формы: *a(ś)t- > груз. at-   (возможно, также сван. ješd) и *wi(ś)t- > мегр., чан. vit-. Наиболее вероятно   заимствование ПК основы (основ) из ПСК *ʡĕnc̣Ĕ "десять" (см. NCED 245-246),   причем формы с *w- хорошо засвидетельствованы (ср. арч. wic̣, дарг. wec̣al etc.)   и представляют собой образование с классным префиксом *u-. Непосредственным   источником картвельских форм могла быть форма типа ранне-нахского *u-i(s)ṭ >  *u-iṭṭ (ПН, с регулярной утратой u-, *ʔiṭṭ), где сочетание -ṭṭ- отражает ПВК   *-nc̣- (повидимому, через промежуточную ступень типа -sṭ-). Сопоставление  картвельского и СК материала давно фигурирует в литературе (см. ЭСКЯ ibid., с  литературой).
14|*b-|521|пpивязывать|to tie|b-|пpивязывать|to tie|b-|пpивязывать|to tie|b-|пpивязывать|to tie|b-, mb-|пpивязывать|to tie|ЭСКЯ 47, EKW 39-40. Ностр.: алт. *bā 'привязывать' (см. ОСНЯ 1, 172). Сравнение с СК формами, обозначающими 'шить' (ПСК *=ĭrbĔ, см. NCED 648-649), предлагаемое Лафоном (см. ЭСКЯ ibid.) вряд ли оправдано как семантически, так и фонетически.
15|*b-|1483|лить|to pour||||b-|||b-, bb-|||b-|||ЭСКЯ 47, EWK 40. Ввиду частого семантического соотношения "лить" : "пить" интересно сопоставить с ПИЕ *pō(i)- "пить" < ностр. *poʔi. Отметим интересный параллелизм сванской редуплицированной основы bb- / bib- и ПИЕ редупликации *pi-be- "пить".
16|*bRc̣amL|0|гранат (мелкий)|small pomegranate|brc̣aml-|гранат (мелкий)|small pomegranate|burc̣umel-||||||ṗurc̣umol, ṗurc̣umbol-|||EWK 65. Интересны имеретинская и лечхумская формы ḳurc̣umela, q̇urc̣umela. Наряду  с вариантом burc̣umela они считаются заимствованными из мегрельского (см. EWK  ibid.), однако начальный велярный в них необъясним. Не исключено, что вариант  ḳurc̣umela отражает архаичную мегрельскую форму *ḳurc̣umel- < ПК *ḳRc̣amL-, а в  груз. и сван. налицо вторичная ассимиляция *ḳRc̣amL- > *ṗRc̣amL- / *bRc̣amL-. Если  форма *ḳRc̣amL- действительно исходна, ее интересно сопоставить с СК формами:  ПСК *ḵurmäśV / *ḵurmäʒ́V "вид фрукта (персик, айва)" (NCED 700). Заметим,  что ряд языков имеет сходный с картвельским порядок сонорных: ср. агул. kuržam  "айва". Сходная основа налицо также в ИЕ *kermus- (/*ḱermus-) "назв. пахучего  растения" (черемуха, рябина; черемша), см. сравнение с СК материалом в  Старостин 1988, 121.
17|*brč̣al-|166|пятка|heel|brč̣al-||||||||||||В МССHЯ 342 основа сравнивается с ПИЕ *pers- 'пятка, бедро', урал. *per[s]V 'tergum'.
18|*bRdɣwin-|0|рычать, ворчать|to growl, roar|brdɣwin-|рычать, сердиться|to roar, get angry|burdɣin-|рычать, бормотать|to roar, murmur|bərdɣən- (?)|трепетать|to quiver|bundɣin-|ворчать, окрыситься (о кошке)|to growl|ЭСКЯ 54, EWK 61-62.
19|*bRge|76|рослый, крепкий|tall, sturdy|brge|рослый, статный|tall, sturdy||||bəgi|крепкий|sturdy||||EWK 60-61. Согласно Иллич-Свитычу (ОСНЯ 1, 177) восходит к ностр. *berg[i] 'высокий' (ПИЕ *bherǵh-,  самод. *pīr-, драв. *pēṟ). В груз. еще имеется диалектное breg- 'небольшая возвышенность',  возможно, от того же корня; Климов (1994, 173) считает это слово индоевропеизмом (из того же  индоевропейского корня *bherǵh- - хотя конкретный источник неясен).
20|*bab-|0|паук|spider|bab-a-č̣ua, borbal-a, obob-a|||bo(r)bolia|||məɣ-bab-il, opopa, opopäj|паук|spider|bob-o(n)č̣va 'beetle', bombula 'spider'|||EWK 41, 59. Не исключена редупликация основы *b- (см. *b- 'вязать') с различными  нерегулярными преобразованиями (возможна также контаминация с корнем,  представленным в груз. borbal- 'колесо'); к семантике ср. нем. Spinne и др.
21|*baba|0|отец, дед|father, grandfather|babua-|||baba-|||baba-|||baba-|||ЭСКЯ 47. Детское слово.
22|*bac̣-|889|веревка|rope|bac̣ari; bac̣ḳi 'dünner Faden'||||||||||||Долгопольский (1969, 306) сравнивает с ПИЕ *bhasko- 'связка', урал. *pükse 'то, чем связывают', монг. *büči id., драв. *počč- 'увязывать' < ностр. *b[o]ḳsV.
23|*bad-|1218|сеть, паутина|net, cobweb|bad-e||||||bäd, bad|||boda|сеть для сбора фруктов|a k. of net for gathering fruit|Возможно, древнее производное (с пассивным суффиксом -d-, о котором см. ЭСКЯ 67, EWK 96-97) от основы *b- "вязать" [ср., с другой стороны, алт. *but`e 'вязать, плести'?]
24|*bag-|0|загон|paddock|baga|||boga|пол загона|paddock floor|bag|||boga|||ЭСКЯ 48, EWK 41-42. Не вполне ясно, как эта основа соотносится с груз. baḳ- 'загон для скота' (откуда, повидимому, зан. baḳi id., арм. bak id., бежт. bäḳi, гунз. bɔḳi "загон для скота", см. об этих формах в NCED 293, 311, 319), которое может быть связано с ПВК *bVrḳwV 'загон; рама, лестница' (см. NCED 318-319).
25|*bal|0|черешня|merry tree|bal-|черешня|merry tree|bul-|черешня, береза|merry tree, birch tree||||bul|черешня, вишня|merry tree, cherry tree|EWK 42-43, где предполагается заимствование в картвельском для периода груз.-занского единства, однако не указывается источник. Слово распространено по всему Кавказу и является довольно очевидным поздним иранизмом.
26|*bal-|365|лист|leaf|||||||bale||||||В МССHЯ 347 данный корень сравнивается с ПИЕ *bhel- 'лист, цвести', драв. *polV 'цвести,  созревать'.
27|*ban-|1221|мыть(ся)|to wash|ban|мыть(ся)|to wash|bon||||||(m)bon|||ЭСКЯ 48, EWK 43 (EWK, видимо, справедливо отделяет сван. bar-). Иллич-Свитыч (МССНЯ 349) с вопросом  сравнивает основу с драв. *maṇṇ- "мыть"; сравнение (с реконструкцией ностр. *mańV) возможно, если  предположить в картвельском диссимиляцию *ban- < *man- (следует учесть недопустимость в картвельском  корней типа *MVN-). С другой стороны, Бомхард (1996, 222) сравнивает картв. основу с кельт. *bann-  'капля', драв. *paṉ- 'роса, мочить'.
28|*band-|890|связывать, плести|to tie, plait|band-ul- 'boot with woven sole'; bandɣ- 'cobweb'; bandɣ- 'to make a nest'|||bond- 'woven'; bondɣ- 'cobweb'; bondɣ- 'to make a nest'|||bānd- 'to darn' (flicken)||||||EWK 43, 44. Хотя характер конечного -ɣ- в bandɣ- не вполне ясен, основы *band- и *bandɣ- невозможно  разделить. Иллич-Свитыч (ОСНЯ 194), а вслед за ним Климов (1994, 93-94) считает картвельские формы иранизмами, что весьма сомнительно.  Гораздо вероятнее ностратический характер корня *bandV > картв. *band-, и.-е. *bhendh- 'связывать'.
29|*bandal|0|ходить (шатаясь)|to wobble about|bandal-|||bandal-|шататься (о зубах)|to wobble (of teeth)||||bandal-|||ЭСКЯ 49.
30|*baq̇w-|657|ляжка|haunch|baq̇v-|||boq̇v-|||poq̇-||||||Повидимому, ностратическая основа, ср. алт. *biūka 'бок, бедро', и.-e. (слав.  *bokъ etc.) < *bVq̇wV.  Сходные основы имеются и в СК языках (ср. *büg̲a 'бок, поясница', NCED 314; *bŏnq̲̇ō 'спина', NCED  310; Климов 1969, 289 сближает ПАК *baq:ʷə 'место между бедрами, промежуток' - что сомнительно, поскольку адыгская форма (с историческим префиксом) соответствует ПВК *=Hĭq̇wə 'поясница,  середина', см. NCED 577-578), так что не исключено  субстратное взаимодействие.
31|*bar-|120|||bar-|поручать, вверять; приглашать|to confide, consign; to invite||||ad-bar- ( < груз.?)|отдать|to give away||||ОСНЯ 1, 178; основа сравнивается с алт. *biōre 'давать; брать, собирать' (ностр. *be[rH]u).
32|*bar-|0|мыть(ся)|to wash|||||||bar, bär, br|||bor, mbor|||EWK 44. [Проверить слав.: прачка etc.]
33|*barć̣-|0|бесплодная, яловая|sterile|berc̣-|||burč̣-|||||||||ЭСКЯ 49, EWK 46. Одно из несомненных нахских заимствований в пракартвельском (грузинско-занском): ср. ПН *bʡārc̣on 'мул' (чеч., инг. bʕarza, бацб. bʕarc̣õ), регулярно (с развитием bʡ- < *q̇w-) восходящее к ПВК *qwīlc̣ŏmV 'мул' (ср. ав. ʕorc̣én, цез. q̇ʷerc̣ni, лак. wilc̣un и др., см. NCED 938-939). Обратное направление заимствования, повидимому, предположить невозможно.
34|*bard|0|заросли кустарника, терн|bushes, thistle|bard|||burd|||||||||При предположении об исходном значении "палочка" заманчиво сопоставить с ПВК *bVrVdV "палка; топор", которое в NCED 319 объясняется как древний иранизм. Возможно, впрочем, и влияние другого иранского корня, а именно, *varda- 'роза'.
35|*bar-/br|891|уменьшить, убавить|to decrease, diminish|bar-, br-||||||bar-, ber-, br-, bir-||||||EWK 44-45. Ср. алт. *boro 'покидать, терять; выбрасывать' (возможно, также ПИЕ *bher- 'бросать' (WP 2, 165) < ностр. *borV.
36|*barḳ-|0|бедрo, ляжка|thigh, haunch|barḳal|бедро (животного, птицы)|thigh (of animal or bird)|borḳ|нога|leg|barḳä/borḳä|кривоногий|with crooked legs||||ЭСКЯ 49, EWK 45-46. По всей видимости, заимствовано из ПСК *bŏlVḳwŏ 'кость ноги' (NCED 310), о чем см. в ОСНЯ 3, 66.
37|*barʒg-|892|колючки, колючее растение|thorns, thorny plant|barʒg-, baʒg-|||*burʒg- (suggested based on Georgian Gur. burʒg-)|||||||||EWK 46. Ср. ПИЕ *bhrst-. (ср. тж. *burčx-). Видимо = *burʒg(a).
38|*ba(r)ǯ-|0|подпорка, кол|prop, stake|barǯ-|палка (раздвоенная)|bifurcated stick|bo(r)ǯg-|подпорка, кол|prop, stake||||boǯg-|дерево (ветвистое)|branchy tree|EWK 47. Основа возводится к ПК *beǯ/*bǯ `опираться', хотя вставка -r- не объяснена. Не исключена контаминация на картвельской почве исконной основы *beǯ- "опираться" с заимствованной, обозначавшей ветвистое дерево или палку: ср. ПВК *burVźV (чеч. bursa 'вид кустарника', дарг. biriz 'тополь', таб. buruzu 'палка, кол') (NCED 313); сама ета основа считается заимствованной из иранского источника (ср. шугн. bəruǯ, осет. bärz(ä) 'береза', см. NCED ibid.).
39|*bec-|0|красться|to creep up|bec-|||bac-|||||||||Сходный глагол со значением "красть, прятать" налицо в СК языках: ср. ПЦ *-ũc- (с КП *b-ũc-), ПЗК *ʒ́V- (с лабиальным префиксом: каб. bzə-, уб. wəćə-), см. NCED 1011 (*=unʒ̲Ĕ). Не исключено поэтому заимствование из СК источника.
40|*beč̣- / bič̣-|575|разламывать, крошить|to mince, crumble|bič̣-||||||beč̣ḳw-, bič̣ḳw-, bäč̣ḳw-||||||ЭСКЯ 52, EWK 54. В ОСНЯ 1, 179 корень возводится к ностр. *bič̣V (ср. ПИЕ *peis-, драв. *pīc-; ср.  также алт. *piuča id.). Драв.-картв. сравнение см. также в Бомхард 1996, 226.
