NUMBER|PROTO|PRNUM|MEANING|AVA|AVC|AND|AKV|CHM|TND|KRT|BTL|BGV|GDB|COMMENT
1|*buƛ̣V (~ *biƛ̣ʷV)|52|1 head 2 horn|beṭér 1|beṭer 1|||||buƛ̣a 2||||    Av. paradigm B ( \Iboṭró-l,\i \Ibuṭrú-l;\i Chad. \Iboṭró-l,\i \Iboṭró-l\i). Cf. also Kar. Anch. \Ibulʔa,\i Chab. \Ibuṭa\i "horn".
2|*minʔa-r|476|head|||mĳar|mina||minar (Akn.)|minar (Anch., Tok.)||||    Cf. also And. (Gudava) \Imĩjari,\i Akhv. Tseg. \Imirar,\i Ratl. \Imilar.\i
3|*q̇ʷoni|205|1 head 2 horn|||Gʷon 2||un 1|ʔʷani 1|ʕon 2 (Tok)||un 1|wani 1|
4|*ħarHi|34|eye|ber|ber|harḳu|ḳeha|hač̣a|haḳ́a|harḳa|haj|hač̣a|haj|    Av. paradigm A ( \Ibér-zul,\i \Ibúr-dul\i); cf. also the locative stem \Ibá-di.\i Within Andian some forms (Botl., God.; cf. also Cham. Gig. \Ihaj\i) go back to the simple root \I*harHi,\i but most forms reflect the diminutive derivate \I*har(Hi)-ḳV.\i In Akhvakh there occurred a metathesis: \Iḳeha\i < \I*heḳa\i < \I*harHi-ḳV.\i
5|*ꭓ:ʷ[i]m(V)ꭓV|477|1 muzzle; palate  2 nose  3 face|ꭓ:ʷenéꭓ 1|ꭓumuꭓ 2||ꭓ:amaꭓ:ul 3|ꭓunꭓu 3 (Gig.)||||||    Av. gen. \Iꭓ:ʷenꭓí-l\i (Chad. \Iꭓumꭓí-l,\i \Iꭓúmꭓa-l\i). The Akhv. form belongs to the Ratl. dialect. Cf. also Av. Gid. \Iꭓ:umaꭓ:\i 'face'. Some phonetic irregularities are explained both by the expressive nature of the stem and by assimilations of weak/intensive spirants.
6|*mihar|75|nose|meʕér||mahar|miʕa|maj|mĳar|miʕar|miʕar|miʕar|mihar|    Av. paradigm C (\Imuʕrú-l,\i \Imúʕru-l\i). Cf. also Akhv. Ratl. \Imiʔar\i "nostril", Bagv. Tlond. \Imeʕel,\i And. dial. (Leksika) \Imihar,\i Cham. Gig. \Imara\i etc. In Akhv. besides \Imiʕa\i 'nose' we have \Imiʕi\i 'beak' - obviously related, but the suffixation is not clear.
7|*ħandi|30|ear|ʕin|ʕin|hanṭiḳa|hãde|anna|hanḳ́iṭa|hanṭiḳa|hanṭuḳa|haḳ́iṭa||    Av. paradigm A (\Iʕín-zul,\i \Iʕún-dul;\i Chad. \Iʕín-dul,\i \Iʕína-l\i). In PA we have a suffixed form \I*ħan-di\i (reflected directly in Akhv. and Cham.); other languages, however, reflect the further diminutive suffixation \I*ħandi-ḳa\i (cf. Kar. Tok. \Ihandiḳ́a\i) with assimilation *-d- > -ṭ- in most languages.     With  a privative suffix the root is present in a derivate \I*ħan-q̇:V-\i / \I*ħandi-q̇:V-\i 'deaf': Av. \Iʕínq̇:a-,\i Chad. \Iʕínq̇:a-,\i Cham. Gig. \Ihãq̇:u-l,\i Akhv. \Ihãdeloq̇:e-,\i Tind. \Ihandiq̇:u-.\i Av. > Bezht. Tlad., Gunz. \Iʕenq̇ab,\i Bezht. Khosh. \Ienq̇ab,\i perhaps also Arch. \IeInk-du\i (although the Archi velar is rather strange).     Finally, the same root is present in the compound Av. \Iʕen-ék:-\i = And. \Ian-č:i-,\i Tind. \Ian-ix́:-\i 'to listen' ("ear" + "catch, hold"; Cham. Gig. \Iʕenax-id-\i id. should be rather considered as borrowed from Avar, as well as Bezht. Tlad. \Iʕenekzi =aq-\i id.).
8|*ḳʷilV|469|1 mouth  2 neck, throat 3 hole|ḳal 1|ḳal 1|ḳol 1,3|ḳoli 2|||||||    Av. paradigm A (\Iḳál-zul,\i \Iḳála-l;\i but Chad. C: \Iḳalí-l\i ~ \Iḳalá-l,\i \Iḳála-l\i). Cf. also Akhv. Tseg. \Iḳʷela,\i Tlan. \Iḳela\i "neck".
9|*q̇ili|478|mouth||||q̇eli|el-miṣ|eli (Gud.)|eli|ʁeli|el||
10|*s:unḳV|789|1 mouth 2 muzzle|||(?) s:unṭul 2|||s:unḳ́a 1|||||    The And. form may belong here if it comes from \I*s:unḳ-ṭul\i (but the nature of the second component is not clear).
11|*mic̣:i|102|tongue|mac̣:|mac̣|mic̣:i|mic̣:i|miṣ|mic:i|mac̣:i|mic̣:i|mic̣:|mic:i|    Av. paradigm C (\Imac̣:álzul/mac̣:í-l,\i \Imác̣:a-l\i). Not quite clear is the -a- vowel in Kar. (cf. also Masht., Chab. \Imarc̣:i\i - with preservation of the old Inlaut resonant?).
12|*colu|104|tooth|ca|ši-bi|sol|čilo|salʷ|salu|sale|salu|salu||    Av. paradigm B (pl. \Ica-bí\i). The vowel -i- in Akhv. is irregular. We should also note the anomalous form Cham. Gig. \Isuj\i (pl. \Isu-bi\i) which could suggest a PA form \I*colHV\i with an archaic cluster.
