NUMBER|PROTO|PRNUM|MEANING|ABK|ABA|ADG|KAB|UBK|COMMENT
1|*zV|2314|1 one 2 once|z-nǝ 2|za-kˀǝ 1|zǝ 1|zǝ 1|za 1|   PAT \I*zV;\i PAK \I*zǝ\i.
2|*pǝsA|292|soul,  spirit|a-psǝˊ|psǝ|psa|psa|psa|    Cf. also Bz. \Ia-psǝˊ,\i Ub. def. \Ia-psaˊ.\i In PAK the derivate adjective \I*psaˊ-wǝ\i 'alive, healthy' had acquired also the meaning 'whole, all' (see Шагиров 2, 14), although later these  meanings became phonetically slightly differentiated - probably due to different syntactic accentuation (Ad. \Ipsaw\i 'alive', \Ipsāw\i 'whole', \Ipstaw\i 'all' /with a not quite clear -t-/, Kab. \Ipsaw\i 'alive', \Ipsow\i 'whole', \Ipso\i 'all').
3|*tq:ʷa ( ~ r-, l-)|527|1 ashes 2 grey (hair)|aˊ-χʷa 1,2|qʷa 1|tχʷa 2|tχʷa 2|tχʷa 1|    Cf. also Bzyb. \Iaˊ-χʷa;\i Ad., Kab. \Itχʷǝ-n\i (with Ablaut) "become grey (of hair). PAT \I*qʷa,\i PAK \I*tχʷa/*tχʷǝ.\i The cluster *tq:ʷ- may in fact have been *rq:ʷ- or *lq:ʷ- (since the number of clusters in PWC is restricted), which would be a better match for the EC forms.
4|*jaɣˊa|364|ashes|||jāžˊa|jāzˊa||    PAK \I*jažˊaˊ.\i The word has no PAT or Ub. parallels, but reliable correspondences in PEC - thus the inner PAK etymology proposed in Шагиров 1, 169 (ja- - same as in \I*jatˀa\i 'clay, dirt', -žˊa - related to PAK \I*žˊǝ\i 'wind, air') seems less convincing.
5|*cʷa|207|1 skin 2 bark 3 exterior, colour|a-čˇaˊ 1,2|čʷa 1,2|sˇa 1,3|fa 1,3|cʷa 1|    PAT \I*cʷa,\i PAK \I*sʷa.\i In AK and Ub. the root is also used for 'bark', but in compounds (Ad. \Ipχā-sˇa,\i Kab. \Ipχā-fa\i /\Ipχa\i 'tree'/, Ub. \Icʷa-žʷaˊ\i /second component not quite clear/).
6|*mǝgʷA / *mǝkˀʷA|684|belly|aˊ-mgʷa|mgʷa|||nǝkˀʷǝˊ|    PAT \I*mǝgʷa;\i Ub. def. \Ia-nǝˊkˀʷ.\i A complicated case of correspondences between AA and Ub.: we must assume a secondary deglottalisation in PAT (for reasons which are not yet clear) and a dissimilative change *m- > n- before a labiovelar in Ub. (we should note that roots of the type mVKʷV are indeed very rare in Ub.). Comparison of Ub. \Inǝkˀʷǝˊ\i with PAK \I*kˀʷaˊcˀǝ\i 'intestines' (Шагиров 1, 217) is not persuasive.
7|*nǝbIa|685|1 belly 2 lung(s)|||nǝba 1|nǝba 1|nǝˊbIa 2|    Ub. def. \Iaˊ-nǝbIa.\i
8|*dA|686|1 big 2 most, at all 3 much, very|a-duˊ 1|du 1|dad 2|dǝda 2|ja-daˊ 3|    PAT \I*dǝ-wǝ\i (cf. also \I*da-ra\i 'very' > Abkh. \Idāˊra\i /with emphatic vowel length/, Abaz. \Idara\i). PAK \I*dǝˊ-da\i / \I*daˊ-dǝ\i (a reduplicated form).
9|*čʷǝχʷa|5|1 big 2 strong|||-šxʷa 1|-šxʷa 1|šχʷa 2|    Seems to be less used in modern Kab. (in Ad. this is the main word for 'big'). PAK \I*čxʷa.\i The AK-Ub. comparison belongs to Dumeˊzil (1932, 95). Klimov (1969, 290) has compared the AK root with Abkh. \Ia-mcχʷ\i 'surplus'; this comparison is, however, justly rejected by Shagirov (2, 61-62) (both for phonetic and semantic reasons).         The precise nature of the initial PWC affricate here is hard to determine, since both in PAK and Ub. the initial clusters of the type 'affricate+fricative' are substantially restricted (in Ub. all affricates change to fricatives in this position; in PAK palatalized/non-palatalized affricates are neutralised before fricatives). Position within a cluster also explains the change of uvular to velar in PAK (no combinations of front affricates + uvular fricatives are allowed).
10|*jǝnǝ|687|big|||jǝnǝ|jǝn||    PAK *jǝnǝˊ. Etymology obscure (relationship to Ub. wa 'long', proposed in Шагиров 1,185 is dubious - since the only two secure cases of n:w correspondence between PAK and Ub. occur after labialised consonants, which is not the case in the present root).
