NUMBER|PROTO|PRNUM|MEANING|NAKH|NAKHNUM|AAND|AANDNUM|CEZ|CEZNUM|LAK|LAKNUM|DARG|DARGNUM|LEZG|LEZGNUM|KHIN|KHINNUM|ABAD|ABADNUM|COMMENT
1|*ḳwĭrV|487|leg bone, leg (of animal)|*ḳurV-m|332||0||0||0||0|*ḳʷir(a)|3||0||0|    Reconstructed for the PEC level. Cf. also HU forms: Hurr. \Iu-krǝ,\i Ur. \Iqurǝ\i 'foot, leg' (see Diakonoff-Starostin 1986, 57).
2|*Hrimq̲̇wV̆|0|ashes, soot||0||0||0|ḳa|305||0|*riq̇I:ʷ|4|zäḳ|1||0|    Reconstructed for the PEC level. Lak. \Iḳa\i ( = \Iḳʷa\i) is a regular reduction < \I*mVḳʷa\i which is a normal structural correspondence for the PL and Khin. forms (the PEC structure *HRVNCV̆). A very similar word is attested in Akhvakh (\Iraq̇ʷa\i 'soot'), but its phonetic structure and the reflex of *q̲̇w is  irregular. Is it possible to think of a loanword (Akhv. < Lezg.)?
3|*gɨ[r]ʒˊwV|0|noodles|*garʒa ( ˜ -ā-,-c̣-)|333||0||0||0||0|*č:uk:ala /*k:uč:ala|5||0||0|    A Nakh-Lezg. isogloss. Since the meaning coincides precisely in Nakh and some Lezg. languages (Bud.), we think that the comparison is valid and the original meaning was 'noodles', or at least some kind of food rising to the surface after boiling; hence the meaning 'sour cream' (usually connected with 'top', 'surface') in Tsakh., and the later development > 'bark' in other Lezg. languages.     The PL form has a suffix *-la; medial *-r- was probably lost as a result of dissimilation.
4|*ƛwɨ̆nʔi(-e)|488|belly, stomach||0|*bVxʷVn|249||0|ku|106|*kʷani|6|*uo-λwɨn / *ro-λwɨn|6||0||0|    Reconstructed for the PEC level. In most languages the root is prefixless, but Av. and some Lezg. languages show traces of old class prefixation (common in PNC for names of body parts).
5|*č̣HǝqwV|489|big||0|*-ič̣uχa (~-q-)|139||0|č̣aI-u-|50|*čaqʷ-|298|*č̣aχV (~-ä-)|7||0|*čʷǝχʷa|9|    In PD and PWC there occurred an assimilative deglottalisation *č̣- > *č-. Some doubts are raised by the Lak. form - regularly \I*č̣aIq-\i would be expected; maybe pharyngealised *qI was lost in clusters with following class markers (real Lak. forms are \Ič̣aIwu-\i 1/3, \Ič̣aIru-\i 2/4 < \I*č̣aIq-bu-,\i \I*č̣aIq-ru-\i ?).         The PA form suggests that this root could have prefixed class markers in PEC; however, they are absent in all other languages (even in Av.) and may be in this case a PA innovation.
6|*ɦăχE|450|big||0||0| *ʔaχ:- (-ʁ-)|233|ha-|114|*ʔaχI-|48|*ʔaχIɨ-|8|iχer|43|*χˊV|278|    Correspondences are regular. The semantic variation ("more"/"enough"/"big" and "good") is also quite plausible.
7|*ɦnɨ̄c̣̲ˊ(w)ĭ|1071|a small bird|*ħāc̣u|9|*Hinč̣:V|43||0||0|*hunuc̣|299|*nɨc̣ʷ(a)|9||0|*c̣ˊǝ|279|    PWC reflects the root with loss of labialisation; otherwise all the correspondences are regular. The root was obviously denoting a small bird in PNC; the shift to "eagle" in PD is a result of development "small bird" > "bird (in general)" (as in some Lezg. languages) > "bird par excellence" = "eagle". In any case the Darg. form is impossible to separate from this root.
8|*ǯăq̇wV|490|a k. of small bird|*ǯaq̇|170|*č̣iq̇ʷa(ra)|227|*č̣eq|39||0||0|*č:aq̇ʷ(a)|10||0||0|    Reconstructed for the PEC level. There are certain phonetic irregularities (assimilation *ǯ- > *č̣- in PA and PC, with following dissimilation \I*č̣eq̇\i > \Ič̣eq\i in Gunz., absence of velarisation *q̇ʷ > ḳ in PA) which must be explained by the expressive nature of the root.
9||0|||0||0||0||0||0|*ḳosʷɨ-|11||0||0|
10|*q̇ăc̣ɨ̆ (~-ŭ)|491|piece; bite, incision||0||0|*q̇ec̣e|397|q̇ac̣|8|*q̇ac̣|12|*q̇ac̣|12||0||0|    Reconstructed for the PEC level. Correspondences are regular.
11|*Hč̣ōlV̄|1332|black|*ʕārč̣i-|12|*-ič̣V(r)-|131||0||0||0|*č̣ulV (~-o-)|13||0||0|    Reconstructed for the PEC level. One of the cases of exceptional preservation of a laryngeal in Av. (in the original *HCVCV structure). Since the stem has no class prefixes in PN, Av. and PL, the PA situation is probably secondary (the expected stem \I*č̣Vr-\i or \I*Hič̣Vr-\i began to have an adjectival inflection).
12|*ḳărV|316|black; coal|*ḳaru|335||0||0|ḳalaš|309||0|*ḳarɨ-|14||0|*ḳǝ|280|    There is a good correspondence between the PN, PL and PAK forms. If we take into account the meaning 'coal' in PN and in the PL compound, this etymology of the Lak. form also becomes rather probable. Lak. ḳalaš must be a modification < *ḳa-š:al < *ḳar-š:al, where the second component is most probably PEC \I*č̲Häɫu\i 'sand, gravel' q.v. (normally reflected in Lak. as \Iš:aIlu\i).         Abdokov (1983, 94) compares the Adygh forms with EC descendants of  \I*ḳ̲wɨ̆nħV\i 'smoke' (q.v.), which seems less probable for phonetic reasons.
13|*hwĕʔnV|492|blood||0|*ħinHi|40|*ħɔ˜j A|34|uI|10|*ħi|14|*ʔäʔ|15||0||0|    Reconstructed for the PEC level. Correspondences are regular.
14|*ƛ̣ōrǝ̄ (/*rōƛ̣ǝ̄)|0|hand, hand-bone||0|*riƛ̣a|27|*rɨƛ̣a A|19||0||0|*ƛ̣orap:|16||0||0|    Reconstructed for the PEC level. Correspondences are regular (except for a rather usual metathesis).
15|*mǝ̄mV|245|teat, nipple; pimple|*mām-aḳ|182||0|*momV-la|230||0|*mama|5|*mam(a)|17||0||0|    One of the reduplicated "children's" words; seems, however, to be well reconstructable for PEC.
16|*=ōgwV|465|to burn||0||0||0||0|*=ik:ʷ-|19|*ʔok:ʷɨ-|18|=ek:-/k:-|8||0|    The root is characteristic for East Dag. languages (Lezg., Darg., Khin.).
17|*wǟkwV (~*b-,-ō-)|493|skin (of animals)||0|*bikʷi|517|*bek|402||0||0||0||0||0|    An Av.-And.-Cez. isogloss.
18|*mɦǟƛă (~-ǝ̆)|127|finger-nail, toe-nail|*mʡāra|18|*miƛu / *ƛumHV|28|*mɔLu A|21|mix|13|*mikʷa / *nikʷa|20|*λ:äm:|20|čimi|9|*mǝλǝ|23|    Correspondences are regular. A very extensively spread and well reconstructable root. Cf. Trubetzkoy 1922, 238; Abdokov 1983, 77.
19|*dilλ̲wV|1040|cloud||0||0||0|t:urlu|14|*dirixʷ|21|*t:iλ:ʷ|21||0||0|    Reconstructed for the PEC level. Lak. -rl- < *-rλ- < *-lλ- (with preservation of the lateral quality of *λ after a liquid).     See Trubetzkoy 1922, 240.
20|*mħēlƛ̣e|0|cold|*m(ɦ)il-(~*-ī-,-Ł-)|337|*mVrƛ̣V|519||0||0|*buḳumV|140|*meƛ̣ä-|22||0||0|    Reconstructed for the PEC level. Since PD *b- in this case can not correspond to m- in other languages, we have to assume a metathesis *buḳumV < *muḳu-bV (probably with a former plural suffix). For the meaning "wind" in Darg. cf. 'cold wind, wind' in some Lezg. languages.
21|*=HĭGĀ|301|to freeze, get cold, be benumbed|*ʁōr|172|*=iʁ-|1014||0|=aI=q:i-|15||0|*ʔiqIä-|23|q:i|11|*q:ǝ|569|    PN and Khin. have preserved only nominal derivates of the root; in PL and Lak. it still functions as a verb. The vocalic reconstruction is not quite certain because of reduction in PN (in a suffixed derivate) and pharyngealization. The EC-WC comparison seems both phonetically and semantically reasonable. See Абдоков 1983, 175.
22|*=ǝ̄tV|494|move, go, come|*q-ēt-|340|*=ut-|523|*=ot-|405||0||0|*ʔata-|24||0||0|    Reconstructed for the PEC level. Correspondences are regular.
23|*=HimG̲wV|495|to go, walk||0|*q̇:Vq̇:ʷVn-|524|*=o( ˜)qʷ- B (~-e-)|188||0||0|*ʔiqI:ʷä-|25|-ʁi|126||0|    Reconstructed for the PEC level. One is tempted to compare also PN \I*ʁo-,\i the present (durative) stem from \I*-aχ-\i 'to go', but this raises phonetic problems.          The PC and Av. forms (as well as PL Ablaut grade \I*ʔoqI:ʷä-\i) reflect a PEC Ablaut grade \I*-HumG̲wV;\i in Av. the root is reduplicated.
24|*=iwƛ̣Ĕ|496|to die, to kill|*=aŁ-|23|*=iƛ̣-|218|*=iƛ̣-|139|=i=č̣a-|17|*=ibḳ-|27|*ʔiƛ̣e|26|ḳ-|13|*ƛ̣ǝ-/*ƛ̣a-|33|    Most languages reflect the stem \I*-iwƛ̣Ĕ-\i (with class prefixes; the variant without class prefixes is probably reflected in PN dur. stem *la- with vowel reduction); the Ablaut grade \I*-uwƛ̣Ĕ\i is reflected in some Lezg., And. languages and in Darg. See Абдоков 1983, 165.    Some Lezghian languages reflect a derivate \I*ʔiƛ̣i-n\i > \I*ƛ̣in\i meaning 'oath' (cf. Lezg. \Iq̇in,\i Tsakh. \Iḳin\i). It seems thus quite proper to compare HU forms: Hurr. \Iel(a)mǝ\i 'oath', Urart. \Ielm-u/ošǝ\i 'vow' (see Diakonoff-Starostin 1986, 33).
25|*kīc̣ɨ̄|1334|puppy|*ḳāc̣e|342|*kVc̣V|525||0|kac̣a|314|*kec̣a|303|*kic̣ / *c̣ik|27||0||0|    Reconstructed for the PEC level. In Lak. we should expect *kic̣a; the -a- vowel is due to contamination with another root, PEC *ḳwimc̣̲ā q.v., reflected in Lak. as kanc̣a.
26|*χ̲Hwĕje|614|dog|*pħu|25|*χʷoʔi|42|*ʁ:ʷǝ˜j|35||0|*χ:Iʷaj|28|*χ:ʷäja|28|pχra|14|*ŁIʷa|20|    One of the cases with the interesting correspondence PEC *χHw : PWC *Łʷ. It is not yet clear what should be reconstructed in these cases: perhaps, some cluster like *χl- or *lχ-. It is also possible that in some cases PAT l- is a result of secondary lateralisation, and Ub. w : PAK *ħ could also point to PWC *χˊIʷ (for which otherwise no examples are found).     Most of the EC languages point to the PEC oblique base *χ̲Hwĕj-rV- (cf. PN *pħare-, PA *χʷor-, PD *χ:ur-, PL *χ:ʷäjrV-); in some languages (Shakhdagh, Khin.) the former oblique base became direct.     See Trubetzkoy 1930, 277, Abdokov 1983, 123.
27|*ʔuq̲wV (~-ō-)|424|to drink||0||0|*χ:i-ƛʷ-|164||0||0|*ʔoqʷa-|29||0||0|    A Tsez-Lezg. isogloss (but cf. also \I*=VqV\i 'to suck' which is sometimes hard to keep distinct).
