"NUMBER","PROTO","PRNUM","MEANING","CEZ","GIN","KHV","INH","BZT","GNZ","COMMENT"
1,"*q̇ɔm B",205,"head","q̇Iim","q̇imu","q̇em","q̇Iem","q̇am","q̇ɔm","   PTsKh \I*q̇eIm(u)\i (probably < \I*q̇öIm(u)\i with dissimilative delabialisation),\i PGB \I*q̇ɔm.\i The same root (but with another Ablaut grade) is present in Gunz. \Iq̇ə̃-ƛ\i \I(*q̇əm-ƛ)\i 'under the head'."
2,"*ħɔre B",34,"eye","ozuri","üžej","ezal","ezol","häre","hare","    Two oblique bases are reconstructable for PTs: \I*ħɔ-\i (cf. PGB \I*ha-,\i Bezht. \Ihä-,\i Gunz. \Iha-\i) and \I*ħɔZʷe-\i (cf. PTsKh \I*ʔözʷe-,\i Gin. pl. \Iüže-be,\i Inkh. \Ieza-\i). The direct base PTsKh \I*ʔözʷəR\i is obviously a contamination of a former direct base \I*ʔöR\i (= PGB \I*hare\i) and oblique \I*ʔözʷe-.\i"
3,"*maru",75,"nose","maIli","malu","mani","maIne","märö","maru","    PTsKh \I*maIRe/*maIRu,\i PGB \I*maru.\i -n- in Khvarsh. and Inkh. is a result of nasal assimilation."
4,"*ʔãꭓa",30,"ear","aħja","aꭓꭓa","ãhĩ","aĨha","äʁä","ãʁa","    PTsKh \I*ʔãꭓĳa,\i PGB \I*ʔãʁa.\i Historical analysis shows that *-ꭓa must be a suffix (plural?)."
5,"*hũṭ",794,"1 wart, nipple 2 (excrescence, lip) > mouth","huṭ 2","huṭ 2","hũṭ 2",,,"huṭ 1","    PTsKh \I*hũṭ.\i Cf. also Gunz. Nakh. \Ihũṭ\i 'wart', \Inenos hũṭ\i 'nipple'."
6,"*šiḳu (~ *š:-)",789,"mouth",,,,,"siḳo","šiḳu","    PGB \I*šiḳu.\i"
7,"*mɨc A",102,"tongue","mec","mec","mec","mɨc","mic","mɨc","    PTsKh \I*mɨc;\i PGB \I*mɨc.\i"
8,"*ḳəcu",225,"1 tooth  2 fang","ḳicu 1","ḳeču 1",,,,"ḳəcu 2","    PTsKh \I*ḳəcu.\i"
9,"*s:ɨl A (~s-)",104,"tooth",,,"sel","sɨl","sila","sɨla","    PTsKh \I*sɨR\i (obl. \I*sɨRa-,\i cf. Khvarsh. \Isela-,\i Inkh. \Isɨla-\i). PGB \I*sɨla\i is originally the oblique base."
10,"*šelu A (~š:-)",795,"horn","šilu",,"šeru","šelu","šelo","šelu","    PTsKh \I*šeRu,\i PGB \I*šelu.\i"
11,"*tama",790,"horn",,"tama",,,,,"    Attested only in Gin., but having probable external parallels (with a typologically common semantic development 'root, spadix' > 'horn')."
12,"*miꭓ(e) A",333,"tail","maħi","mihi","mihĩ","mihe","miʁ","miʁ","    PTsKh \I*miꭓ̥1̇e,\i PGB \I*miʁ.\i"
13,"*kɨkə B",791,"1 female breast  2 cow's nipple 3 spring, source","kiki / kik 1,3","kik 3","kaka (Radzhibov)","koko 1,3",,"kig-la 2","    PTsKh \I*kəkə\i (although in Gin. one would rather expect \I*kek\i)."
14,"*ṭʷim /*miṭʷ (~-ɨ-)",226,"1 nipple, female breast 2 cock, trigger (of a gun)","ṭem 2","ṭum / muṭ 1",,,,,"    PTsKh \I*ṭʷim\i / \I*miṭʷ\i (-ɨ-)."
15,"*muč̣ B",228,"1 neck; back of the head 2 plait, women's hair","meč̣ 1","moc̣ 1","mič̣ 1","muč̣ 1","müč̣ 1,2","muč̣ 2","    PTsKh \I*mu̲č̣,\i PGB \I*muč̣.\i"
16,"*rɔḳʷə A",55,"heart","roḳu","roḳe / roḳʷe","loḳwa","loḳo","raḳo","rɔḳu","    PTsKh \I*Roḳʷə,\i PGB \I*rɔḳu.\i"
17,"*žebu B",335,"liver","žubi","žubo","žiba (Radzhibov)","žubu","šebo","šebu","    PTsKh \I*žubə,\i PGB \I*šebu;\i a metathesis of vowels must be assumed for PTsKh."
18,"*ƛʷɨrV B",129,"bone","ƛuza","ƛužej","ƛazal","ƛozol","ƛörä","ƛora","    PTsKh \I*ƛʷəza,\i obl. \I*ƛʷəzə-RV-,\i PGB \I*ƛora.\i In PTs the oblique base must have been \I*ƛʷɨrV-z:a-,\i whence, with metathesis, \I*ƛʷɨz:Vra-\i (> PTsKh \I*ƛʷəzə-RV-;\i the PTsKh direct base \I*ƛʷəza\i is a secondary analogous building)."
19,"*rɨƛ̣a A",14,"1 hand  2 sleeve 3 foreleg","reƛ̣a 1",,"leƛ̣a 1","lɨƛ̣a 1","riƛ̣a 2,3","rɨƛ̣a 2","    PTsKh \I*Rɨƛ̣a,\i PGB \I*rɨƛ̣a.\i"
20,"*kʷɨrV",268,"hand",,"kʷezej",,,"kō","koro","    PGB \I*koro\i (cf. also Bezht. Tlad. \Ikoro\i), obl. \I*kɔ̃-\i (Bezht. \Ika-,\i Gunz. \Ikɔ̃-\i). In PTs there must have coexisted oblique bases \I*kʷṼ-\i ( > PGB \I*kɔ̃-\i) and \I*kʷɨrV-z:a-\i > \I*kʷɨz:Vra-\i ( > Gin. \Ikʷezej,\i \Ikʷezera-\i); cf. PTs \I*ƛʷɨrV\i 'bone' with similar oblique base formation. The old oblique base \I*kʷṼ\i (shifted to direct) may be perhaps reflected in Gin. \Ikʷe\i 'handle'."
21,"*mɔLu A",18,"finger-nail, claw","moλu","moλu","muλu","monu","miλo","mɔlu","    PTsKh \I*moλu\i (Inkh. \Imonu\i < \I*molu\i with nasal assimilation); PGB \I*mɔλu,\i obl. base \I*mɨλa-\i (cf. Gunz. \Imalu,\i \Imɨla-;\i in Bezht. the direct base vocalism became adequated on analogy with the oblique base)."
22,"*λɔlə A",229,"foot","rori","rore","lola","lolo","halo (Bezht.)","hɔle","    PTsKh \I*RoRə,\i PGB \I*hɔl/ə/.\i"
23,"*[ꭓ]ɔbɔ A",792,"1 leg 2 foot",,"hobo 1",,,"ꭓäbä 2",,"    One should expect ʁ- in Bezht.; reasons for devoicing are not clear."
24,"*q̇ɔ(n)tV",232,"1 knee 2 ankle","q̇Iontu 1","q̇ontu 1","q̇ontu 1",,"q̇ata 2 (Khosh.)","q̇ɔd 2","    PTsKh \I*q̇ontu,\i PGB \I*q̇ɔt(a\i). Cf. also Bezht. Tlad. \Iq̇oṭ\i 'ankle' which is a contamination of PGB \I*q̇ɔt(a\i) and \I*ṭuq̇a\i q.v."
25,"*gurtu (~o)",236,"knee",,,"kurtu (Radzhibov)","gurtu",,,"   PTsKh \I*gurtu\i (with assimilation in Khvarshi)."
26,"*ʔãgV",758,"knee, knee-cap",,,,,"ãga","ãga","   PGB \I*ʔãga.\i"
27,"*bičnV",57,"1 knee 2 shin","bečni 1","bečnu 1",,,"mičnä 2","mična 1,2","    PTsKh \I*bičnV\i (-ɨ-), PGB \I*mična\i (with nasal assimilation)."
28,"*mos: (~-u-,-s)",242,"hair  1 hair; eyelash","mus","mus 1","mus (Radzhibov)","mus",,,"    PTsKh \I*mus.\i"
29,"*kẽ B",338,"hair",,,"ka","kõ","kera","kera","    PTsKh \I*kə̃,\i obl. \I*kəRa-\i (cf. Khvarsh. \Ikala-,\i Inkh. with analogous nasalization \Ikõla-\i), PGB \I*kera.\i The oblique stem in PTs must be reconstructed as \I*kera-\i (cf. the situation in PTsKh); it had substituted the former direct base in PGB."
30,"*kɔdV A",339,"hair, long hair","kodi",,,"kode",,,"    PTsKh \I*kode.\i"
31,"*čo A",340,"1 long hair 2 mane 3 hair in horse's tail",,"čud 1","čoda 1","ču 2","čoj 3",,"    A rather complicated case. The PTs paradigm must have looked like \I*čo,\i \I*čorV-;\i the direct base is preserved in Inkh. \Iču\i (PTsKh \I*ču\i), and the oblique one (having passed to direct) - in Bezht. \Ičoj\i (PGB \I*čorV\i). The Gin. and Khvarsh. forms are results of contaminating this root (PTsKh \I*ču\i) with PTsKh \I*kɔdV\i 'long hair' q.v."
32,"*ž:ã",341,"horse's mane",,,,,"žaro (Tlad.)","žãru","    The PN paradigm must have been \I*ž:ã,\i \I*ž:aru-,\i and the PGB form \I*žãru\i can only be explained as a merger of the former direct and oblique stems - otherwise there is no way to explain the Gunz. nasalisation (impossible in PTs before -r-)."
33,"*pɨdʷV",245,"feather",,,,,"pudo","pode","    PGB \I*podV/*pudV\i (vowel vacillation possibly reflects the earlier labialisation)."
34,"*ħɔ̃j A",13,"blood","e","ĳo","ĩq̇ʷa","ẽq̇o","hẽ","hãj","    The PTs paradigm must be reconstructed as \I*ħɔ̃j,\i \I*ħẽjɔ-.\i This is reflected directly in Gunz. \Ihãj\i (Nakh. \Ihɔ̃j\i), \Ihĩja-\i (PGB \I*hɔ̃j,\i \I*hẽjV-\i), while already in Bezht. the vowel grade of the oblique base has penetrated into the direct one: \Ihẽ,\i \Ihẽja-.\i The same process had taken place in PTsKh where we have to reconstruct \I*ʔẽj\i (cf.Tsez. \Iʔe,\i \Iʔeje-\i). The Khvarsh. and Inkh. forms contain a strange suffixed -q̇ʷa (-q̇o), but must be obviously related to the same root."
35,"*ʁ:ʷə̃j",26,"dog","ʁIʷaj","ʁʷe","ʁʷe","ʁIʷẽ","wo","wə","    PTsKh \I*ʁIʷə̃j;\i PGB \I*wə,\i obl. \I*wəj-\i (cf. Bezht. \Iwoj-,\i Gunz. \Iwəj-\i)."
36,"*ʔãʁ(V)",1050,"bird","aʁi",,,,,"ãꭓ",
37,"*mihnV",342,"1 bird  2 young (of birds, animals)",,"mihna 1",,,"mihna 1","minə 2","    PGB *mihnV."
38,"*ḳɨca (~-i-)",246,"bird",,,"ḳeca","ḳɨca",,,"    PTsKh \I*ḳɨca.\i"
39,"*č̣eq",8,"bird",,,,,,"č̣eq","    Isolated within Tsezian, but with good external parallels."
40,"*bekV(lV) A",343,"snake","bikori","bikore","bečala","bekol","bekela","begala","    PTsKh \I*bekoR(ə),\i (but also \I*bekV,\i cf. Gin. \Ibika\i 'worm'; reasons for *-k- > -č- in Khvarsh. are unclear); PGB \I*bekVla.\i"
41,"*bɨs:ʷə A",344,"fish","besuro","besuro",,,"bisa","bɨsə","    PTsKh *bɨsʷəRo (cf. Tsez.Asakh. besʷiro; the *-Ro is probably an original oblique base marker); PGB \I*bɨsɔ\i (cf. also Gunz. Nakh. \Ibɨsɔ\i)."
42,"*ꭓ:emuꭓ: (~ʁ)",127,"root",,,,,"ꭓemuꭓ","ꭓumuꭓ","    PGB \I*ꭓemuꭓ\i (-u- in the first syllable in Gunz. is a result of assimilation)."
43,"*ʁʷimilV (~ *ʁ:ʷ-,r)",325,"worm","ʁumeli",,,,,,"    The Tsez. form is isolated (although external parallels are quite reliable), thus the PTs reconstruction is only tentative."
44,"*bəṭV (~-ə̃-)",120,"worm",,,,,"beṭela","bəṭi","    PGB \I*bəṭV\i (the Bezht. form has a suffixed *-lV)."
45,"*nɔcə A",67,"louse","noci","noce","nuca","noco","naco","nɔcə","    PTsKh \I*nocə,\i PGB \I*nɔcə.\i"
46,"*ʔažʷə (~ħ-,-ž:ʷ-)",345,"1 tree 2 bush","ažo 1","aže 1","aža 1 (Radzhibov)","ažan 2",,,"    PTsKh \I*ʔažʷə\i (for -žʷ- cf. Tsez. Sant. \Iažʷi\i). Inkh. \Iažan\i < \I*ʔažʷə-R\i with a common suffixed *-R."
47,"*ʁ:ʷən",346,"1 tree 2 forest 3 bush","ʁun 1,3",,"ʁwan 1","ʁon 1","wan 2","hɔn 2","    PTsKh \I*ʁʷən\i (cf. also Tsez. Asakh. \Iʁʷin\i); PGB \I*hɔn\i / \I*wɔn\i (the Gunz. word also means 'board')."
48,"*ꭓ:õꭓ:ə (~ʁ)",347,"tree",,,,,"ꭓöꭓö","ꭓõꭓe","    PGB \I*ꭓõꭓə.\i"
49,"*ƛib(u) A",82,"leaf","ƛaIb","ƛebu","ƛib","ƛib","ƛibo","ƛibu","    PTsKh \I*ƛib(u),\i PGB \I*ƛibu.\i"
50,"*q̇ʷel A",348,"1 bark 2 birch bark","q̇Iul 1","q̇ʷil 1","q̇ʷel (Radzhibov)","q̇Iʷel 1","q̇eq̇el-ba 2",,"    PTsKh \I*q̇ʷeR.\i The Bezht. form is reduplicated (and has a plural suffix -ba)."
51,"*ƛ̣eq̇V",349,"1 bark 2 birch bark",,"ƛ̣iq̇in 2",,,"ƛ̣eq̇a 1",,
52,"*rič̣V ?",350,"bark",,,,,,"rič̣ul","    Isolated in Gunz. (NB: Bok. spells ričul), with obscure etymology."
53,"*rɔḳV",351,"root","roḳo","roḳe","roḳo","roḳo",,,"    PTsKh \I*roḳV.\i"
54,"*qɔƛu",352,"1 skin, goatskin 2 wineskin","qIoƛu 1",,"qoƛu 1 (Radzhibov)","qIoƛu 1","qäƛö (Tlad.) 1,2","qɔƛu 1","    PGB \I*qɔƛu;\i PTsKh \I*qIoƛV.\i"
55,"*ꭓɔ̃š:e B",353,"1 skin  2 sheepskin","ħoši 1","ꭓʷiši 1","hĩše 1","hẽše 2","Räše 1",,"    PTsKh \I*ꭓ̥1̇ö̃še.\i"
56,"*ʔãꭓ:",978,"1 belly 2 stomach","aꭓ 1","aꭓ 1","ãꭓ 1","ãꭓ 1","ãꭓ 2","ãꭓ 1","    PTsKh \I*ʔãꭓ,\i PGB \I*ʔãꭓ.\i This root must be distinguished from Bezht. \Iõꭓ\i 'belly'."
57,"*=ĩž- (~-ž:-)",254,"1 to sow 2 seed","ʕeži 2","eži 2","iž-a 1","ižu 2","=iž- 1","=ĩž- 1","    The word for 'seed' in Tsezian languages (PTs \I*ʔĩž(:)V\i A, PTsKh \I*ʔižV\i [cf. also Inkh. \Iižu\i], PGB \I*ʔĩžu\i > Gunz. \Iĩžu,\i Bezht. \Iižo,\i dial. \Iizo\i) is derived from the verb \I*=ĩž-\i 'to sow'. Cf. also another derivate: PTs \I*ʔĩž(:)\i 'sieve'> Gunz. \Iĩž\i [NB: there is a misprint - \Iĩz\i - in the MSU recording; correct is Bokarev's spelling], Bezht. \Iĩz,\i Tlad. \Iĩž,\i Khosh. \Iiz,\i Gin. \Iez.\i"
58,"*ʔi-/*ji-",2309,"a demonstrative stem","je-da, ji-si",,,"j-u, i-du",,,"    PTsKh \I*ʔi-/*ji-,\i used for both near (Tsez. \Ije-da,\i Inkh. \Ii-du\i) and far (Tsez. \Iji-si,\i Inkh. \Ij-u\i) deixis. It is possible that \Ihi-\i in Gin. \Ihi-ba-go\i 'that' also goes back to this root, but has been mixed with another deictic stem \I*ha-.\i"
59,"*riƛ A (~*l-)",69,"meat","reƛ",,"liƛ","liƛ",,,"    PTsKh \I*Riƛ.\i"
60,"*ꭓ:o A",36,"meat",,"ꭓu",,,"ꭓo","ꭓo","    PGB \I*ꭓo.\i"
61,"*ḳVmVč̣",355,"egg","ḳeneč̣","q̇imac̣","ḳemeč","ḳimač̣","č̣emuc̣",,"    An expressive word with irregular sound change."
62,"*qõq-lV",131,"egg",,,,,,"qõqla","    Attested only in Gunzib. If, however, we take into account the meaning ""grain"" of some related forms (cf., e.g., Dargwa), we could also relate here Gin. \Iqeqe\i ""porridge; gruel"" - with a possible reconstruction PTs \I*qʷɨ̃qV\i B ( ~ -ẽ-)."
63,"*mɔħ(V) B",130,"fat (n.)","mo","miʔi / mihi","mu (Radzhibov)","mu","mähä","maʔa","    PTsKh \I*möʔ(e)\i (cf. also Gin. by Lomtadze \Imüʔi;\i Khvarsh. and Inkh. -u- is not quite clear); PGB \I*mɔhɔ\i (the Gunz. form probably is a misspelling for \Imɔʔɔ,\i cf. also the notation for Nakhada dialect: \Imaʕɔ\i)."
64,"*cɔ̃",356,"salt","cĳo","čĳo","cĩjo","cĩjo","cã","cɔ̃","    The PTs paradigm: \I*cɔ̃,\i obl. \I*cĩjo-\i ( > PGB \I*cɔ̃,\i \I*cĩjo-,\i cf. Gunz. \Icɔ̃,\i \Icĩjo-\i); in PTsKh the oblique base (PTsKh \I*cĩjo\i) replaced the direct one."
65,"*ꭓʷen A",282,"1 mountain 2 heap","ħon 1","ꭓwin 1","hun 1","hun 1,2",,,"    PTsKh \I*ꭓ̥1̇ʷen.\i"
66,"*bɨZu (~-s-)",301,"mountain",,,,,"bizo","bɨzu","    PGB \I*bɨzu.\i"
67,"*hunV A",227,"road","huni","hune","huni","hune","hino","huni","    PTsKh \I*hunV,\i PGB \I*huni\i (with vowel metathesis in Bezht.)."
68,"*boq",99,"sun","buq","buq","buq","bɨq","boq","boq","    PTsKh \I*buq,\i PGB \I*boq.\i The paradigm in PTs: dir. \I*boq,\i obl. \I*bɨqV-,\i cf. Khvarsh. \Ibuq,\i \Ibeqi-,\i Bezht. \Iboq,\i \Ibiqo-,\i Gunz. \Iboq,\i \Ibɨqa-.\i In Inkh. the direct stem had been replaced by the oblique one. The obl. base serves also as basis for derived words meaning 'southern (sunny) slope of a hill': Gin. \Ibeqa-ƛ̣o,\i Inkh. \Ibɨqa,\i Bezht. Tlad. \Ibiq-ƛ̣as,\i Khosh. \Ibiq̇ĳo,\i Gunz. \Ibɨq̇q̇u\i ( < \I*bɨq-ʔVju\i)."
69,"*bocV A",70,"moon","buci","buce","buca","bucu","boco","boco","    The PTs paradigm: \I*bocV,\i obl. \I*bɨcV-.\i Cf. PTsKh \I*bucV,\i \I*bɨcV-\i ( > Tsez. \Ibuci,\i \Ibece-,\i Khvarsh. \Ibuca,\i \Ibeca-lo-);\i PGB \I*boco,\i \I*bɨcV-\i ( > Bezht. \Iboco,\i \Ibico-,\i Gunz. \Iboco,\i \Ibɨca-).\i"
70,"*cʷã",357,"star","ca","cʷa","ca","cã","cã","ca","    PTsKh \I*cʷã;\i PGB \I*cã.\i"
71,"*č̣üdV",358,"1 earth 2 soot","č̣eIdo 1","č̣odi 1","č̣ida 1","č̣ido 1","č̣ide 2",,"    PTsKh \I*č̣üdV;\i cf. also Bezht. Khosh. \Ic̣ide\i 'soot'."
72,"*mɨsV (~-Z-)",313,"earth",,,,,"mizo","mɨzə","    PGB \I*mɨzV.\i"
73,"*mɨs:V A",315,"1 sand 2 road metal",,"mese 1",,,"miso 1","mɨsu 2","    PGB \I*mɨsu.\i"
74,"*kebu A",359,"1 sand 2 dust","gibu 1,2","gebu 2","gebu (Radzhibov)","gebu 1",,"kebu 1","    PTsKh \I*gebu\i (with g- probably due to assimilation)."
