NUMBER|PROTO|PRNUM|MEANING|DRG|CHR|COMMENT
1|*lep:- ?|612|all|lebil||    Etymology unknown.
2|*palt:a|613|ashes|palda||   Isolated in Darg. with obscure etymology.
3|*ꭓ:Iʷes:a (/-a-)|614|ashes||ꭓ:Iʷas:a|   Isolated in Darg. with obscure etymology.
4|*ʕaInḳa ?|615|bark|ʕaInḳa||   Isolated in darg. with obscure etymology.
5|*mama|15|breast (fem.), teat|mama||    Cf. also Muir. \Imama\i id.
6|*kʷani|4|belly|kani||    Cf. also Ur., Kad., Kharb. \Ikʷani,\i Tsud. \Ikuni\i etc.
7|*ḳulṭa|616|belly, stomach||ḳulṭa|    Cf. also Kait., Kub. \Iḳulṭa.\i
8|*ꭓ:ʷala-|66|big|ꭓala-l|ꭓ:ʷala-ze|    Cf. also Ur. \Iꭓʷala-,\i Sirg. \Iꭓʷala-,\i Kait. \Iꭓula-\i etc. The labialisation in this case is obviously secondary (probably reflecting the former class prefix).
9|*=ars:Vr- (/-c-)|617|fly|urc-es||   Cf. also Ur. \I=arsVr-/urs-\i 'to fly'. Reasons of dialectal variations between -c- and -s- are not quite clear. The word for 'bird' in Ak. (\Iarcan\i) is derived from the same root.
10|*ʔiꭓI-liq̇an|587|bird||iꭓIliq̇Ian|    Cf. also Kub. \IiꭓIliq̇an\i id. The word is a compound (the 1st part of it is \IiꭓI-\i 'to fly').
11|*čakʷa|618|1 sparrow 2 small bird|čaka 1|čakʷa 2|    Cf. also Kait. čaka 'bird'. Phonetic obstacles are too big to compare this PD root with PEC *ǯaq̇ʷV q.v. - so etymology remains obscure.
12|*q̇ac̣|10|a bite; (piece of bread) > bread|q̇ac̣|q̇ac̣|    Used independently with the meaning "bread", but preserving the meaning "bite" in a compound verb (Ak. \Iq̇ac̣-bilkes,\i Chir. \Iq̇ac̣i -u(r)ḳ-\i etc.).
13|*c̣ut:ar-|378|black|c̣udara|c̣at:arze|    Cf. also Kharb. \Ic̣ut:ara,\i Tsud. \Ic̣ut:ar-se.\i There are also some similar names of fruits / berries in Darg. dialects (cf. Ak. \Ic̣edeš\i 'fruit', Chir. \Ic̣urert\i / < \I*c̣ude-rt\i ?/ 'plum'), perhaps called so because of their dark color.
14|*ħi|13|blood|ħi||    Cf. also Ur., Kad. \Iħi,\i Tsud., Kharb. \Iħe\i etc.
15|*beħ(i)|154|blood||bāI|    Cf. also Kait. \Ibeʕe\i (Mus. \Ibiʔi\i), Kub. \Ibē.\i
16|*lik:a|43|bone|liga||    Cf. Ur. \Iliga,\i Kub., Tsud. \Ilik:a\i etc.
17|*derɣ|129|bone||derg / derɣ|    Isolated in Chir., but very archaic.
18|*hap:a ?|619|breast (fem.)||hap:a|    An isolated Chir. "children's" word.
19|*=ik:ʷ-|16|burn|=ig-|=ik:ʷ-|    Cf. also Ur. \I=igʷ-.\i
20|*mikʷa / *nikʷa|18|nail, claw|nika|meka|    Cf. also Ur. \Inikʷa,\i Kub. \Imika,\i Tsud. \Imikʷa\i etc.
21|*dirixʷ|19|1 cloud 2 fog|dirix 1|dirixʷ 2|    Cf. also Ur. \Idiriw,\i Tsud. \Idirix\i 'cloud', Kub. \Idīxʷ\i 'fog' etc. [NB: the spelling Chir. \Idirix:ʷ\i in the latest MSU recordings is obviously faulty: Ur. -w points unambiguously to PD *-xʷ].
22|*q:eri|620|cloud||q:ire|    Isolated in Darg. with unknown etymology. The only parallel available is Ag. q:iri 'cloud' which is most probably a loan from Darg.
23|*=arʁIʷ-|138|get cold, freeze|=irʕ-||    Cf. also Ur. \I=aIrʕʷ-/=irʕʷ-.\i The Ak. adjective 'cold' (\Ib-aIrʕib-si\i) is derived from this verb.     See PEC \I*-Hə̆ꭓ̲wV\i for explanation of the PD pharyngealization in this root.
24|*=aꭓ:I-|621|get cold||=aꭓ:I- / =iꭓ:I-|    In Chir. there also exists a verbal stem \I=erꭓ:-\i / \I=urꭓ:-\i 'to get cold, freeze', and the adjective \I=uꭓ:an-ze\i 'cold'. Derived from the same root are words for 'shadow': Ak. \IdaIħ-c̣i,\i Chir. \Itaꭓ-t:e\i (probably with assimilation < \I*d-aꭓ:-t:V\i).     It seems probable that the two PD roots ('get cold' and 'freeze') underwent contamination in different Dargwa dialects. The external evidence shows that PD must have originally possessed \I*=aꭓ:I-\i 'to get cold' and \I*=arʁʷ-\i / \I*=irʁʷ-\i 'to freeze'. The Chirag dialect preserved the first root, but changed the second (under the influence of the first root) to \I=erꭓ:-\i / (\I=irꭓ:ʷ-\i) > \I-urꭓ:-.\i Other dialects merged both roots into a single conglomerate: \I*=arʁIʷ-\i / \I*=irʁIʷ-\i (see under \I*=irG̲wVr\i).
