NUMBER|PROTO|PRNUM|MEANING|KHI|COMMENT
1|zäḳ|2|ashes|zäḳ|
2|šax|501|belly|šax|    Erg. \Ičx-i.\i
3|c̣imir|658|bird|c̣imir|    Means basically 'small bird, sparrow' (Khaid. lists also \Ic̣imiri\i 'swallow'), which is obviously a late semantic development.
4|ḳaḳa|659|a bite|ḳaḳa|    Serves as basis for the verb ḳaḳa-kʷi 'to bite'. Etymology obscure.
5|mič̣ä|300|black|mič̣ä|
6|ṗi|154|blood|ṗi|
7|inḳ|129|bone|inḳ|
8|=ek:-/k:-|16|burn|=ek:-kwi, k:-i|    \I=ek:-\i is transitive (\I=ek:-kʷi\i), \Ik:-\i (term. \Ik:-i,\i dur. \Ik:-izi\i) - intransitive.
9|čimi|18|nail, claw|čimi|
10|unḳ|423|cloud|unḳ|
11|q:i|21|cold|q:i|    Cf. also \Iq:ä-wil\i id.
12|ka-|135|come|ka-ʁi|    Term. \Ika-ʁi,\i dur. \Ika-k:ʷi.\i
13|ḳ-|24|to die|ḳi|
14|pꭓra|26|dog|pꭓra|
15|ṗa|1963|kiss|ṗa|
16|q̇i|29|dry, to dry (out)|q̇i|
17|ṭop|661|ear|ṭop|    Etymology obscure.
18|inč:i|427|earth|inč:i|
19|q̇ɨn-|277|to eat|q̇ɨni|    Term. \Iq̇ɨn-i,\i dur. \Iq̇an-dä.\i
20|ḳaz|1499|egg|ḳaz|    Originally 'round object' (cf. the external evidence).
21|pil|34|eye|pil|
22|mi|130|fat (n.)|mi|
23|č̣ä|38|fire|č̣ä|
24|ank:|758|foot, leg|ank:|
25|li|703|grain|li|    The word has lost final -ḳ in nominative (cf. erg. \Iliḳi,\i pl. \Iliḳe-bir\i).
26|c̣i|44|full, fill|c̣i|
27|=ḳ-ʷi|45|give|lä-ḳʷi|    lä- is a widespread Khin. preverb (denoting movment away from the speaker). Cf. also \Itä-ḳ-ʷi\i id.
28|sɨ-b|626|green|sɨb|    External data apparently indicate that -b is a historical suffix (\Isɨ-b\i < \I*sɨn-b\i).
29|č̣ar|50|hair|č̣ar|
30|kul|268|hand|kul|
31|miḳir|52|head|miḳir|
32|k-i|278|hear|ki|    Cf. dur. \Ikl-i.\i
33|ung|55|heart|ung|    An archaic oblique stem \Iḳur-\i ( < \I*jirḳʷV(r)-\i) is preserved in the compound verb \Iḳur=qini\i 'to forget' (= PL \I*jirḳʷe(le) ʔeꭓʷen\i id.).
34|wäč|663|horn|wäč|    Etymology obscure.
35|zɨ|2283|I|zɨ|    The pronoun has a specific paradigm: nom. \Izɨ,\i erg. \Ijä,\i gen. \Ii/e,\i dat. \Ias.\i It is most probable that the erg. form was \I*jäz\i and gen. - \I*iz/*ez\i with loss of the rare Auslaut *-z (dat. \Ias\i should be treated as \I*az\i + dat. marker *-s).
36|-ib-|664|kill; extinguish|-ibi|    Etymology unclear.
37|nik|487|knee|nik|
38|mux-|665|know|muxʷi|
39|ant|2191|earth, ground|ant|    The root serves as a base for \Iant:ɨr-q̇i\i 'to lie' (= 'to be on the ground').
40|wiꭓä|66|long|wiꭓä|
41|nimc̣|67|louse|nimc̣|
42|lɨgɨld|35|man|lɨgɨld|
43|iꭓer|6|many|iꭓer|
44|lɨk:a|69|meat|lɨk:a|
45|wac̣|70|moon|wac̣|
46|mɨda|667|mountain|mɨda|    Etymology obscure.
47|c̣u|72|name|c̣u|
48|san|668|night|san|
49|ḳɨtɨr|669|nose|ḳɨtɨr|
50|-i-|2274|negative suffix, not|-i-|
51|sa|2314|one|sa|    The root contains an irregular s- (c- would be expected), and thus may have been influenced by Lezg. languages.
52|q̇ula|670|rain|q̇ula|
53|c:ɨma|671|red|c:ɨma|    Etymology obscure.
54|ḳʷar|80|road|ḳʷar|
55|gongʷaz|84|circle|gongʷaz|    Serves as a base for \Igongʷaz-lɨ\i 'round'.
56|li|85|say|li|    Etymology unclear: it could be li < *l-(V)H-i with epenthesis of the laryngeals (with l- as preverb - like in some Lezg. languages). In this case the form could be traced back to PEC \I*=iʡwV.\i
57|zaʁ-|87|to see|zaʁi|
58|-u= / -e=|194|sit|č:-u=wi|    1st cl. \Ič:-u-wi,\i 2d cl. \Ič:-e-z-wi,\i 3d class \Ič:-e-bi.\i With another preverb cf. \Iǵ-u-wi\i (\Ig-e-z-wi,\i \Ig-e-bi\i) 'to sit on (a horse), take (a car)'.
