"NUMBER","PROTO","PRNUM","MEANING","LAK","COMMENT"
1,"š:al- ?",584,"all","š:al-la","    Cf. š:alu-s:a 'whole, full'. Etymology unknown."
2,"laꭓ",527,"ashes, dust","laꭓ","    3d class, gen. \Iluꭓ:a-l.\i Cf. Khosr. \Ilaꭓ,\i \Iluꭓ:a-l\i id."
3,"k:iri",585,"bark, shell","k:iri","    3d class. Cf. Khosr. \Ik:iri\i id."
4,"laIq̇a ?",586,"belly, stomach","laIq̇a","    4th class. Etymology unknown."
5,"qun-",418,"big","qun-ma-s:a","    Lak. qun-ma- 'big' is very close to quna- 'big, grown up', but historically this is a secondary rapprochement of two roots (see PEC *-ŏnqV(lV) 'old')."
6,"liIluꭓ:i",587,"bird","liIluꭓ:i","    Lak. \IliIluꭓ:i\i (3d class) is very probably a transformation of a form like \I*liꭓI-luq̇Ii\i where the first part is the verb \Iliꭓ:Ia-\i 'to fly' (cf. the Darg. form \IiꭓI-liq̇an\i)."
7,"č̣iIlmu",493,"bird (small)","č̣iIlmu","    3d class (-mu is historically a suffix); cf. Khosr. \Ič̣iIlmu/č̣iImlu\i id."
8,"q̇ac̣",10,"bite; mouth","q̇ac̣","    3d class. The word is used in \Iq̇ac̣a ṭun/učin\i 'to bite'. Cf. Khosr. \Iq̇ac̣\i id."
9,"luħi-",171,"black","luħi-s:a","    Cf. Khosr. \IluIhi-s:a.\i"
10,"uI",13,"blood","uI(t:u)","    3d class. The obl. base \IuI-t:u-\i is sometimes used as direct."
11,"t:arḳ",129,"bone","t:arḳ","    4th class. Obl. base \It:urč̣a-.\i"
12,"qazam ?",588,"breast","qazam","    3d class. Etymology unknown."
13,"mix",18,"claw, nail","mix","    3d class. Obl. base \Imixi-ra-.\i Cf. also Khosr. \Imix,\i \Imixi-ra-.\i"
14,"t:urlu",19,"cloud","t:urlu","    4th class."
15,"=ai=I:Q-",21,"grow cold catch cold","=ai=I:Q-","    Pret. \I=aI=q:u-nu.\i Cf. also the derivates: \IdaIrq:u\i (gen. \IdaIq:i-l\i) 'cold rheumatism', \IdaIirq:u-s:a\i 'cold' (adj.)."
16,"=u=č̣a-",412,"to come","=u=č̣a-","    Pret. \I=u=ḳu-n.\i Cf. Khosr. \I=u=č̣a-n,\i \I=u=ḳundi\i id."
17,"=i=č̣a-",24,"to die to kill","=i=č̣a-","    G. pr. \I=i=ḳu-nu.\i"
18,"k:ač:i",589,"dog","k:ač:i","    3d class. Khosr. \Ik:ʷač:i.\i Lak. > Arch. \Igʷač:i\i 'bitch'."
19,"ħač̣a-",590,"to drink","ħač̣a-","    G.pr. \Iħa=č̣u-n.\i Cf. Khosr. \IhaIč̣a-n\i id."
20,"q̇a-q̇-",29,"dry","q̇a-q̇-s:a","    Cf. the verbal stem \Iq̇a-q̇a-\i (p.pr. \Iq̇a-q̇u-\i) 'to get dry'."
21,"wič̣i ?",591,"ear","wič̣i","    4th class, gen. wič̣-lul. Etymology unknown."
22,"aIrš:i",515,"earth","aIrš:i","    4th class. Obl. stem \IaIrš:a-ra-.\i"
23,"=uka-",276,"eat","=uka-","    G.pr. \I=u=ku-nu.\i Cf. Khosr. \I=uka-n,\i dur. \Ikʷana-n.\i"
24,"k:unuk",33,"egg","k:unuk","    3d class. Cf. Khosr. \Ik:unuk\i (gen. pl. \Ik:unuk:-irt:al\i ) id. Proto-Lak may be reconstructed as \I*k:enuk:\i - cf. the old Archi loanword \Igenuk\i (pl. \Igenuk:ur\i ) 'egg'."
25,"ja",34,"eye","ja","    3d class, obl. base \Ija-ni-.\i The old oblique base, however, had been \Ii-t:a-,\i and it is preserved in adverbial forms like \Iit:a-w\i 'into eyes', \Iit:a-lu\i 'under eyes' etc., as well as in some old compounds."
26,"maj",130,"fat (n.)","maj","    4th class. Cf. Khosr. \Imaj\i id."
27,"ṭimu",592,"feather","ṭimu","    4th class. Cf. also Khosr. \Iṭimiṭaj\i (redupl.) 'butterfly'."
28,"c̣u",38,"fire","c̣u","    4th class. Obl. base \Ic̣ara-.\i"
29,"č:an",758,"foot, leg","č:an","    3/4th class."
30,"=u=c̣u-",44,"full","=u=c̣u-A:S","    A derivate from the verb \I=u=c̣i-\i (g. pr. \I=u=c̣u-nu\i) 'fill, be filled' (Khosr. \I=u=c̣i-n\i id.)."
31,"=ulu-",45,"give","=ulu-n","    G.pr. \I=ullu-nu.\i Cf. Khosr. \I=ulu-n,\i aor. \I=ul-dun-di.\i"
32,"ꭓ:uj-",140,"good","ꭓ:uj-s:a",
33,"š:uIlli-",170,"green","š:uIlli-s:a","    Cf. Khosr. \Iš:uIl-di-s:a\i id."
34,"č̣ara",50,"hair","č̣ara","    4th class. Cf. Khosr. \Ič̣arā\i id."
35,"ka",268,"hand","ka","    4th class, obl. base \Ika-ni-.\i Cf. Khosr. \Ikʷa.\i A derivate is Lak. \Ikaniš,\i Khosr. \Ikʷaniš\i 'braclet' (cf. the obl. base \Ikʷani-\i) - borrowed in Arch. \Ikʷeniši,\i Ag. \Ikʷaniš.\i"
36,"baḳ",52,"head","baḳ","    4th class. Khosr. \Ibaḳ\i (3d class).  An archaic obl. stem \I*wVḳV-rV-\i > \Iḳara-\i can be seen in the derivate \Iḳara-lu\i (Khosr. \Iḳaralu\i) 'pillow' (lit. ""under head"")."
37,"=aja-",408,"hear","=aja-n","    G.pr. \I=a=nu.\i Cf. Khosr. \Ibaja-n\i id."
38,"daḳ",55,"heart","daḳ","    4th class. Cf. Khosr. \Idaḳʷ\i 'breast'."
39,"qi",593,"horn","qi","    3d class, obl. base \Iqi-lu-.\i"
40,"na",2284,"I (1st p.pr.)","na",
41,"l-ax:i-",595,"learn, study","l-ax:i-n","    G.pr. \Il-a=x:u-nu.\i Cf. Khosr. \Ilax:ʷi-n\i id."
42,"nik",487,"knee","nik","    4th class; obl. base niki-ra-. Cf. khosr. nikʷ 'hip, thigh; knee'."
43,"ḳul-",594,"knowing, aware, acquainted","ḳul-s:a","    The root ḳul is used also in ḳul xun 'to know' ('become aware')."
44,"č̣aṗi",499,"leaf","č̣aṗi","    Cf. Khosr. \Ič̣aṗi\i id."
45,"=i=ši-",596,"lie; put","=i=ši-n","    G. pr. \I=i=xu-nu.\i Cf. Khosr. \I=i=xi-n\i / \I=i=ši-n\i (\I=i=xundi\i) id."
46,"t:iliḳ",65,"liver","t:iliḳ","    4 class. Cf. Khosr. \It:iliḳ.\i"
47,"laqi-",597,"long","laqi-s:a",
48,"nac̣",67,"louse","nac̣","    3d class."
49,"čuw",124,"man","čuw","    Cf. also the compound \Ičiw-arḳ\i 'people, men'."
50,"č̣aI-u-",5,"many","č̣aI-u-s:a","    Cf. Khosr. \Ič̣aI-u-s:a\i id."
51,"diḳ",69,"meat","diḳ","    4th class, obl. base \Idiḳu-.\i Cf. Khosr. \Idiḳ.\i"
52,"barz",70,"moon, month","barz","    3d class. The Proto-Lak. paradigm must be reconstructed as \I*waz,\i \I*wuz-ru-;\i *-r- had passed into the direct base (as in some other EC languages): \I*warz\i > \Ibarz.\i The oblique base underwent a regular reduction of the initial syllable with a labial resonant: \I*wuz-ru-\i > \Izuru-.\i"
53,"zun- ?",598,"mountain","zunt:u","    3d class. The root is obviously zun-, cf. zun-ꭓ:i- 'precipitous'; but further etymology is not clear."
54,"k:urt:a",236,"rim, arc","k:urt:a","    Cf. Khosr. \Ik:urt:a\i 'bow'."
55,"c̣a",72,"name","c̣a","    4th class; obl. base \Ic̣a-ni-.\i"
56,"=i=ḳa-",88,"to be, to sit","=i=ḳa-n","    G.pr. \I=i=ḳu-n.\i In the meaning 'to sit' it is mostly used in a compound \Iš:aI=i=ḳa-\i (\Iš:aI-\i 'on the earth' q.v.)."
57,"c̣u-",73,"new","c̣u-s:a",
58,"x:u",531,"night","x:u","    4th class. Obl. base \Ix:u-ni-.\i Historically this is most probably a result of reduction < \I*lVx:u\i (\I*lVλ:u\i), cf. the archaic adverb \Ilax:u\i 'yesterday'."
59,"maj",75,"nose","maj","    3d class."
60,"q:a- ?",600,"not","q:a-","    Same root as in the negative predicate b-aq:a(r); further etymology not clear."
61,"ca",2314,"one","ca",
62,"ʁaral",77,"rain","ʁaral","    3d class. Cf. Khosr. \Iʁʷaral.\i"
63,"jaIṭuIl-",323,"red","jaIṭuIl-s:a","    Arch. \IjaIṭan-nu-t\i 'red' is borrowed from Lak. (probably from some dialect  which has not the -ul-, but the -an-suffix)."
64,"ꭓ:ullu",227,"road","ꭓ:ullu","    3d class. Cf. Khosr. \Iꭓ:uldu\i id. Judging from the external evidence, the form goes back to \I*ꭓ:un-lu\i (with assimilation)."
65,"marꭓ:a",127,"root","marꭓ:a",
66,"k:urk:i-",84,"round","k:urk:i-s:a","    Cf. also \Ik:urk:u(r) ṭun\i 'to roll'. An expressive reduplicated root; with variation k:/g cf. also \Igurži\i ( < \I*gurgi\i) ""snow-ball"", probably also \Igirgir-ča\i 'a k. of dance'."
67,"uči-",278,"to say","uči-n","    G.pr. \Iu=ku-nu.\i"
