NUMBER|PROTO|PRNUM|MEANING|LZG|TAB|AGU|RUT|CAK|KRZ|BUD|ARC|UDI|COMMENT
1|*zo-n|2283|I (1-t p.pr.)|zun|uzu|zun|zɨ|zu|zɨn|zɨn|zon|zu|    The paradigm of PL \I*zo-n\i is: dir. \I*zo(n\i), obl. \I*za-,\i gen. \I*=iz.\i Cf. Lezg. \Izun,\i \Iza,\i gen. \Izi(n\i); Tab. \Iuzu,\i gen. \Ijiz;\i Ag. \Izun,\i \Iza-,\i gen. \Ijaz;\i Rut. \Izɨ,\i \Iza,\i gen. \Iiz-dɨ;\i Tsakh. \Izɨ,\i \Iza-,\i gen. \Ijiz-ɨn;\i Arch. \Izon,\i \Iza-,\i gen. \I-is:\i (with a specific phonetic development); Kryz. \Izɨn,\i \Izä-;\i Bud. \Izɨn,\i \Izə-;\i Ud. \Izu,\i \Iza-,\i gen. \Ibezi.\i     Another archaic PL stem, dative \I*=ez,\i has been preserved only in Arch. (as \I=ez\i) (although it is possible that Ud. gen. \Ib-ezi\i is a result of merger of PL \I*=iz\i and \I*=ez\i).     Cf. Лексика 1971, 228; Гигинейшвили 1977, 70.
2|*uo-n|2285|thou (2-d p. pr.)|wun|uwu|wun|wɨ|wu|wɨn|wɨn|un|un|    PL paradigm: dir. \I*uo(n),\i \Iobl.*ua-,\i gen. \I*-iu.\i Cf. Lezg. \Iwun,\i \Iwa=,\i \Iwi(n);\i Tab. \Iuwu,\i gen. \Ijaw;\i Ag. \Iwun,\i \Iwa-,\i \Ijaw;\i Rut. \Iwɨ,\i \Iwa;\i Tsakh. \Iwu,\i \Iwa-;\i Arch. \Iun,\i \Iwa-;\i Kryz. \Iwɨn,\i \Iwä-;\i Bud. \Iwɨn,\i \Iwə-;\i Ud. Vart. \Iun,\i \Iwa-,\i gen. \Iwi.\i          Cf.  Гигинейшвили 1977, 72.
3|*ḳʷir(a)|1|1 hoof 2 leg (of animal)|ḳur 1,2|ḳuram 1||||ḳʷari 2||ḳʷiri 2||    3d class in Arch. and Kryz. The suffixless form is reflected in Lezg. (cf. also Tab. Khan. \Iḳur\i 'wrist'); Tab. has a suffixed -m (former plural suffix), and Arch. and Kryz. reflect a common *-j - suffix (\I*ḳʷirVj\i).
4|*riq̇I:ʷ|2|ashes|rüq|ruqI:|ruqI:|rɨqI|jɨqI|räq|rəq|diq̇I|iq:|    For the reflexes of *q̇I:ʷ cf. Lezg. Khl. erg. \Irüq:ʷedi\i (lit. with unification: \Irüqʷedi\i), Tsakh. loc. \IjɨqI:e,\i Arch. erg. \Idiq̇I:i.\i Ud. (Nidzh.) has a reflex \Ižeq:\i (with unclear ž-). Obl. base vowel unknown. 3d class in Rut., Tsakh.; 4th class in Kryz., Bud., Arch.          Cf. Бокарев 1961,60; Талибов 1960а,298; Лексика 1971, 173; Гигинейшвили 1977, 136.
5|*č:uk:ala /*k:uč:ala|3|1: bark 2: bast  3: sour cream 4: noodles|čk:al 1||gužal 1|ǯugal 1|gɨžɨwa 3|ǯigäl 2|ǯigəl 4|||    Cf. also Ag. (Shaum.) \Ižigal\i 'bark'. 3d class in Rut., Tsakh.; 4th class in Kryz., Bud.         See Талибов 1980,299.
6|*uo-λwɨn / *ro-λwɨn|4|belly|rufun|fun|fun|uxun|wuxun|fän||||    One of several body part names with probable class prefixation (the Lezg. form points to *r- as opposed to other languages reflecting *u-). 3d class in Rut., Tsakh. and Kryz.         Cf. Trubetzkoy 1922, 240; Лексика 1971, 109.
7|*č̣aꭓV (~-ä-)|5|1 big  2 large, massive|č̣eꭓi 1|č̣atꭓu 2||||||||    Tab. -t- is a frequent adjectival infix. Lezg. \Ič̣eꭓi\i was borrowed in Khin. as \Ičꭓi.\i
8|*ʔaꭓIɨ-|6|1 big 2 enough  3 many||aꭓIu 1|X̀a-f 1||ꭓIe-r-na 1||l-äħ-ki 3|aꭓI 2||
9|*nɨc̣ʷ(a)|7|bird, small bird, sparrow|nüḳ|||nɨc̣ (Khniukh.)||||noc̣||    Cf. also Lezg. Khl. \Inuc̣,\i Arch. obl. \Inac̣a,\i pl. \Inoc̣or.\i Obl. base vowel unclear (Rut. Khniukh. \Inac̣a-\i is not sufficient for reconstruction). 4th class in Rut., Arch.         See Хайдаков 1973,15.
10|*č:aq̇ʷ(a)|8|bird, small bird||žaq̇ʷ|žaq̇ʷ|||||||    Oblique base vowel and class unknown. Cf. also forms: Tab. Kand. \Iǯaq̇ʷ,\i Düb. \Iǯaq̇a,\i Ag. Bursh. \Iǯaq̇ʷ.\i
