NUMBER|PROTO|PRNUM|MEANING|CHE|ING|BCB|COMMENT
1|*-arr-iḳ|414|all|-errig|-erriga||
2|*ʁaʁa|1480|coat of mail|ʁaʁa|ʁaʁ||    3d class in both languages.
3|*jobq̇|364|ashes|juq̇|joq̇|joṗq̇|   Obl. base \I*ʔabq̇u-r-,\i cf. Chech. \Iʔovq̇ara-n,\i Ing. \Iʔovq̇aro,\i Bacb. \Iʔaṗq̇ajr-i.\i 4th class in all languages.
4|*kābst (~-ṭ)|415|bark (of a tree)|kowst|kɔst||    Obl. base \I*kābstV-\i (Chech. \Ikowsta-n,\i Ing. \Ikoasto\i); 4th class in Chech. and Ing.
5|*čVwV|416|1 in, inside  2 belly|čō 2, čȫ 1|čē 2|čuw 1|   The pure root is observed in Chech., Ing., Bacb. \Iču\i "in, inside". Other forms are derivates: cf. Chech. \Ičō\i "belly", \Ičȫ\i "inside" ( = Khild. \Ičʷjē,\i Ing. \Ičē\i), Ing. \Ičuʔa\i 'inside (n.)', Bacb. \Ičuw\i "inside, intestines", \Ičuwa\i "own house, dwelling". Cf. also a further derivate \I*čVwe-r-\i > Chech. pl. \Ičǖr-aš\i 'intestines', Ing. \Ičur-aš\i 'offal'.
6|*gagV|483|belly, stomach|gaj, gē|gĳg|gagaʔŏ|   Ing. \Igĳg\i goes back to \I*gag-iḳ.\i Vowel length is unclear (the Ing. obl. base \Igägo\i has a long ǟ, but it may be due to the loss of *-g-). 3d class in all lan- guages.
7|*=aqqu-n|418|big|=oqqa|=oqqa|=aqqõ|
8|*ʔālꭓVʒur|419|bird|olꭓazar|ɔlꭓazar|alꭓaʒur|    Bcb. form quoted from Matsiyev's dictionary. 3d class in Chech. and Ing.
9|*ħāc̣u|7|1 sparrow  2 bird|ħōza 1|ħazilg 1|ħac̣uḳ 2|    Ing. and Bacb. forms reflect PN diminutives \I*ħāc̣u-ḳ,\i \I*ħāc̣a-liḳ.\i Cf. also Chech. (Usl.) \Iħōzu,\i Cheb. \Iħāzu\i etc. 3d class in all languages.
10|*ꭓ-aʔ-|88|sit (down)|ꭓaʔ-||ꭓaʔ-|    PN paradigm: term. \I*ꭓ-aʔ-,\i dur. \I*ꭓ-ēʔ-\i (Bacb. \Iꭓeʔ-\i). An old Ablaut grade \I*ꭓ-oʔ-\i can be seen in Chech. \Iꭓ-oʔ-,\i Bacb. \Iꭓ-oʔ-\i 'to fit in (somewhere)' (intr.).
11|*q-aħ-|32|to bite|||q-aħ-ar|    Attested only in Bacb. (with the preverb q-), but having probable external parallels. With another preverb, *l-, cf. Bacb. \Ilaħ-ar\i 'to eat (together with smth.)' (term.), \Ileħ-ar\i id. (dur.).
12|*ʕārč̣i-|11|black|ʕärža|ʕärža|ʕarč̣ĩ|    Cf. Cheb. \Iʕāržĩ,\i Khild. \Iʕēržĩ\i etc. The vowelless base \I*ʕārč̣-\i is preserved in Chech. \Iʕarž-dan,\i Bacb. \Iʕarč̣-dar\i "to paint black".
13|*c̣ēgi|420|blood|c̣ĳ|c̣ĳ|c̣ejgĭ|    3d class in all languages. The same root is reflected in PN \I*c̣ēge-(n)\i "red" > Chech. \Ic̣e-n,\i Ing. \Ic̣e,\i Bacb. \Ic̣egẽ.\i
14|*d(e)ʡeꭓk (̃-ḳ)|129|bone|däʕaꭓk|ṭeꭓk||    4th class in Chech., Ing. Cf. also Kharach. \Ideʕaꭓk,\i Pharch. \Iṭeꭓk.\i
15|*nāqa|304|breast|nāqa|naqa||    6th class in Chech., Ing. Obl. base \I*nāqi-\i (Chech. \Inēqa-,\i Ing. \Inäqo\i).
16|*ṭāra|421|1 nipple 2 breast, nipple|ṭāra 1|ṭar 1|ṭar 2|    Obl. base \I*ṭāre-\i (Chech. \I\Iṭēra-,\i\i Usl. \Iṭēri-,\i Ing. \Iṭaro\i). 6th class in Chech., Ing., 7th class in Bacb.
17|*=āḳ-|422|to burn|=āg-|=ɔg-|aḳ-dar|
18|*mʡāra|18|claw, finger-nail; hook, fork|mʕāra|mʕara|mʕajrĭ|    In Chech. there exists a parallel form \Imaʕar\i which is obviously secondary. The obl. base should be reconstructed as \I*mʡāre-\i (cf. Chech. \Imʕēra-,\i Ing. \Imʕara-,\i Bacb. \Imʕare-\i). Belongs to the 4th class in the meaning "nail, claw", but to the 6th in the meaning "hook".
19|*marꭓo|78|cloud|marꭓa|morꭓ||    4th class in both languages.
20|*doꭓḳ|423|1 fog 2 cloud|doꭓk 1|doꭓk 1|doꭓḳ 2|    Obl. base \I*daꭓḳi-,\i cf. Chech. (Uslar) \Ideꭓki-,\i Ing. \Ideꭓko.\i 3d class in all languages.
21|*pšā|331|1 ice 2 spring, brooklet|ša 1|ša 1|pša 1,2|    Obl. base \I*pšē-\i (cf. Chech. Usl. \Išē-ŋ\i). 5th class in Chech. and Bacb., but 6th class in Ing. There exists a derivate from this root: PN \I*pšē-l\i "cold (n.)" (cf. Bacb. \Ipšel,\i Chech. \Išel-dan\i "to cool", Ing. \Išel-de\i id.), \I*pšē-li-(n\i) "cold (adj.)" (Bacb. \Ipšelĩ,\i Chech. \Išīla,\i Ing. \Išīla\i).
22|*=aʔ- (~ -ā-)|161|to come|=ā-n|=a-n|=aʔ-ar|    PN term. \I*=aʔ-\i (or \I*=āʔ-;\i the vowel length is unclear because of loss of the laryngeal in Chech.), dur. \I*=ēʔ-\i (Chech. \I-eʔ-,\i Bacb. \I-eʔ-\i).
23|*=aŁ-|24|to die|=al-|=al-|=al-ar|    *-Ł- reconstructed on basis of Bacb. Mats. \I=aλ-,\i Kad. \I=al-.\i The present/ future form is PN \I*la\i (Chech.,Ing.,Bacb. \Ila\i).
24|*ǯʡali(j)|424|dog|žʕäla|žʕali||    Possibly a loan from Kartvelian, cf. PK *ʒ̥1̇aɣl- "dog" (ESKY 236).
25|*pħu|26|1 dog 2 male dog|pħu 2|pħu 2|pħu 1|    Obl. base \I*pħare-\i (Chech. \Ipħära-,\i Ing. \Ipħaro,\i Bacb. pl. \Ipħar-č\i). 3d class in Chech. and Bacb., 6th class in Ing.
26|*maλ-|402|drink|mala|mala|maλar|    PN term. *maλ-, dur. *mēλ-/*mē-b-λ- (>Chech. mīl-, Ing. mel-, Bacb. meλ-). The *m- is probably a historical prefix.
27|*=aq̇-|29|dry|=eq̇a|=eq̇a|=aq̇ĩ|    PN \I*=aq̇-i(n)\i "dry" is derived from the verbal base \I*=aq̇-\i "to dry, to get dry" (cf. Chech. \I=aq̇-ō\i tr., \I=aq̇a-dala\i intr., Bacb. \I=aq̇-dar\i tr.).
28|*la|425|ear|lerg|lerg|larḳ|    The early PN paradigm must be reconstructed as \I*la,\i \I*lari-.\i The first form is preserved in Chech. \Ila-dīʁa/-dōʁa,\i Ing. \Ila-duwʁa\i "to listen". The second form gave rise to the diminutive \I*lari-ḳ\i which has survived as the basic word for "ear" (cf. also Cheb. \Ilarig,\i Shar. \Ilerig\i etc.). This form belongs to the 3d class in Chech., Ing. and to the 8th class in Bacb.
29|*lātte|426|1 earth 2 rubbish, litter|latta 1|lätta 1|latt 2|    3d class in all languages.
30|*jobsṭ ( ~ -ō-)|427|1 earth 2 loose earth||jost 2|jobsṭ 1|    PN \I*jobsṭ,\i \I*ʔabsṭV-r-\i (cf. Ing. \Iastaro\i). 4th class in Ing., 3d class in Bacb. Without Chech. parallels the vowel length is not clear.
31|*=aq̇-|277|to eat|=aʔ-|=aʔ-|=aq̇-|    One of the cases of irregular development *-q̇- > -ʔ- in Chech.-Ing. Also means "gnaw" in Chech.
32|*ʔo|2303|that|||o|    Isolated within Nakh, but obviously an archaic pronoun stem.
