"NUMBER","CHARREF","CHARACTER","MCINFO","ZIHUI","BEIJING","JINAN","XIAN","TAIYUAN","HANKOU","CHENGDU","YANGZHOU","SUZHOU","WENZHOU","CHANGSHA","SHUANGFENG","NANCHANG","MEIXIAN","GUANGZHOU","XIAMEN","CHAOZHOU","FUZHOU","SHANGHAI","ZHONGYUAN"
   1,   1,"一","臻開三入質影","0001 0707","i 11","i 11","i 11","iəʔ 41","i 12","i 12","iəʔ 4","iôʔ 41","iai 41","i 4","i 12","it 41","jit 41","jat 41","it 41 (lit.); cit 41","ik 41","eiʔ 41","iîʔ 4","i 43"
   2,   2,"乙","臻開三入質影","0044 0718","i 2","i 11","i 11","iəʔ 41","i 12","i 12","iəʔ 4","iôʔ 41","iai 41","ie 4","iɛ 12","it 41","jat 41","jyt 41","it 41","ik 41","eiʔ 41","iîʔ 4","i 43"
   3,   3,"丁","梗開四平青端","0002 2531","tiŋ 11","tiŋ 11","tiŋ 11","tiŋ 1","tin 11","tin 11","tĩ 11","tin 11","teŋ 11","tin 11","tin 11","tin 11 (lit.); tiaŋ 11","tɛn 11","tîŋ 11","tîŋ 11","teŋ 11","tiŋ 11","tiŋ 1","tiəŋ 1"
   4,   4,"七","臻開三入質清","0003 0668","ćhi 11","ćhi 11","ćhi 11","ćhiəʔ 41","ćhi 12","ćhi 12","ćhiəʔ 4","chiôʔ 41","chai 41","chi 4","ćhi 12","ćhit 41","chit 41","čhat 41","chit 41 (lit.)","chik 41","cheiʔ 41","chîʔ 4","chi 42"
   5,   5,"乃","蟹開一上海泥","0035 1059","nai 2","nɛ 3","nɛ 2","nai 2","nai 2","nai 2","nɛ 2","ne̲ 11","na 22; na 11","nai 2","na 2","lai 2","nai 11","nai 22","naĩ 2","nai 22","nai 2","ne̲ 32","nai 2"
   6,   6,"九","流開三上有見","0046 1592","ćiou 2","ćiou 2","ćiou 2","ćiou 2","ćiou 2","ćiəu 2","ćiôɨ 2","ćiöy 2","ćiau 21","tôu 2","ćiû 2","ćiu 2","kiu 2","kau 21","kiu 2  (lit.); kau 2","kau 21","kieu 2  (lit.); kau 2","ćiɨ 3","kiou 2"
   7,   7,"了","效開四上篠來","0055 1436","liau 2","liɔ 2","liau 2","liau 2","niau 2","niau 2","liɔ 2","liä 32","liɛ 22","niau 2","niə 2","liɛu 2","liau 2","liu 22","liau 2","liəu 21","lau 2","liɔ 32","liau 2"
   8,   8,"二","止開三去至日","0059 0527","ə̂ 3","ə̂ 3","ə̂ 3","ə̂ 3","ɨ 3","ə̂ 3","â 3","l 32","ŋ 32","ô 32","ie 32","з̂ 32","ńi 3","ji 32","ʒi 32","zi 32","nei 32","liã 32","ži̲ 3"
   9,   9,"人","臻開三平真日","0086 2082","ẓən 12","ẓẽ 12","ẓẽ 12","zəŋ 1","nən 12","zən 12","lən 12","zən 12 (lit.); ńin 12","zaŋ 12","ẓən 12","in 12","lan 31","ńin 12","jan 12","ʒin 12 (lit.); laŋ 12","naŋ 12","iŋ 12 (lit.); löyŋ 12","zəŋ 32 (lit.); ńiŋ 32","žiən 12"
  10,  10,"入","深合三入緝日","0354 0904","ẓu 3","lu 3","vu 11","zuəʔ 41","y 12","zu 12","ləʔ 4","zôʔ 41","zai 42","y 4","y 31","lat 41","ńip 42","jap 42","ʒip 42","zip 42","iʔ 42","zôʔ 42","žiu 43"
  11,  11,"八","山開二入黠幫","0360 0012","pa 11","pa 11","pa 11","paʔ 41","pa 12","pa 12","paʔ 4","poʔ 41","po 41","pa 4","pa 12","pat 41","pat 41","pāt 43","pat 41 (lit.); pueʔ 41","poiʔ 41","paiʔ 41","paʔ 4","pa 42"
  12,  13,"刀","效開一平豪端","0430 1302","tau 11","tɔ 11","tau 11","tau 1","tau 11","tau 11","tɔ 11","tä 11","tз 11","tau 11","tə 11","tau 11","tau 11","tou 11","to 11","to 11","tɔ 11","tɔ 1","tau 1"
  13,  14,"刁","效開四平蕭端","0431 1421","tiau 11","tiɔ 11","tiau 11","dtiau 1","tiau 11","tiau 11","tiɔ 11","tiä 11","tiɛ 11","tiau 11","tiə 11","tiɛu 11","tiau 11","tiu 11","tiau 11","tiəu 11","tieu 11","tiɔ 1","tiau 1"
  14,  15,"力","曾開三入職來","0500 0621","li 3","li 3","li 11","liəʔ 41","ni 12","ni 12","liəʔ 4","liôʔ 42","lei 42","ni 4","ni 31","lit 41","lit 42","lîk 42","lîk 42 (lit.); lat 42","lak 42","liʔ 42","lîʔ 42","li 43"
