"NUMBER","PROTO","PRNUM","PSPEECH","MEANING","NEPALI","DERCOMM","COMMENTS"
   1,"a-",   0,"pf.","possessive prefix: your (singular).","","",""
   2,"abo", 981,"pro.","who.","","",""
   3,"ádzə",  10,"adv.","at that time (in the past), once"," uhile","","\Iadzə\i \Iadzə\i once upon a time; Nep. \Iuhile\i \Iuhile.\i"
   4,"ádzəkə",   0,"adv.","later, later on, afterwards, subsequently"," bharai","[adzə 'then' + -kə pfG; also attested in Sasarkā ]","\IAdzəkə\i \Isakpu\i \Ihu:yi\i \Iwo:!\i You two come on over later, all right?"
   5,"ádzəkhi",   0,"adv.","then, at that time"," uhile.","",""
   6,"ádzəNkhini",   0,"adv.","last year"," pohor","[adzə 'then, before' + N < ? + -khini 'last, recent' (cf. ape:khini, atinã:khini )]","cf.  \X0ańnamma,\x \X0átsimma,\x \X0khoʔo.\x"
   7,"ádzi:",   0,"adv.","now"," ahile.","",""
   8,"ádzi:kə",   0,"adv.","in a second, in a minute, right away"," ek chin mā","[adzi: 'now' + -kə pfG]",""
   9,"aina",   0,"n.","mirror.","","[< Nep. ainā ]",""
  10,"akbu",   0,"n.","bamboo species Arundinaria intermedia"," niŋgālo bāʔs","[attested in Sasarkā only; -bu 'bamboo']"," cf.  \X0khi:ka:ndu.\x"
  11,"amla, amlam",   0,"n.","ungulate, sheep, buffalo","","","cf.  \X0bhiʔi,\x \X0me:si,\x \X0naksɨm.\x"
  12,"amlalim",   0,"n.","buffalo milk, cow's milk","","[amla 'ungulate' + lim ? < nim 'milk']","cf.  \X0nim,\x \X0nimpho.\x"
  13,"amlam",   0,"","","",""," vide  \X0amla.\x"
  14,"amnɨ",   0,"n.","today"," āja",""," cf.  \X0aselma,\x \X0asina,\x \X0atina,\x \X0attha:mkuna,\x \X0lɨkdinna,\x \X0na:mnɨ,\x \X0sɨmdinna.\x"
  15,"amsina",   0,"adv.","last night"," hĳo rātī.","[< asina yesterday]",""
  16,"an",  19,"pro.","you (singular).","","",""
  17,"ani",   0,"pro.","you (plural).","","",""
  18,"ani-",   0,"pf.","your (plural).","","",""
  19,"ańnamma, namma",   0,"adv.","next year","","","cf.  \X0adzəNkhini,\x \X0annamma-atsimma,\x \X0atsimma,\x \X0khoʔo.\x"
  20,"ańnamma-átsimma",   0,"adv.","in the future, at some time in the future.","","[ańnamma 'next year' + atsimma 'the year after next']",""
  21,"antsi",   0,"pro.","you (dual).","","",""
  22,"antsɨ",   0,"pro.","we (dual exclusive).","","",""
  23,"aN",  12,"pro.","I, me.","","",""
  24,"ápe:",   0,"adv.","already, before"," aghi",""," \IApe:\i \INə\i \Iakuphɨ?\i Did you already do the winnowing? ; Nep. \Iaghi.\i"
  25,"ápe:khini",   0,"adv.","already, before, just"," aghi nai.","[ape: 'before' + -khini 'last, recent' (cf. adzəNkhini, atinã:khini )]",""
  26,"ápe:m",   0,"adj.","that of before, last, recent, former, as before.","","[ape: 'before' + -m nom.sf.]",""
  27,"appe:bhu",   0,"n.","the tree Ficus religiosa"," pīpal ko boṭ","[< -bhu 'tree']"," cf.  \X0munambhu.\x"
  28,"apsi",   0,"n.","gum, resin"," khoṭo.","",""
  29,"apsibhu",   0,"n.","the tree Pinus roxburghii"," sallā ko rukh","[apsi 'gum, resin' + -bhu 'tree']"," cf.  \X0wasɨmbhu.\x"
  30,"arghe:li",   0,"n.","Daphne canabina, plant from which the so-called Daphne paper (Nep. Nepālī kāgat ) is made, used by the Dumi to make ri:bha 'rope'"," arghelī",""," cf.  \X0khubo.\x"
  31,"arɨm",   0,"adj.","other","","[arɨ < Nep. arū 'other' + -m nom.sf.]","cf.  \X0arkɨ.\x"
  32,"arkɨ",   0,"adj.","other","","[< Nep. arko 'other']","cf.  \X0arɨm.\x"
  33,"ásel",   0,"adv.","later, afterwards, later on"," bharai, pachi.","","\Iasel-sel\i much later, some time afterwards"
  34,"áselma",   0,"adv.","1) tomorrow ; 2) the following day"," bholī","[< asel 'later'; also attested in Sasarkā ]","1) cf.  \X0amnɨ,\x \X0asina,\x \X0atina,\x \X0attha:mkuna,\x \X0lɨkdinna,\x \X0na:mnɨ,\x \X0sɨmdinna;\x \X02)\x cf. \X0aselma-poko,\x \X0asina.\x"
  35,"áselma-poko",   0,"adv.","the following day"," bholī-palṭo","[< aselma 'tomorrow']"," cf.  \X0asina.\x"
  36,"asewa",   0,"n.","greeting"," namaste","","\IAsewa\i \Ikho:tini\i \Ime!\i Accept my greetings!; cf.  \X0sewa.\x"
  37,"asina", 944,"adv.","1) yesterday ;2) the preceding day"," hĳo","[< sina 'night'; in Sasarkā: asinã: ]","1) cf.  \X0amnɨ,\x \X0aselma,\x \X0atina,\x \X0attha:mkuna,\x \X0lɨkdinna,\x \X0na:mnɨ,\x \X0sɨmdinna;\x \X02)\x cf. \X0amsina,\x \X0aselma,\x \X0aselma-poko.\x Cf. Kulung espa."
  38,"asinã:",   0,"adv.","vide \X0asina.\x","","[attested in Sasarkā only]",""
  39,"atina",   0,"adv.","the day before yesterday, the other day, then, at that time"," asti","[< nã: < na:m 'sun'; in Sasarkā: atinã: ]"," cf.  \X0amnɨ,\x \X0aselma,\x \X0asina,\x \X0attha:mkuna,\x \X0lɨkdinna,\x \X0na:mnɨ,\x \X0sɨmdinna.\x"
  40,"atinã:",   0,"adv.","vide \X0atina.\x","","[attested in Sasarkā only]",""
  41,"atinã:khini",   0,"adv.","the other day"," asti nai.","[atinã: 'the day before yesterday' + -khini 'last, recent' (cf. adzəNkhini, ape:khini ); attested in Sasarkā only]",""
  42,"attha:mkuna",   0,"adv.","the day before the day before yesterday","","[na < na:m 'sun']","cf.  \X0amnɨ,\x \X0aselma,\x \X0asina,\x \X0atina,\x \X0lɨkdinna,\x \X0na:mnɨ,\x \X0sɨmdinna.\x"
  43,"átsimma, tsimma",   0,"adv.","the year after next","","","cf.  \X0adzəNkhini,\x \X0ańnamma,\x \X0ańnamma-átsimma,\x \X0khoʔo.\x"
  44,"a:lnɨ",   0,"vt-1 a:l","unglue, unstick, separate things which are stuck together or otherwise attached to each other; remove (e.g. khə́tap 'a scab')"," ukkāunu.","",""
  45,"a:nnɨ", 781,"vt-2a a:nd/a:n-a:nts/a:s","return, bring back, take back"," pharkāunu",""," cf.  \X0a:ńsinɨ.\x"
  46,"a:ńsinɨ",   0,"vr.non-erg.","come back, go back, return"," pharkanu.","[< a:nnɨ 'bring back']",""
  47,"a:nsunɨ",   0,"vt-2a a:n vt-6a sa-suy/su-sɨ-so","escort back.","","[dimittively aspectivized a:nnɨ 'bring back']",""
  48,"a:rkɨ",   0,"n.","Kiranti eau-de-vie, millet brandy, distilled from ɨmma (q.v.)"," raksī.","",""
  49,"a:tnɨ",   0,"vi-3 a:ts/a:s-a:t","1) (irr. takes ergatively marked subject), say 2) impendent pseudo-aspectivizer"," bhannu","","1) \IHammɨlʔa\i \Ihamʔa:tsɨm\i \Iboʔo\i \IaNa\i \Imətsuktunə,\i \Iməkukhunə\i I did not understand and I did not grasp what they said; \IBi:kta\i \Ia:tsɨm\i \Igo:ta\i  The fact that we were going to give him some means that we must have some somewhere (lit. that there must be some); \IAniʔa\i \Ia:tsinim\i \Itɨmlo\i ɨma \Imətsɨktɨnə\i \Itsa\i He appears not to have been aware of the matter you have related; 2) vide  6.3.12."
  50,"a:tnɨkə",   0,"sub.","subordinator marking end of quote, subordinator marking subordinate object clause","","[a:t-nɨ-kə say-ɨNF-pfG, lit. 'having said']","possibly a \Icalque\i from \INepali;\i cf.  \X0bhanera.\x"
  51,"badzarɨm",   0,"n.","bazar, market.","","[< Nep. bajār + -m nom.sf.]",""
  52,"bakham", 782,"n.coll.","molars","","","cf.  \X0khi:bɨ-Nilo.\x"
  53,"balɨkpi", 651,"num.","four","","[in Mākpā only]","\Itɨmbo.\i"
  54,"balɨkpɨ",   0,"n.","bronze vase-shaped water vessel to drink from but which may not be touched by the lips whilst drinking to prevent ritual pollution, a concept borrowed from the Hindus"," lohoṭā, loṭā.","","the receptacle is also used for pouring water on hands and feet"
  55,"baphswasi",   0,"n.","maize, corn"," makai","[attested in Sasarkā only]"," cf.  \X0muluswasi,\x \X0wakswasi.\x"
  56,"barabhu",   0,"n.","the banyan tree Ficus bengalensis"," bar","[bara < Nep. bar + -bhu 'tree'; attested in Khārmī only]"," cf.  \X0munambhu,\x \X0appe:bhu.\x"
  57,"barnɨ", 656,"vi-1 bar","increase in size, augment, grow, swell, swell up.","","[< Nep. baḍhnu ] [?]",""
  58,"báṭha:n",   0,"n.","khukuri"," khukurī.","[also attested in Sasarkā ]",""
  59,"baudzɨm",   0,"n.","elder brother's wife","","[Nep. bhāujyū 'elder brother's wife']","cf.  \X0bɨsimbɨ.\x"
  60,"ba:hiriptsəm",   0,"n.","shrubs and undergrowth, vegetation.","","",""
  61,"ba:kkuli",   0,"n.","the large square pit in the ground in which the sɨptɨlu is situated","","","cf.  \X0daʔlo:,\x \X0sɨptɨlu.\x"
  62,"ba:ni",   0,"","","",""," vide  \X0mɨnnɨ\x \X0vt-7\x \X0(5).\x"
  63,"ba:pnɨ",   0,"vt-2c ba:pt/ba:p-ba:ph/ba:p","bump into, disturb, upset"," uljhāunu.","",""
  64,"ba:psunɨ",   0,"vt-6a ba:psa-ba:psuy/ba:psu-ba:psɨ-ba:pso","knock over, disturb, upset"," uljhāi paṭhāunu.","[dimittively aspectivized ba:pnɨ 'upset, bump into']",""
  65,"ba:rbati",   0,"n.","vide \X0pa:lkokti.\x","","[attested in Sasarkā only]",""
  66,"ba:rdzəsibhu",   0,"n.","the tree Artocarpus integrifolia"," kaṭahar",""," cf.  \X0ba:rsi.\x"
  67,"ba:rsi",   0,"n.","the tree Artocarpus integrifolia"," kaṭahar","[attested in Sasarkā only]"," cf.  \X0ba:rdzəsibhu.\x"
