"NUMBER","PROTO","PRNUM","MEANING","SUN","TUL","KAL","LIM","LIMNUM","DUM","DUMNUM","KUL","KULNUM","YAM","YAMNUM","NOTES"
   1,"*ʔòr",   0,"break off","","\Ior\i break off maize cobs","\Iwɔrnä\i (\Ioru\i) break off (ears of corn)","",   0,"",   0,"",   0,"",   0,""
   2,"*ʔìŋ",   0,"buy","","","\Iunä\i (\Iiŋu\i)","\Iiŋmā\i (\Iiŋu\i) to purchase", 460,"",   0,"",   0,"\Iimma\i (in-)", 425,""
   3,"*ʔòl",   0,"chew (cud), ruminate","","\Iol-\i","\Iwɔlnä\i (\Iolu\i)","",   0,"",   0,"",   0,"",   0,""
   4,"*ʔók",   0,"to crow","","\Iok-\i","\I'onä\i (\I'ohtu\i)","\Iokmā\i (\Ioktu\i) shout (?)",1117,"\Iūknɨ\i",1431,"\Iɔ̄ma\i", 977,"",   0,""
   5,"*ʔè-s",2542,"defecate","","\Ies-\i","\Ienä\i (\Ieŋɔ\i)","\Iemā\i (\Iettu\i) have stool, \Ihi-emā\i (\I-esu\i) defecate", 351,"\Iēnɨ\i", 251,"\Iema\i", 322,"\Ieʔma\i", 255,""
   6,"*ʔàn",   0,"fall","","\Ian-\i  drop","\Iajnä\i (\Iandu\i) lean over, fall over","",   0,"\Iɨnnɨ\i", 371,"",   0,"",   0,""
   7,"*ʔu / *rʔu (?)",   0,"field (dry)","\Irū\i","","\I'u\i","",   0,"",   0,"",   0,"",   0,""
   8,"*ʔon",   0,"to harvest; to pen up","\I'õj-ca\i","","\Iwɔjne\i (CSDF; in EK \Iwɔjna,\i \Iwɔndu\i to take in, to drive in,fit in)","",   0,"",   0,"\Iwaima\i",1388,"",   0,""
   9,"*ʔù",   0,"his,her,he","","\Iu-\i  his, her, he","\Iu-\i  his, her, its","\Ihune\i  he,she (?)",   0,"",   0,"",   0,"",   0,""
  10,"*ʔà-",2755,"he","","\Ioram\i (AS \Iaram\i) this (also \Io\i  this)","\Iam\i","\Ia-tiN\i",  50,"\Iɨm\i", 365,"\Iə-\i", 336,"\Iakko\i",   4,"Cf. also adverbial stems like Dum. \Iádzə\i 'at that time, once', Lim. \Ianchē\i id. etc."
