"NUMBER","PROTO","PRNUM","MEANING","CHIN","CHINNUM","TIB","BURM","KACH","LUSH","LEPCHA","KIR","KIRNUM","STLSNUM","COMMENTS"
   1,"[*ba]",   0,"egg-plant","",   0,"","","\Išəba\H2\h\i egg-plant.","KC: Mara \Iba-bao\i the egg-fruit, brinjal.","","",   0,   0,""
   2,"*bā(H) / *phā(H)", 112,"spread, extend; wide, vast","溥 \I*phāʔ\i be vast, wide, 布 \I*pās\i cloth; spread out (a mat); 鋪 \I*phā\i, \I*pha\i spread out; 誧 \I*pāʔ\i, \I*phāʔ\i, \I*phāʔs\i big, large, increase.",3051,"","","\Išəpa\H1\h\i to extend, as a cobra its hood; \Igəba\H2\h\i be big, great.","\Iphaʔ\i to spread (as cloth, etc.); to place flat on the ground.","","\I*bhä́[p]\i", 645, 824,"Maybe two roots, but very hard to demarcate. Cf. also Sulung *bV, Tani *bə 'big'."
   3,"*bān",   0,"tie","絆 \I*pānh\i bonds, ties (since Han).",2278,"","","","\Iphan\i to knit, to crochet, to net.","","\I*ʔpə́t\i (/-n) (?)", 711,   0,"Bodo \Ibə́n\i to tie up."
   4,"*bărH",   0,"to open","",   0,"","\Iphranʔ\i spread (wings), \Ipranʔ\i spread (a carpet).","\Iphjan\H2\h\i to spread the wings, to open, as the fist ( < Burm.?).","\Ipharʔ\i to open (the hand, flower, etc.); be wide open.","","",   0,   0,"Bodo \Ito-pə́y\i come out (of buds); Kham \Iphəy\i to open."
   5,"*bārH (/ *brān)",   0,"board, flat surface","版 \I*prānʔ\i board, tablet.",1013,"\Iãphar\i board (in compounds).","","","\Ipharʔ\i even, smooth.","","",   0,   0,"Bod. 145. Cf. also Lush.\I pher\i be flat (as a rock or large stone) and Burm. \Isaŋ-punh\i blackboard (Luce 57)."
   6,"*bē̆jH", 755,"hip, femur","髀 \I*peʔ,\i \I*beʔ\i, \I*pĳʔ\i femur, haunch.",7921,"\Idpji\i hip, hip-bone.","","","\Iphei\i the leg, the lower leg.","","",   0, 765,"Thankur \I-phə́y\i leg. Gong 63."
   7,"*[b]ĕŋ",   0,"ear","",   0,"","","\Iləbjiŋ\H1\h\i the outside of the ears.","\Ibeŋ\i the ear.","","",   0, 128,""
   8,"*[b]iw (~-ɨ)",   0,"a k. of rice","",   0,"","","\Inbo\H1\h\i glutinous rice.","\Ibuʔ\i rice (boiled).","\Ikŭm-bŭ\i \Izo\i a spec. of rice, \Itam-pŭ\i \Ičen\i \Izo\i a spec. of \Izo\i (rice)","",   0,   0,""
   9,"*bVŋ",   0,"possess, control","",   0,"","\Ipəuŋ\i to possess, have, control.","(H) \Ibjeŋ,\i \Ibiŋ\i to rule, to control.","","","",   0,   0,"A possible loan."
  10,"*bek", 270,"sweep","",   0,"\Iãphjag\i to sweep, clean.","","","\Iphiat\i to sweep, brush,\I hmun-phiaʔ\i broom; KC \I*phiak\i.","","\I*phík\i", 721,   0,"Mikir \Iarphek\i broom; Newari \Itu-phe\i broom; Chepang \Iphek\i; Miri \Ipök\i sweep. Sh. 46, 161; Ben. 46."
  11,"*ber",   0,"plait, knit, fasten","編 \I*pē̆n,\i \Ipēnʔ\i plait, weave, 辮 \I*bēnʔ\i to plait.",3930,"\Iãbjar,\i \Iãbjor\i to stick to, adhere to, \Isbjor\i (p., f. \Isbjar\i) to affix, to attach, fasten.","","","\Iphiar\i to knit, plait, crochet.","","\I*phèr\i", 751,   0,"Bahing \Iphyer\i sew. Ben. 46.  Cf. PAN *piri 'plait, wrap'."
  12,"*[bik]", 266,"bowels","",   0,"","","","","","",   0,   0,"Mikir \Iphek\i bowels; BG: Garo \Ibibik\i bowels. Ben. 21."
  13,"*bjārH",   0,"throw, scatter","播 \I*pār(s\i) to throw, sow; winnow.",3816,"\Iãphjar,\i \Iãphjor,\i \Iphjor\i to fan, to sift, to winnow; to houst (a flag).","","\Iban\H1\h\i to sow or plant, as tobacco, mustard, redpepper etc.","\Ipherʔ\i to spread (as a sore etc.); be scattered.","","\I*b(h)ä̀r (/ʔp-)\i", 708, 644,"Cf. perhaps Dhimal bher-ma, Bodo *bar, Thakali nam-par 'wind'. Cf. Austric: PAA *Piar 'winnowing basket', PAN *ebuR, -buR, *sa(m)beR, *sa(m)buR 'strew, sow'."
  14,"*bok (~p-,-ɨ(a)-,-ua-)",   0,"pull, uproot","",   0,"\Iãbog(s\i) (p. \Ibog,\i \Iphog,\i f. \Idbog(s\i)) be rooted out.","","\Iboʔ\H2\h\i to uproot, pull, as weeds.","","","",   0,   0,"Bodo \Ipú\i pull out, uproot, \Igu-bu\i be uprooted. Cf. PAA *pok 'pull up'."
  15,"*bə̆n",   0,"divide, part","分 \I*pən\i to divide, separate, \I*bəns\i part, portion.",  98,"","LB *pan 'bite' (?)","(H) \Iban\i a division, part.","","","",   0,  24,"Bodo \Ipan\i share, part."
  16,"*[b]ŏp", 253,"leg, calf of the leg","",   0,"","","\Iləbop\H2\h\i calf of the leg.","\Ibop\i leg, hind leg of an animal.","","",   0,   0,"Cf. Dumi phip-sul 'thigh'."
  17,"*brēł",   0,"divide, separate","辨 \I*b̲renʔ,\i \I*b̲rēns\i divide, distinguish.",4316,"\Iãphral\i (p. \Iphral,\i f. \Idbral,\i i. \Iphrol\i) to separate, to part, \Iãbral\i (p. \Ibral,\i i. \Ibrol\i) be separated, parted from.","","","","","",   0,   0,"Kham \Ipə̀l\i to chop wood, to butcher an animal. Cf. also Lush. \Iṭhīl\i ( < \I*p(h)rīl\i ?) be separated from one another; \Iphel\i to split, cut in halves. Coblin 65."
  18,"*bŭ (-t)", 280,"blow, breathe","弗 \I*pət\i gust of wind.", 243,"\Iãbud\i (p. \Ibus,\i \Iphu(s),\i f. \Idbu,\i i. \Iphu(s\i)) to blow, \Isbud\i bellows.","\Iphəwʔ\i bellows.","\Iəphot\H2\h\i to blow in puffs.","\Iphuʔ\i to blow out of the mouth.","","",   0,   0,"PG \I*puC\HL\h\i breath, (?) \I*phw[ip]\i blow (with mouth); Kanauri \Iphu-\i blow; Kham \Iphwī\i to pump bellows, \Iphōsa\i lung."
  19,"*[b]ū",   0,"wear, garment","袍 \I*bhū\i a long cotton-lined tunic (cf. also 褒 \I*pū\i beautiful garment).",2349,"","","\Iləbu\H2\h\i to wear, as a skirt or trousers.","\Ibun\i put on (rings, socks), KC \I*bu,\i \I*bun\i.","","",   0,   0,"Cf. Thado \Ibu,\i Lakher \Iəbu\i wear. Ben. 103."
  20,"*bua[j]H",   0,"compose","",   0,"","\Iphwajʔ\i tie together (as ends of ropes); to compose (poems), make up.","(H) \Ibju\i to compose and sing, as a minstrel.","\Iphuaʔ\i to compose, make up.","","",   0,   0,""
  21,"*[b]ōk", 734,"dwelling","",   0,"\Iãbogs\i (p. \Iphog,\i f. \Idbog,\i \Idbag,\i i. \Iphog\i) to fit up a dwelling.","","\Ibu\H3\h\i dwelling-place, abode, home; (H) \Inbu\i id.","\Ibūk\i a temporary house.","","",   0,   0,""
  22,"*bŭl (~-ł)",   0,"sprinkle","",   0,"","","\Ibun\H2\h\i to sprinkle, pour.","\Iphul\i to sprinkle (as powder, etc), KC \I*phul\i.","","",   0,   0,"Sh. 400."
  23,"*[b]ūl (~-ł)",   0,"gather","",   0,"","","\Iphon\H2\h\i to gather together.","\Iphūl\i to gather together.","","",   0,   0,""
  24,"*bɨ̄m", 102,"grave, tumulus","堋 \I*pə̄ŋs\i to bury (cf. also 窆 \I*pram ~ -əm\i to lower a coffin into the grave).",6115,"\Iãbum\i tomb, sepulchre.","\Ipum\i heap; grave, tumulus.","\Ibum\H2\h\i a mountain.","\Iphūm\i to bury, to inter.","","",   0, 524,"Luce 46."
  25,"*bŭn(H)", 257,"dust, flour","粉 \I*pənʔ\i peeled grain; flour.",1797,"\Ispun,\i \Isbun\i chaff, husks.","\Iphun\i dust.","\Inbun\H3\h\i dust.","","","",   0,  26,"Cf. Naga Zeme tin-bun 'ashes'."
  26,"*[b]ŭrH",   0,"carry, hold","",   0,"","\Ipwĳʔ\i to hold, embrace, take into arms.","\Ipon\H1\h\i to carry in the arms, as a babe.","\Iphur\i (\Iphurʔ\i) to carry on the back; to bear.","","",   0,   0,"Cf. Austric: PAN *paRo 'snatch, seize, rob', PAA *pVr 'touch'."
  27,"*bŭt", 523,"dust, dirt","? \I*b̲ət\i dust tossed up into the air (cf. also 勃 \I*b̲ə̄t\i powdery (of soil)).",8444,"\Ibud\i a cloud of dust, every darkening of the air through dry matter.","\Iphut\i dust.","\Iəbut\H2\h\i dirt, trash.","\Iphut\i scurfy, floury, powdery.","\Ifat\i earth","",   0,  27,"Bodo \Igə-bəd\i dirt. Cf. also Jnp. \Išəbat\i filth; Naga Mzieme mi-maŋ-bɨt, Kabui mbut 'ashes', Ao-Chungli mepet, Yimchungli yin-pɨ 'cloud'. Sh. 46."
  28,"*[b]ēł",   0,"edible root","",   0,"","\Ipinh\i arum (? LB \I*plimx\i).","(H) \Iniŋ-bjen\i a variety of arum.","\Ibāl\i the generic term for edible arum.","","",   0,   0,"Thankur \Ipay\i bulbous root; Kham \IphuN-ti\i an edible wild root."
  29,"*[b]V̄ŋ (?)",   0,"bladder","膀 胱 \I*bhāŋ-kʷāŋ\i urinary bladder.",3581,"","","","\Iphīŋ\i the bladder.","","",   0,   0,"Kham \IpuN-ci\i bladder."
  30,"*bV̆ŋ",   0,"kinship term","",   0,"","\Iphaŋ\i ancestor in the fifth generation.","","(Sh) \Iphuŋ-,\i KC \I*phuŋ\i clan.","","",   0,   0,"BG: Dimasa \Iseŋ-phoŋ\i clan. Sh. 46. Cf. PAN *puaŋ 'title of respect'."
  31,"*bhājH",   0,"lame","跛 \I*pājʔ\i be lame.",2833,"","","","\Ibai\i be lame, KC \I*t-bai\i.","","",   0,   0,"Miri \I-be\i; Rgyarung (\Ita\i)-\Ibye\i. Sh. 121, 194."
  32,"*[bh]ə̄̆k",   0,"bat","蝠 \I*pək\i bat.",3967,"","","","\Ibāk,\i KC \I*bāk\i the bat.","","\I*pákti\i", 682,   0,"BG: Garo \I-bak\i, Dimasa \I-pa-ma\i, Bodo \Iba-dlí\i a bat; Namsangia \Iphak-\i; Rawang \Ipha-sä̂\i; Newari \Ilā-pā\i. Sh. 160, 405, 428; Ben. 71."
  33,"*bhə̄k", 571,"back, side","背 \I*pə̄ks\i back, 北 \I*pə̄k\i North; turn the back.",1415,"\Iphag-ma\i back part of smth. (Schm.).","\Iphak\i a side (Luce).","","\Ibak\i side-whiskers; the side of the face in front of the ear and in the region of the temple.","","",   0,   0,""
  34,"*bhăŋ",   0,"room, hut","房 \I*baŋ\i side-room, room.", 895,"\Ibaŋ\i store-room, store-house.","","\Iǯaŋ\H1\hphaŋ\H2\h\i a tent, \Idəbaŋ\H1\h\i a camp.","\Ibaŋ\i a wall.","","",   0,   0,"PG \I*praŋ\HL\h\i hut. Bod. 177; Coblin 72."
  35,"*bhăr",   0,"abundant, numerous","繁 \I*b̲ar\i abundant; 蕃 \I*b̲ar\i be prosperous, rich, numerous.",4524,"\Idpar\i glory, splendour; wealth, abundance; welfare, happiness.","","","\Ibar\i very, much","","",   0,   0,"Cf. *phV̆r."
  36,"*bhiəj",   0,"bean","? 菲 phəjʔ radish",2772,"","\Ipajh\i beans.","[? \Išəpre\H1\h,\i(H) \Ipreŋ\i a leguminous plant of any kind; beans, peas].","\Ibe\i a k. of edible beans.","","",   0,   0,"Dimasa \Isabai;\i Midzhu \Ita-be\i. Sh. 185; Ben. 59; Mat. 176. Cf. Austric: PAA *bʔa:j / *bʔaj 'bean', PAN *buay 'legumes'."
  37,"*[bh]ēŋ",   0,"hit with the flat of hand","",   0,"","","(H) \Ibjiŋ\i to hit with the flat of the hand.","\Ibēŋ\i (\Iben\i)  strike or hit with the open hand.","","",   0, 177,"Cf. perhaps Naga *bVN 'hand'."
  38,"*bhuj",   0,"mole, a k. of rat","",   0,"\Ibji\i rat, mouse, \Iphji,\i \Iãphji\i the large marmot of the highlands of Asia.","\Ipwĳh\i mole.","","\Ibui\i bamboo rat.","","",   0,   0,"Kham \Ibi-za\i rat. ? Cf. also OCh. 蚡 \I*b̲ən\i mole. Ben. 46. ?Cf. PAN *babaw, *balabaw 'mouse'."
  39,"*bhĭl",   0,"blunt","",   0,"","\Ipĳ\i blunt.","","\Ibil\i blunt.","","",   0,   0,"Cf. PAN *belbel, *bebel, *tumpel, *de(m)pul 'dull, blunt'."
  40,"*bh[ĕ]l",   0,"increase, add","毗 \I*b̲ĳ\i to enlarge, strengthen.",1301,"\Iãphel-ba\i to increase, augment.","","","\Ibelʔ\i addition.","","",   0,   0,"Coblin 97."
  41,"*bhjāŋ",   0,"hang up, suspend","",   0,"\Idpjaŋ\i , \Ispjaŋ\i to suspend, to make hang down.","","(H) \Iəphjaŋ\i to hang, as a vine.","\Ibāŋ\i (\Ibān\i) to hang up.","","",   0,   0,"Ben. 46."
  42,"*bhɨ̆k",   0,"lie down","伏 \I*bək\i to lie on the face, prostrate.", 306,"","","","\Ibok\i (\Iboʔ\i) to lie down or recline (as animals on the stomach).","","",   0,   0,""
  43,"*pɨāk",   0,"white","白 \I*brāk\i white.", 279,"","","","KC: \ISho\i \Ibok\i.","","\I*bù(k)\i", 663,1323,"BG: Garo \Igibok\i \I~ gipok,\i Dimasa \Iguphu\i. Ben. 181. Cf. PAA *b[ʔ]ɔ:k 'white'; PAN *pilak 'silver' (Peiros 1998, 224)."
  44,"*bh(r)ĕł",   0,"sew","",   0,"\Isbrel\i to stitch together; sew on.","","","\Ibel\i to sew on.","","",   0,   0,""
  45,"*bhrō̆ŋ",   0,"cattle","犎 \I*p(r\i)\Ioŋ\i a sp. of cattle.",6717,"\Iãbroŋ\i wild yak.","\Iprauŋ\i bison, buffalo.","","\Ibōŋ\i a bull, an ox.","","",   0,   0,"Kham \Ibə̀yN-sa\i buffalo. Sh. 51; Ben. 40; Bod. 166. Cf. PAA *(pə)rVŋ 'buffalo' (see Peiros 1998, 226)."
  46,"*bhruaŋ (?)",   0,"naked","",   0,"","\Iprauŋ\i be naked, uncovered.","","\Ibuan-dīm\i  be denuded of covering.","","",   0,   0,""
  47,"*bhuaŋH",   0,"white, dawn","昉 *paŋʔ beginning of dawn, dawn",5600,"","","","KC \I*buaŋ\i 'white'","","",   0, 789,"Midzhu \Imphoŋ.\i Sh. 186. Cf. Tani *puŋ 'white', and perhaps also the root for 'burn' in some TB languages: Kanauri poŋ-, Jinuo phu.42, perhaps also Lepcha făn."
  48,"*bhə̆wH",   0,"swell","",   0,"\Isbo\i (p. \Isbos\i), \Iãbo\i (p. \Iãbos\i), \Ibo,\i \Ipho\i (f. \Idbo\i) to swell up (cf. also \Ispo\i summit of a mountain).","\Iphuʔ\i be convex, swollen.","","\Iboʔ\i an inflammatory swelling.","","",   0,   0,"Cf. also Burm. \Ipwaʔ\i to swell, \Ipwah\i to grow, increase. An expressive root, somewhat difficult to distinguish from \X<0.315>*phŭH\x q. v."
  49,"*bhōk",   0,"measure; predict","卜 \I*pōk\i prognostics; predict.",  18,"\Idpogs\i (p. \Idpags,\i f. \Idpag\i) to measure, to proportion, to fix.","","","\Ibūk\i to measure, compare.","","",   0,   0,""
  50,"*bhū[l] (~-ɨ̄-)",  68,"root, trunk","本 \I*pə̄r\i\Iʔ\i root, trunk, 笨 \I*bə̄rʔ\i bamboo root.", 253,"\Isbun,\i \Ispun\i stalk of a plant.","LB *s-pVn root","\Iphun\H3\h\i tree, bush, a stalk.","\Ibul\i, KC \I*bul\i root.","","",   0,1278,"BG: Garo \Ibor\i (Burling), Dimasa \Ibon\i , Bodo \Ibon\i firewood; Andro \Iphol\i; Moshang \Ipūl\i; Namsangia \Ipan\i. Sh. 393, 428; Ben. 166. Cf. PAN *bua'l 'uproot a tree'."
  51,"*bhV̆r ( / *bhrV̆n)", 913,"manure","糞 *pərs manure, dirt.",4510,"\Ibrun\i dirt, dung, excrement.","","\Iphun\H1\h\i manure.","\Iberʔ\i dirty, filthy.","","\I*phùr\i", 728,   0,"Bodo \Igə-bə́r\i cowdung. Simon 21; Coblin 68."
  52,"*bhVr (?)",   0,"goat, sheep","羒 \I*b̲ən\i (~-r) ram, goat [since Han].",6014,"","","","? \Iberām\i a sheep.","","",   0,   0,"Bodo \Ibər-ma\i a goat; Kham \Ibə̀n\i a male mountain goat."
  53,"*mɨa",   0,"magic","巫 \I*ma\i magician", 573,"\Imo\i lot.","\Ihmau\i magic.","","","","",   0,   0,"Cf. Kulung mɔ:bɔ 'household rite', mɔ:bɔcha 'shaman'."
  54,"*ma",   0,"wound","",   0,"\Irma\i wound.","","\Inma\H2\h\i wound.","KC > Tiddim \Ima\i.","\Imó\i mark, sign; a cut, a wound, a hurt","",   0,   0,"PG \I*ma\HL\h\i wound; BG: Garo \Imat\i, Dimasa \Ibumai\i.\I\H\h\H\h\H\h\i"
