"NUMBER","PROTO","PRNUM","MEANING","KET","SYM","KOT","ARI","PUM","NOTES"
   1,"*ʔaʔd (~x-)",   1,"bone","aʔt, pl. aŕeŋ\H5\h (Bak., Sur. adeŋ\H5\h)","aʔt, pl. adɨŋ\H5\h","araŋan, *araŋ 'limb, joint'; ar-ša, *aran-šān "knee"","","","ССЕ 178. Cf. also the derivatives: Ket adɨŋu\H5\h, Kur., South. ariŋu\H5\h / aruŋu\H5\h 'strong', Yug adɨŋoj\H5\h id. ("bony"). Werner 1, 86 <*aʔt>."
   2,"*ʔaʔl",   2,"half","aĺ / aʔĺ 'half' (adj.); daĺa\H5\h "half" (n.)","al / aʔl 'half' (adj.); dalla\H5\h /dala\H5\h "half"","āl-īx, *āl-īg "midday, noon"","","","ССЕ 178-179. Note the derivative with prefixed *d- (= ПСК *r-ĕƛ̣̲Ĕ). Werner 1, 24 *al (disregarding his own transcription aʔĺ, aʔl in Werner 1977)."
   3,"*ʔaG (~x-)", 976,"tooth (molar)","ā // aʔ ; North. aɣ-itəŋ\H5\h 'molars'","ā // ār","","","","ССЕ 179. Werner 1, 85 <*aλ>; although Yug. -r in ār is unclear, the lateral or trill is definitely not reconstructable because of the attested form ā; it is also impossible to treat -ɣ- as an "Interfix"."
   4,"*ʔaj- (~x-)",   3,"to jump; to play; coire","ajgɔŋ\H5\h 'to jump'; aja\H6\h 'coire'","ajgufɨŋ\H5\h 'to jump'; aja\H6\h / ajga\H6\h 'coire'","ajaŋ, pl. -an 'play, to play'","","","ССЕ 179. The component  *aj- meaning 'to jump, roll over' can also be recovered in several composita: Yug. ajāxn\H3\h 'перекат на реке' ("jumping tree");  Kur. ajɣan\H6\h, Bak., Sur. aj-gan\H6\h /  aj-gɔ:n\H3\h,  Yug. aj-gɔn\H3\h  'песец'  ("jumping fox"; see also under *kəqVn). Unclear is the relationship of Ket., Yug. aj-tej\H5\h 'bad'. Werner 1, 19 *ajə / *ajgə 'coire' (with doubts as to the relationship of words meaning 'jump' and 'play')."
   5,"*ʔaj[a]k (~x-,-g)",   0,"thunder","ēkŋ\H1\h / ɛkkiń\H5\h / ɛkŋ\H5 \h(South.); Bak. qɔg ēk "lightning" (qɔʔk "one"); Kur. ēkna\H1\h bōk "lightning" (bōk = bɔʔk 'fire'?)","ekŋ\H1\h","ajak, pl. ajakan; асс. aják (М., Сл., Срсл., Кл.)","","","ССЕ 179. Werner 19, 272 <*aq> (with a completely unjustified uvular)."
   6,"*ʔa(ʔ)t-",   4,"door, part of the house before the door","attɔ\H5,6\h , pl. attɔ́n ( < attɔ:n\H3\h) 'part of the house before the door'","atnto\H5\h, pl. atnton\H5\h 'part of the house before the door'","athol, *athōl, pl. athōlaŋ, (Бол.) atol 'door'; Ass. átōl (М., Сл., Кл., Ф.), atūl (Кл.), atol (Срсл.) id.; Koib. atōl (Ф.) id.","éjt́ōl (М., Кл., Сл.1, Ф.), ejtol (Срсл.), éjtōl (Сл.2), ejt́ol (Ф.), itel (Лоск.) 'door'","","ССЕ 179. Already in PY we have a compound of *ʔat- with a not quite clear second component  (*-to  or *-tol ~ *tor\L1\l: cf. perhaps Ket. tōĺ "wattle fence"?). Similarity with Hung.  ajtó 'door'  (Хелимский  КС 248), is probably coincidental (or represents an old "Hunnic" loanword in Hungarian). Werner 1, 80."
   7,"*ʔa(ʔ)k- (~x-,-x-)", 666,"shore, towards the shore","aɣə\H6\h","agéj","","","","ССЕ 179. Werner 1, 83."
   8,"*ʔaK- (~x-)", 927,"thigh, behind (podex)","agdiś\H5\h , pl. agdiśn\H5\h","","","","","ССЕ 179. Werner 1, 17 suggests a connection with Ket. áɣitka, Yug. ágɨt' 'behind'  - which would favour a reconstruction with velar *-k- or *-x-."
   9,"*ʔaK- (~x-)",   5,"mouth cavity","agdi\H5\h; (Werner 1, 22) ákŋiĺ īteŋ 'hintere Zähne'","","","","","ССЕ 179-180. Werner 1, 17 (supposes a compound with *ǯiʔ 'stem')."
  10,"*ʔaʔak ( ~ x-, -G-, -χ-)",   6,"hare","a:k\H3\h, pl. aɣɨn 'Moschustier' (Werner 1, 90)","ak (Кастр.)","","","","ССЕ 180. Werner 1, 90 (without reconstruction)"
  11,"*ʔaKsV- (~x-)",   0,"temple","","","axšei heŋai (heŋai "hair")","","","ССЕ 180. The relationship with Ket. (Кастр.)  haksemogdi, Yug. faksemogdi 'temple' is not quite clear: it is possible that the original *ʔaKsV- was reinterpreted in Ket under the influence of *pak-si-m 'thin' (q.v.), with a folk etymology as 'thin ear'. See the analysis in Werner 1, 83 - who treats this folk etymology seriously  (adding also Ket. hakśut, Yug. faksimət 'temple', lit. 'thin bone), while analyzing the Kottish form as 'prickly hair' (from axčex 'to prick') - which is both semantically and phonetically unsound  (in 'to prick' we have -č-, not -š-!)."
  12,"*ʔal-bət (~x-)",   7,"quietly (not loudly)","aĺbət\H5\h","albət\H5\h","","","","ССЕ 180. Werner 1, 29."
  13,"*ʔalg- (~x-, -r-)",   0,"a k. of duck","aĺgə\H5\h, pl. aĺgeń\H5\h 'black duck'","","agaŋa, *akāŋa, pl. agaŋan "Märzente (Anas Boschas)"","","","ССЕ 180. Werner 1, 31 doubts the attribution of the Kottish word, although phonetically a cluster simplification is normal in Kottish. The Kottish word also resembles somewhat Mong. aqauna 'loon, diver', Turkic *Akańa  'a k. of gull or partridge' and may in fact be a merger of an Altaic loanword with the original root. One should also mention (see Bouda 1957) Selk. alg 'a k. of duck' - which may well be a Yenisseian loanword."
  14,"*ʔalit (~-ŕ-)",   8,"woman","","","alit, alīt, pl. alitn, alītn; (Бол.) alat "woman", alit "wife"; Ass. alit (М., Сл., Срсл.) "wife"","bɨqam-álte (М.), biqam-álte (Срсл.) "wife"; (Лоск.) kekm-elte "wife"","","ССЕ 180. Arin has a compound with biqam(al)- "(my) wife". Werner 1, 25."
  15,"*ʔalVp (~-ĺ-,-r\L1\l-,-b)",   9,"tongue","","","alup, pl. -aŋ, асс. (М., Сл., Кл.) alūp, (Срсл.) alup","áĺap (М., Сл., Срсл., Кл.,), elep (Лоск.)","","ССЕ 180. Werner 1, 27."
  16,"*ʔalVŋ (~x-)",  10,"trousers","aĺeŋ\H5,6\h, pl. aĺeń\H5,6\h (/aĺeɣin\H5\h)","alɨŋ\H5,6\h, pl. alɨŋɨn\H5\h","alaŋ","","","ССЕ 181. Werner 1, 30; etymology as plural < al' 'half', as well as various hypotheses of Turkic or Uralic origin quoted ibid., are highly dubious."
  17,"*ʔaĺeŋ (~x-)",   0,"very; strong","āĺeŋ\H1\h","aĺiŋ\H1\h","","","","ССЕ 181. Werner 1, 31. Cf. also Ket. (Werner 1, 32) álɨs-pet, álɨs-bet 'j-m Gewalt antun, vergewaltigen'."
